,https://roic.ai/company/LIVC,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,630000,1230000,3520000,5770000,8440000,9080000,9360000,7610000,4070000,5816980,4145690,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,120000,520000,1930000,3900000,6350000,7020000,7680000,5680000,2850000,- -,3368300,- -,- -,- -,- -,- -,379680,13410,- -,- -
3,Gross Profit,510000,710000,1590000,1870000,2090000,2060000,1680000,1930000,1220000,- -,777390,- -,- -,- -,- -,- -,-379680,- -,- -,- -
4,Gross Profit Ratio,0.8095,0.5772,0.4517,0.3241,0.2476,0.2269,0.1795,0.2536,0.2998,- -,0.1875,- -,- -,- -,- -,- -,-Infinity,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18220,- -,- -
6,General and Administrative Exp.,350000,500000,1160000,1730000,1960000,3810000,10200000,5500000,3640000,1435320,1393600,- -,- -,- -,402030,299030,308290,263877,- -,79839000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47733,23376,90195000
8,"Selling, General and Administrative Exp.",345458,498890,1155013,1732125,1958772,3805190,8660449,5500861,3640000,1435320,1393600,- -,- -,- -,402030,299028,421624,311610,278925,170034000
9,Other Expenses,4757,3057,3867,11963,15277,29169,1020585,629393,60000,5016520,30830,- -,- -,- -,- -,- -,266340,13400,-255549,- -
10,Operating Expenses,350215,501947,1158880,1744088,1974049,3834359,9681034,6130254,3700000,6451840,1424430,- -,- -,- -,402030,299028,687964,343230,23376,170034000
11,COGS and Expenses,410000,1020000,3070000,5490000,8070000,11490000,18900000,13950000,6550000,6451840,4792730,- -,- -,- -,420260,-70940,782160,-15770,23376,- -
12,Interest Income ,- -,- -,- -,- -,48301,119574,67683,1534,- -,- -,- -,- -,- -,- -,1396,- -,- -,- -,- -,- -
13,Interest Expense (Gain),61695,- -,- -,- -,- -,- -,- -,25845,-40000,-58380,-370,- -,- -,- -,207,207,205,205,204,- -
14,Depreciation and Amortization,4757,3057,3867,11963,15277,24135,291643,344351,150000,- -,43040,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-1213548,253057,503867,361963,425277,-1995865,-9738357,-3719804,-1370000,-782380,-240610,- -,- -,- -,-419400,71020,-782580,15975,- -,-150615000
16,EBITDA ratio,-1.9263,0.2057,0.1431,0.0627,0.0504,-0.2198,-1.0404,-0.4888,-0.3366,-0.1345,-0.0580,- -,- -,- -,-Infinity,Infinity,-Infinity,Infinity,- -,-Infinity
17,Operating Income,153887,210161,432016,127321,113839,-1499793,-8000013,-4200368,-2490000,-634860,-647040,- -,- -,- -,-420257,-114263,-782163,15765,231999,-150615000
18,Operating Income ratio,0.2443,0.1709,0.1227,0.0221,0.0135,-0.1652,-0.8547,-0.5520,-0.6118,-0.1091,-0.1561,- -,- -,- -,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-Infinity
19,Total Other Income Expenses (Gains),-3887,39839,67984,222679,296161,-520207,-2029987,140368,990000,-58370,363760,- -,- -,- -,487,185303,-207,5,- -,- -
20,Income Before Tax,150000,250000,500000,350000,410000,-2020000,-10030000,-4060000,-1500000,-693230,-283280,- -,- -,- -,-419770,71040,-782370,15770,- -,-150615000
21,Income Before Tax Ratio,0.2381,0.2033,0.1420,0.0607,0.0486,-0.2225,-1.0716,-0.5335,-0.3686,-0.1192,-0.0683,- -,- -,- -,-Infinity,Infinity,-Infinity,Infinity,- -,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-40000,-80000,-30000,-30600,- -,- -,- -,- -,- -,- -,-11520,- -,- -,- -
23,Net Income,-1280000,250000,500000,350000,410000,-2020000,-9990000,-4010000,-1450000,-693400,-283280,- -,- -,- -,-419770,71040,-770850,15770,- -,-150615000
