,https://roic.ai/company/CAN,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,1308083000,2705291000,1422623000,447686000,4986706000
2,COGS,703699000,2197172000,1938626000,409922000,2135961000
3,Gross Profit,604384000,508119000,-516003000,37764000,2850745000
4,Gross Profit Ratio,0.4620,0.1878,-0.3627,0.0844,0.5717
5,Research and Development Exp.,99769000,189680000,168982000,140041000,332846000
6,General and Administrative Exp.,125263000,146684000,347633000,131624000,589107000
7,Selling and Marketing Exp.,20724000,38731000,21917000,19980000,100467000
8,"Selling, General and Administrative Exp.",145987000,185415000,369550000,151604000,689574000
9,Other Expenses,-38811000,-118289000,-1253000,- -,- -
10,Operating Expenses,206945000,256806000,537279000,291645000,1022420000
11,COGS and Expenses,910644000,2453978000,2475905000,701567000,3158381000
12,Interest Income ,243000,4234000,3853000,3153000,7310000
13,Interest Expense (Gain),- -,53069000,20038000,3587000,- -
14,Depreciation and Amortization,9083000,13145000,45090000,44673000,- -
15,EBITDA,410052000,266456000,-969382000,-166834000,2050390000
16,EBITDA ratio,0.3135,0.0985,-0.6814,-0.3727,0.4112
17,Operating Income,- -,- -,- -,-253881000,1828325000
18,Operating Income ratio,- -,- -,- -,-0.5671,0.3666
19,Total Other Income Expenses (Gains),3530000,-51071000,18772000,38787000,222065000
20,Income Before Tax,400969000,200242000,-1034510000,-215094000,2050390000
21,Income Before Tax Ratio,0.3065,0.0740,-0.7272,-0.4805,0.4112
22,Income Tax expense (Gain),25153000,77810000,- -,- -,50108000
23,Net Income,375816000,122432000,-1034510000,-215094000,2000282000
24,Net Income ratio,0.2873,0.0453,-0.7272,-0.4805,0.4011
25,EPS,2.86,0.78,-7.21,-1.38,12.79
26,EPS Diluted,2.86,0.78,-7.21,-1.38,12.79
27,Weighted Average Shares Outstanding,131439295,158148148,143544851,156380252,156380252
28,Weighted Average Shares Outstanding Diluted,131439295,158148148,143544851,156380252,156380252
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,176500000,258940000,516607000,391310000,2684342000
32,Short-Term Investments,90000000,- -,11005000,62386000,- -
33,Cash and Short-Term Investments,266500000,258940000,527612000,453696000,2684342000
34,Net Receivables,32569000,157929000,161136000,100517000,367000
35,Inventory,259847000,585672000,196067000,225522000,812363000
36,Other Current Assets,620647000,365887000,55995000,227471000,1776389000
37,Total Current Assets,1179563000,1368428000,940810000,1007206000,5273461000
38,PP&E,18404000,27926000,45366000,26615000,216486000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,25000,40310000
43,Tax Assets,1062000,- -,- -,- -,99044000
44,Other Non-Current Assets,4196000,6340000,5250000,2530000,2956000
45,Total Non-Current Assets,23662000,34266000,50616000,29170000,358796000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,1203225000,1402694000,991426000,1036376000,5632257000
48,Accounts Payable,50438000,47240000,99050000,37407000,143441000
49,Short-Term Debt,- -,1049011000,137203000,61338000,14819000
50,Tax Payable,78155000,5902000,3162000,29832000,148719000
51,Deferred Revenue,202477000,6904000,8288000,430388000,1340731000
52,Other Current Liabilities,93069000,58561000,40691000,63343000,586113000
53,Total Current Liabilities,345984000,1161716000,285232000,592476000,2085104000
54,Long-Term Debt,- -,- -,13399000,3322000,16292000
