,https://roic.ai/company/PBA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,108679000,101335000,136190000,191647000,224467000,243074000,278291000,290522000,335818000,504788000,674883000,811796000,1255102000,1676710000,3427402000,5025000000,6069000000,4635000000,4265000000,5408000000,7351000000,7230000000,6202000000,8627000000
2,COGS,38301000,36576000,52475000,71368000,88972000,96151000,105028000,102736000,119010000,244681000,371855000,473534000,895370000,1331983000,2888679000,4232000000,5193000000,3769000000,3264000000,3926000000,5024000000,4797000000,4194000000,5980000000
3,Gross Profit,70378000,64759000,83715000,120279000,135495000,146923000,173263000,187786000,216808000,260107000,303028000,338262000,359732000,344727000,538723000,793000000,876000000,866000000,1001000000,1482000000,2327000000,2433000000,2008000000,2647000000
4,Gross Profit Ratio,0.6476,0.6391,0.6147,0.6276,0.6036,0.6044,0.6226,0.6464,0.6456,0.5153,0.4490,0.4167,0.2866,0.2056,0.1572,0.1578,0.1443,0.1868,0.2347,0.2740,0.3166,0.3365,0.3238,0.3068
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97488000,132000000,156000000,157000000,195000000,236000000,279000000,296000000,246000000,306000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97488000,132000000,156000000,157000000,195000000,236000000,279000000,296000000,246000000,306000000
9,Other Expenses,50987000,-18069000,-24414000,71455000,79800000,89108000,99923000,103243000,112254000,97093000,110780000,121189000,110788000,63620000,- -,- -,18000000,24000000,-1000000,28000000,27000000,15000000,-18000000,-248000000
10,Operating Expenses,50987000,-18069000,-24414000,71455000,79800000,89108000,99923000,103243000,112254000,97093000,110780000,121189000,110788000,63620000,97488000,132000000,174000000,181000000,194000000,264000000,306000000,311000000,228000000,58000000
11,COGS and Expenses,89288000,18507000,28061000,142823000,168772000,185259000,204951000,205979000,231264000,341774000,482635000,594723000,1006158000,1395603000,2986167000,4364000000,5367000000,3950000000,3458000000,4190000000,5330000000,5108000000,4422000000,6038000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5787000,1462000,5000000,5000000,- -,- -,- -,- -,1000000,- -,- -
13,Interest Expense (Gain),- -,- -,11421000,- -,- -,20291000,- -,40476000,32580000,- -,- -,51894000,60168000,88125000,121751000,106000000,99000000,113000000,112000000,183000000,286000000,321000000,416000000,440000000
14,Depreciation and Amortization,41765000,39014000,65553000,82141000,67973000,76322000,84647000,85270000,85619000,66450000,72148000,69822000,66891000,70219000,179386000,171000000,226000000,263000000,293000000,382000000,417000000,511000000,700000000,723000000
15,EBITDA,61443000,58620000,79852000,98802000,107008000,133657000,113981000,168515000,182778000,186235000,245068000,279942000,308767000,362879000,601320000,771000000,875000000,981000000,1060000000,1598000000,2445000000,2360000000,700000000,2828000000
16,EBITDA ratio,0.5654,0.5785,0.5863,0.5155,0.4767,0.5499,0.4096,0.5800,0.5443,0.3689,0.3631,0.3448,0.2460,0.2164,0.1754,0.1534,0.1442,0.2117,0.2485,0.2955,0.3326,0.3264,0.1129,0.3278
17,Operating Income,19391000,82828000,108129000,48824000,55695000,57815000,73340000,84543000,110554000,163014000,192248000,210120000,241876000,281107000,416487000,660000000,702000000,685000000,807000000,1218000000,2021000000,1822000000,4000000,2115000000
18,Operating Income ratio,0.1784,0.8174,0.7940,0.2548,0.2481,0.2378,0.2635,0.2910,0.3292,0.3229,0.2849,0.2588,0.1927,0.1677,0.1215,0.1313,0.1157,0.1478,0.1892,0.2252,0.2749,0.2520,0.0006,0.2452
19,Total Other Income Expenses (Gains),287000,-63222000,-105251000,-32163000,-16660000,-20771000,-44006000,-41774000,-45975000,-43229000,-19328000,-51894000,-60168000,-82338000,-115140000,-166000000,-130000000,-71000000,-153000000,-185000000,-279000000,-294000000,-420000000,-450000000
20,Income Before Tax,19678000,19606000,2878000,16661000,39035000,37044000,29334000,42769000,64579000,119785000,172920000,158226000,181708000,198769000,301347000,494000000,572000000,614000000,654000000,1033000000,1742000000,1528000000,-416000000,1665000000
21,Income Before Tax Ratio,0.1811,0.1935,0.0211,0.0869,0.1739,0.1524,0.1054,0.1472,0.1923,0.2373,0.2562,0.1949,0.1448,0.1185,0.0879,0.0983,0.0942,0.1325,0.1533,0.1910,0.2370,0.2113,-0.0671,0.1930
22,Income Tax expense (Gain),391000,282000,-49610000,-23610000,-20501000,-26346000,-31089000,-27640000,-24306000,-22520000,11127000,-3852000,-4992000,38869000,75339000,143000000,167000000,199000000,189000000,142000000,464000000,36000000,-100000000,423000000
23,Net Income,19287000,19324000,52488000,40271000,59536000,63390000,60423000,70409000,88885000,142305000,161793000,162078000,186700000,165666000,224844000,351000000,383000000,406000000,466000000,891000000,1278000000,1492000000,-316000000,1242000000
24,Net Income ratio,0.1775,0.1907,0.3854,0.2101,0.2652,0.2608,0.2171,0.2424,0.2647,0.2819,0.2397,0.1997,0.1488,0.0988,0.0656,0.0699,0.0631,0.0876,0.1093,0.1648,0.1739,0.2064,-0.0510,0.1440
25,EPS,0.31,0.31,0.80,0.52,0.65,0.52,0.60,0.65,0.73,1.09,1.21,1.09,1.14,0.99,0.87,1.12,1.07,1.02,1.02,1.89,2.28,2.66,-0.86,2.26
26,EPS Diluted,0.31,0.31,0.80,0.49,0.59,0.52,0.60,0.65,0.73,1.06,1.19,1.07,1.14,0.99,0.87,1.12,1.06,1.02,1.01,1.88,2.28,2.65,-0.86,2.26
27,Weighted Average Shares Outstanding,62216129,62335484,65610000,77444231,91593846,121903846,100705000,108321538,121760274,130555046,133380000,149001000,163223000,167433000,258869000,307211000,326000000,347000000,388000000,426000000,505000000,560902256,550000000,550000000
28,Weighted Average Shares Outstanding Diluted,62216129,62425000,65610000,82185714,100908475,121903846,100705000,108321538,121760274,134250000,137648000,154125000,163802000,168175000,259483000,308081000,328000000,348000000,389000000,432000000,509000000,563018868,550000000,550000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1546066/000127956913000230/0001279569-13-000230-index.html,https://www.sec.gov/Archives/edgar/data/1546066/000127956914000286/0001279569-14-000286-index.html,- -,https://www.sec.gov/Archives/edgar/data/1546066/000127956916002783/0001279569-16-002783-index.html,https://www.sec.gov/Archives/edgar/data/1546066/000127956917000319/0001279569-17-000319-index.html,https://www.sec.gov/Archives/edgar/data/1546066/000127956918000323/0001279569-18-000323-index.html,https://www.sec.gov/Archives/edgar/data/1546066/000162828019001709/0001628280-19-001709-index.html,https://www.sec.gov/Archives/edgar/data/1546066/000162828020002497/0001628280-20-002497-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,4259000,3266000,- -,- -,1861000,16736000,13638000,- -,- -,- -,27336000,51000000,53000000,28000000,35000000,321000000,157000000,129000000,81000000,43000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,4259000,3266000,- -,- -,1861000,16736000,13638000,- -,- -,- -,27336000,51000000,53000000,28000000,35000000,321000000,157000000,129000000,81000000,43000000
34,Net Receivables,- -,- -,- -,- -,26383000,33718000,26432000,31012000,44947000,56177000,65140000,83244000,105474000,148267000,321178000,419000000,429000000,493000000,435000000,512000000,588000000,667000000,638000000,780000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13493000,26099000,22783000,108096000,159000000,137000000,120000000,181000000,168000000,198000000,126000000,221000000,376000000
36,Other Current Assets,- -,- -,- -,- -,3909000,- -,- -,- -,- -,- -,- -,53927000,125397000,4643000,18042000,19000000,69000000,35000000,25000000,21000000,70000000,65000000,49000000,46000000
37,Total Current Assets,- -,- -,- -,- -,34551000,36984000,26432000,31012000,46808000,72913000,78778000,150664000,256970000,175693000,474652000,648000000,688000000,676000000,676000000,1022000000,1013000000,987000000,989000000,1245000000
38,PP&E,- -,- -,- -,- -,998341000,1175084000,1160613000,1161691000,1257729000,1524887000,1685394000,2051422000,2172450000,2745982000,5014542000,5750000000,7560000000,9254000000,11331000000,13546000000,14730000000,19597000000,19200000000,18774000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,366416000,371667000,358212000,354037000,287670000,287670000,222670000,1975612000,1966000000,2090000000,2097000000,2097000000,3871000000,3878000000,4684000000,4694000000,4693000000
40,Intangible Assets,- -,- -,- -,- -,222670000,362428000,361855000,- -,- -,- -,- -,91369000,89318000,21234000,647065000,598000000,751000000,725000000,737000000,843000000,531000000,1745000000,1646000000,1545000000
41,Intangible Assets,- -,- -,- -,- -,222670000,362428000,361855000,366416000,371667000,358212000,354037000,379039000,376988000,243904000,2622677000,2564000000,2841000000,2822000000,2834000000,4714000000,4409000000,6429000000,6340000000,6238000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161002000,161205000,165000000,153000000,145000000,134000000,6229000000,6368000000,5954000000,4377000000,4622000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,15000000,19000000,28000000,31000000,- -,- -,- -,322000000,257000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,10796000,- -,- -,- -,12621000,-4577000,- -,1000000,11000000,11000000,55000000,144000000,186000000,188000000,320000000
