,https://roic.ai/company/XNET,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,27052270,39991324,81902000,140521000,174594000,179529000,129635000,156162000,200583000,230604000,180665000,186371000
2,COGS,6578690,14309223,48068000,84012000,93260000,98459000,60034000,80319000,117876000,115667000,99913000,92637000
3,Gross Profit,20473580,25682101,33834000,56509000,81334000,81070000,69601000,75843000,82707000,114937000,80752000,93734000
4,Gross Profit Ratio,0.7568,0.6422,0.4131,0.4021,0.4658,0.4516,0.5369,0.4857,0.4123,0.4984,0.4470,0.5029
5,Research and Development Exp.,4288769,5785872,12142000,20357000,28832000,35287000,38250000,64360000,66947000,76763000,68571000,55463000
6,General and Administrative Exp.,6822868,8111418,18601000,18474000,23073000,29960000,28774000,26168000,36517000,40833000,38930000,33910000
7,Selling and Marketing Exp.,4991341,4686419,10966000,20219000,26610000,29253000,15042000,18782000,19888000,35322000,31820000,18064000
8,"Selling, General and Administrative Exp.",11814209,12797837,29567000,38693000,49683000,59213000,43816000,44950000,56405000,76155000,70750000,51974000
9,Other Expenses,- -,- -,-650000,-1621000,-1393000,-2236000,-1902000,-2358000,-2788000,-2096000,-2061000,-3648000
10,Operating Expenses,16102978,18583709,41059000,57429000,77122000,92264000,80164000,106952000,120564000,150822000,137260000,103789000
11,COGS and Expenses,22681668,32892932,89127000,141441000,170382000,190723000,140198000,187271000,238440000,266489000,237173000,196426000
12,Interest Income ,114323,106664,270000,1377000,1189000,6733000,5833000,2158000,1967000,1183000,1897000,1471000
13,Interest Expense (Gain),- -,- -,339000,1400000,- -,163000,239000,239000,239000,239000,75000,406000
14,Depreciation and Amortization,2797118,6636855,32056000,54572000,43426000,45241000,17795000,8388000,10049000,6826000,12658000,14178000
15,EBITDA,8243901,14014251,30602000,58714000,53441000,54757000,3981000,-16748000,-29786000,-32302000,-35760000,1893000
16,EBITDA ratio,0.3047,0.3504,0.3736,0.4178,0.3061,0.3050,0.0307,-0.1072,-0.1485,-0.1401,-0.1979,0.0102
17,Operating Income,4370602,7098392,-3133000,2125000,3839000,-11874000,-12465000,-33467000,-54201000,-44329000,-56422000,-18793000
18,Operating Income ratio,0.1616,0.1775,-0.0383,0.0151,0.0220,-0.0661,-0.0962,-0.2143,-0.2702,-0.1922,-0.3123,-0.1008
