,https://roic.ai/company/KGJI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,400000,600000,600000,1600000,500000,300000,- -,- -,- -,- -,- -,109800000,250500000,523000000,789000000,915700000,1189900000,1107558540,1000161290,1420624970,2009732640,2475666090
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98500000,234700000,491800000,746700000,864800000,1138600000,1031307060,961846350,1274250390,1809805470,2211343310
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11300000,15800000,31200000,42300000,50900000,51300000,76251480,38314940,146374580,199927170,264322780
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1029,0.0631,0.0597,0.0536,0.0556,0.0431,0.0688,0.0383,0.1030,0.0995,0.1068
5,Research and Development Exp.,500000,500000,400000,400000,500000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,300000,200000,1300000,1500000,2400000,- -,- -,- -,- -,- -,- -,- -,- -,4559037,4736620,5728982,6282051,10493931,8707252,12226113,13477236,11585741
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",300000,200000,1300000,1500000,2400000,- -,- -,- -,- -,- -,- -,- -,- -,4559037,4736620,5728982,6282051,10493931,8707252,12226113,13477236,11585741
9,Other Expenses,400000,-100000,-30718,-26175,-9870,999164,40910,114694,652148,649207,326477,214262,2484915,135821,149424,160957,167421,142374,116356,206069,455485,588266
10,Operating Expenses,1200000,600000,1669282,1873825,2890130,1199164,40910,114694,652148,649207,326477,214262,2484915,4694858,4886044,5889939,6449472,10636305,8823608,12432182,13932721,12174007
11,COGS and Expenses,1200000,600000,1700000,1900000,2900000,1200000,-100000,100000,700000,800000,300000,99700000,237200000,496500000,751600000,870700000,1145000000,1041943360,970179090,1223470070,1823738190,2223517320
12,Interest Income ,- -,- -,- -,152847,102584,15110,- -,- -,- -,- -,- -,- -,3030,5798,22846,- -,56253,305465,208061,2904781,2251972,1763595
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,703500,479133,441838,444997,5411812,1847240,1819581,67075714,141987542,160445078
14,Depreciation and Amortization,- -,- -,29429,37083,108783,18405,- -,- -,- -,- -,- -,1200000,1252361,1308373,1372842,1414213,1444796,1438957,1400526,1415067,1648938,1726916
15,EBITDA,-800000,- -,-970571,-62917,-2191217,-881595,100000,-100000,-700000,-800000,-300000,9400000,13855861,27087506,37814680,46459210,46356608,67454227,31120907,194028301,179003990,243455034
16,EBITDA ratio,-2.0000,- -,-1.6176,-0.0393,-4.3824,-2.9386,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.0856,0.0553,0.0518,0.0479,0.0507,0.0390,0.0609,0.0311,0.1366,0.0891,0.0983
17,Operating Income,-800000,-100000,-1100000,-300000,-2400000,-900000,100000,-100000,-700000,-800000,-300000,10100000,13200000,26500000,37400000,45000000,44900000,65615180,29982200,197154900,185994450,252148770
18,Operating Income ratio,-2.0000,-0.1667,-1.8333,-0.1875,-4.8000,-3.0000,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.0920,0.0527,0.0507,0.0474,0.0491,0.0377,0.0592,0.0300,0.1388,0.0925,0.1019
19,Total Other Income Expenses (Gains),- -,- -,100000,200000,100000,- -,- -,- -,- -,- -,- -,-1700000,-900000,-400000,-400000,-400000,-5400000,-1447150,-2081700,-71623870,-150626940,-170865720
20,Income Before Tax,-800000,-100000,-1000000,-100000,-2300000,-900000,100000,-100000,-700000,-800000,-300000,8400000,12300000,26100000,37000000,44600000,39500000,64168030,27900500,125531030,35367510,81283050
21,Income Before Tax Ratio,-2.0000,-0.1667,-1.6667,-0.0625,-4.6000,-3.0000,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.0765,0.0491,0.0499,0.0469,0.0487,0.0332,0.0579,0.0279,0.0884,0.0176,0.0328
22,Income Tax expense (Gain),-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,3200000,7100000,9800000,11900000,11200000,16836050,6338730,32627710,9174860,31736330
23,Net Income,-600000,- -,-1000000,-100000,-2300000,-900000,100000,-100000,-700000,-800000,-300000,6100000,8700000,18200000,26200000,32700000,28300000,47331980,21562070,92909810,26192650,49546710
24,Net Income ratio,-1.5000,- -,-1.6667,-0.0625,-4.6000,-3.0000,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.0556,0.0347,0.0348,0.0332,0.0357,0.0238,0.0427,0.0216,0.0654,0.0130,0.0200
25,EPS,-1.50,-0.15,-1.67,-0.14,-3.29,-1.50,0.13,-0.25,-1.75,-2.00,-0.60,1.11,1.55,2.49,3.12,3.59,2.64,4.30,1.96,8.40,2.36,4.50
26,EPS Diluted,-1.50,-0.15,-1.67,-0.14,-3.29,-1.50,0.13,-0.25,-1.75,-2.00,-0.60,1.11,1.55,2.49,3.12,3.59,2.64,4.30,1.96,8.40,2.36,4.50
27,Weighted Average Shares Outstanding,400000,500000,600000,700000,700000,600000,800000,400000,400000,400000,500000,5500000,5600000,7300000,8400000,9100000,10700000,11001400,10994140,11056410,11078670,11018920
28,Weighted Average Shares Outstanding Diluted,400000,500000,600000,700000,700000,600000,800000,400000,400000,400000,500000,5500000,5600000,7300000,8400000,9100000,10700000,11001400,10994140,11056410,11078670,11018920
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1089531/000111650205001800/0001116502-05-001800-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1089531/000111650209000505/active10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000135448810001038/kgji_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420411018554/v216529_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420412017178/v306758_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420413018016/v337177_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420414019384/v372307_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420415020162/v405067_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420416090736/v435060_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420417020749/v464032_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420418014981/tv487989_10k.htm,https://www.sec.gov/Archives/edgar/data/1089531/000114420419017761/tv517166_10k.htm
