,https://roic.ai/company/FDCT,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,555355,536396,415162,215409,457661
2,COGS,8640,8640,117554,251959,415384
3,Gross Profit,546715,527756,297608,-36550,42277
4,Gross Profit Ratio,0.9844,0.9839,0.7168,-0.1697,0.0924
5,Research and Development Exp.,- -,17752,- -,- -,- -
6,General and Administrative Exp.,634326,452683,470087,337634,1127503
7,Selling and Marketing Exp.,153325,77009,23223,24526,648833
8,"Selling, General and Administrative Exp.",787651,529692,493310,362160,1776336
9,Other Expenses,- -,59257,- -,- -,- -
10,Operating Expenses,787651,606701,493310,362160,1776336
11,COGS and Expenses,796291,633093,610864,614119,2191720
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),153759,60335,60000,63856,11564
14,Depreciation and Amortization,8640,8640,117554,251959,274462
15,EBITDA,-232157,-72113,-78136,-142675,-1453871
16,EBITDA ratio,-0.4180,-0.1344,-0.1882,-0.6623,-3.1767
17,Operating Income,-240936,-78945,-195702,-398710,-1734059
18,Operating Income ratio,-0.4338,-0.1472,-0.4714,-1.8509,-3.7890
19,Total Other Income Expenses (Gains),-153620,-62143,-59988,-59780,-2636
20,Income Before Tax,-394556,-141088,-255690,-458490,-1736695
21,Income Before Tax Ratio,-0.7105,-0.2630,-0.6159,-2.1285,-3.7947
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-394556,-141088,-255690,-458490,-1739897
24,Net Income ratio,-0.7105,-0.2630,-0.6159,-2.1285,-3.8017
25,EPS,-0.01,-0.00,-0.00,-0.01,-0.03
26,EPS Diluted,-0.01,-0.00,-0.00,-0.01,-0.03
27,Weighted Average Shares Outstanding,68626332,68626332,68620357,69312787,69033565
28,Weighted Average Shares Outstanding Diluted,68626332,68626332,68620357,69312787,69033565
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1722731/000149315219005374/0001493152-19-005374-index.htm,https://www.sec.gov/Archives/edgar/data/1722731/000149315220005931/0001493152-20-005931-index.htm,https://www.sec.gov/Archives/edgar/data/1722731/000149315221005266/0001493152-21-005266-index.htm,https://www.sec.gov/Archives/edgar/data/1722731/000149315222007869/0001493152-22-007869-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,464303,210064,27884,22467,93546
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,464303,210064,27884,22467,93546
34,Net Receivables,90626,37155,16479,16541,21153
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,2375,2375,5378,27878,494470
37,Total Current Assets,557304,249594,49741,66886,609169
38,PP&E,- -,- -,- -,- -,46024
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,306622,539123,689625,632324,3210601
41,Intangible Assets,306622,539123,689625,632324,3210601
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,22500
45,Total Non-Current Assets,306622,539123,689625,632324,3279125
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,863926,788717,739366,699210,3888293
48,Accounts Payable,- -,5500,21000,116500,445215
49,Short-Term Debt,767247,1017626,1031514,1072769,85639
50,Tax Payable,- -,- -,99498,125387,165108
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,52617,136908,296406,382295,277447
53,Total Current Liabilities,819864,1160034,1348920,1571564,808301
54,Long-Term Debt,250000,- -,- -,161834,143938
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,24292,- -,- -,3856,9224
58,Total Non-Current Liabilities,274292,- -,- -,165690,153162
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,1094156,1160034,1348920,1737254,961463
62,Preferred Stock,400,400,400,400,400
63,Common Stock,6853,6853,6862,6887,14181
64,Retained Earnings,-638717,-779804,-1035494,-1493984,-3230679
