,https://roic.ai/company/CVGI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,244963000,271226000,298678000,287579000,380445000,754481000,918751000,696786000,763489000,458569000,597779000,832022000,857916000,747718000,839743000,825341000,662112000,755231000,897737000,901238000,717699000,971578000
2,COGS,208083000,229593000,249181000,237884000,309696000,620031000,768913000,620145000,689284000,448912000,522982000,716430000,741378000,667989000,732055000,714519000,574882000,662666000,768885000,796101000,643623000,852591000
3,Gross Profit,36880000,41633000,49497000,49695000,70749000,134450000,149838000,76641000,74205000,9657000,74797000,115592000,116538000,79729000,107688000,110822000,87230000,92565000,128852000,105137000,74076000,118987000
4,Gross Profit Ratio,0.1506,0.1535,0.1657,0.1728,0.1860,0.1782,0.1631,0.1100,0.0972,0.0211,0.1251,0.1389,0.1358,0.1066,0.1282,0.1343,0.1317,0.1226,0.1435,0.1167,0.1032,0.1225
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,21569000,- -,23952000,24281000,28985000,44564000,51950000,55493000,62764000,47874000,56111000,65521000,71949000,71711000,72480000,71469000,60542000,- -,60679000,62549000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",21569000,- -,23952000,24281000,28985000,44564000,51950000,55493000,62764000,47874000,56111000,65521000,71949000,71711000,72480000,71469000,60542000,59800000,60679000,62549000,64794000,69406000
9,Other Expenses,8286000,- -,122000,185000,10232000,358000,414000,894000,1379000,389000,240000,346000,493000,1580000,1515000,1327000,1305000,1320000,1300000,1952000,3434000,- -
10,Operating Expenses,29855000,- -,24074000,24466000,39217000,44922000,52364000,56387000,64143000,48263000,56351000,65867000,72442000,73291000,73995000,72796000,61847000,61120000,61979000,64501000,68228000,69406000
11,COGS and Expenses,237938000,229593000,273255000,262350000,348913000,664953000,821277000,676532000,753427000,497175000,579333000,782297000,813820000,741280000,806050000,787315000,636729000,723786000,830864000,860602000,711851000,921997000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),12396000,14885000,12940000,9796000,7244000,13195000,14829000,14147000,15389000,15133000,16834000,19570000,20945000,21087000,20716000,21359000,19318000,19149000,14676000,16855000,20603000,11179000
14,Depreciation and Amortization,9078000,- -,9329000,8604000,7567000,12912000,15878000,17284000,19062000,16117000,10338000,346000,14067000,20583000,18247000,17710000,16451000,15344000,15418000,15514000,18493000,18495000
15,EBITDA,18058000,17942000,-17976000,27631000,38741000,104656000,116502000,26595000,-186277000,-66584000,31834000,41616000,58141000,26888000,51724000,55887000,42603000,48138000,83602000,53925000,-5404000,61799000
16,EBITDA ratio,0.0737,0.0662,-0.0602,0.0961,0.1018,0.1387,0.1268,0.0382,-0.2440,-0.1452,0.0533,0.0500,0.0678,0.0360,0.0616,0.0677,0.0643,0.0637,0.0931,0.0598,-0.0075,0.0636
17,Operating Income,7025000,15595000,25423000,25229000,31532000,89528000,97474000,18821000,-191394000,-89664000,16716000,49056000,44096000,6438000,33693000,38026000,25383000,31445000,66873000,40636000,-23169000,49581000
18,Operating Income ratio,0.0287,0.0575,0.0851,0.0877,0.0829,0.1187,0.1061,0.0270,-0.2507,-0.1955,0.0280,0.0590,0.0514,0.0086,0.0401,0.0461,0.0383,0.0416,0.0745,0.0451,-0.0323,0.0510
19,Total Other Income Expenses (Gains),-10441000,-12538000,-14038000,-15998000,-7602000,-10979000,-11679000,-23657000,-29334000,-8170000,-12054000,-27371000,-21014000,-21226000,-20931000,-21207000,-18549000,-17800000,-13365000,-19080000,-21331000,-17456000
20,Income Before Tax,-3416000,3057000,11385000,9231000,23930000,78549000,85795000,-4836000,-220728000,-97834000,4662000,21685000,23082000,-14788000,12762000,16819000,6834000,13645000,53508000,21556000,-44500000,32125000
21,Income Before Tax Ratio,-0.0139,0.0113,0.0381,0.0321,0.0629,0.1041,0.0934,-0.0069,-0.2891,-0.2133,0.0078,0.0261,0.0269,-0.0198,0.0152,0.0204,0.0103,0.0181,0.0596,0.0239,-0.0620,0.0331
22,Income Tax expense (Gain),-2550000,5072000,5235000,5267000,6481000,29138000,27745000,-1585000,-13969000,-16299000,-1825000,3095000,-26948000,-2337000,5131000,9758000,49000,15350000,8996000,5778000,-7451000,8393000
23,Net Income,-866000,-2015000,-45480000,3964000,17449000,49411000,58050000,-3251000,-206759000,-81535000,6487000,18605000,50077000,-12445000,7630000,7060000,6785000,-1705000,44512000,15778000,-37049000,23732000
24,Net Income ratio,-0.0035,-0.0074,-0.1523,0.0138,0.0459,0.0655,0.0632,-0.0047,-0.2708,-0.1778,0.0109,0.0224,0.0584,-0.0166,0.0091,0.0086,0.0102,-0.0023,0.0496,0.0175,-0.0516,0.0244
25,EPS,-0.09,-0.15,-3.29,0.29,1.13,2.54,2.74,-0.15,-9.58,-3.74,0.25,0.67,1.77,-0.44,0.26,0.24,0.23,-0.06,1.47,0.52,-1.20,0.75
26,EPS Diluted,-0.09,-0.15,-3.29,0.29,1.12,2.51,2.69,-0.15,-9.58,-3.74,0.24,0.66,1.76,-0.44,0.26,0.24,0.23,-0.06,1.46,0.51,-1.20,0.72
27,Weighted Average Shares Outstanding,9622222,13893000,13827000,13668966,15441593,19453150,21151000,21439000,21579000,21811000,26247000,27848000,28230000,28584000,28926000,29209000,29530000,29942000,30277000,30602000,30943000,31501000
28,Weighted Average Shares Outstanding Diluted,9622222,13893000,13940000,13668966,15579464,19685657,21545000,21439000,21579000,21811000,26994000,28190000,28428000,28584000,29117000,29399000,29878000,29942000,30587000,30823000,30943000,32790000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1290900/000095013405004951/0000950134-05-004951-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000095013406004739/0000950134-06-004739-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000095013707003724/0000950137-07-003724-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000095013708003688/0000950137-08-003688-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000095013709001889/0000950137-09-001889-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000095012310024157/0000950123-10-024157-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000095012311025646/0000950123-11-025646-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000119312512112407/0001193125-12-112407-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000119312513101176/0001193125-13-101176-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000119312514101909/0001193125-14-101909-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000119312515093795/0001193125-15-093795-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000162828016012603/0001628280-16-012603-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000162828017002449/0001628280-17-002449-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1290900/000162828019002781/0001628280-19-002781-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000162828020003659/0001628280-20-003659-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000162828021004275/0001628280-21-004275-index.htm,https://www.sec.gov/Archives/edgar/data/1290900/000162828022004584/0001628280-22-004584-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,1637000,3486000,1396000,40641000,19821000,9867000,7310000,9524000,42591000,87955000,68369000,72695000,70091000,92194000,130160000,52244000,70913000,39511000,50503000,34958000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,1637000,3486000,1396000,40641000,19821000,9867000,7310000,9524000,42591000,87955000,68369000,72695000,70091000,92194000,130160000,52244000,70913000,39511000,50503000,34958000
34,Net Receivables,- -,- -,29683000,40211000,46267000,114116000,123471000,107687000,100898000,74063000,91101000,130297000,114573000,119069000,139912000,130240000,97793000,108595000,134624000,115099000,151101000,174472000
35,Inventory,- -,- -,29739000,29667000,36936000,69053000,88723000,96385000,90782000,58051000,66622000,79423000,88481000,80133000,83776000,75658000,71054000,99015000,92359000,82872000,91247000,141045000
36,Other Current Assets,- -,- -,10671000,9749000,14282000,17295000,33091000,29497000,20428000,26781000,11109000,9307000,14827000,15716000,15493000,10185000,9941000,14792000,16828000,18490000,17686000,20201000
37,Total Current Assets,- -,- -,71730000,83113000,98881000,241105000,265106000,243436000,219418000,168419000,211423000,306982000,286250000,287613000,309272000,308277000,308948000,274646000,314724000,255972000,310537000,370676000
38,PP&E,- -,- -,35024000,33492000,32965000,80415000,90388000,98258000,90392000,62315000,59321000,76672000,83304000,78876000,73462000,70961000,66041000,64630000,65099000,108646000,92823000,89242000
39,Goodwill,- -,- -,- -,- -,- -,- -,134766000,151189000,- -,- -,- -,- -,8986000,8220000,8056000,7834000,7703000,8045000,7576000,27816000,- -,- -
40,Intangible Assets,- -,- -,80624000,82872000,84715000,210184000,84188000,97575000,34610000,4087000,3848000,7315000,23001000,20349000,18589000,16946000,15511000,14548000,12800000,25258000,21804000,18283000
