,https://roic.ai/company/INGN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,30634000,48576000,75443000,112537000,159005000,202829000,249438000,358111000,361943000,308487000,358003000
2,COGS,15930000,24627000,36452000,57020000,82747000,105519000,128201000,179531000,190082000,170307000,181520000
3,Gross Profit,14704000,23949000,38991000,55517000,76258000,97310000,121237000,178580000,171861000,138180000,176483000
4,Gross Profit Ratio,0.4800,0.4930,0.5168,0.4933,0.4796,0.4798,0.4860,0.4987,0.4748,0.4479,0.4930
5,Research and Development Exp.,1789000,2262000,2398000,2977000,4180000,5113000,5313000,7029000,9401000,14080000,16576000
6,General and Administrative Exp.,5623000,8289000,13754000,17942000,25658000,31793000,37576000,38018000,37121000,38605000,37852000
7,Selling and Marketing Exp.,9014000,12569000,18375000,24087000,31369000,37540000,50758000,95641000,105550000,97520000,112815000
8,"Selling, General and Administrative Exp.",14637000,20858000,32129000,42029000,57027000,69333000,88334000,133659000,142671000,136125000,150667000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,16426000,23120000,34527000,45006000,61207000,74446000,93647000,140688000,152072000,150205000,167243000
11,COGS and Expenses,32356000,47747000,70979000,102026000,143954000,179965000,221848000,320219000,342154000,320512000,348763000
12,Interest Income ,113000,88000,12000,42000,102000,196000,765000,3259000,4712000,909000,129000
13,Interest Expense (Gain),261000,493000,562000,449000,22000,6000,- -,- -,- -,- -,- -
14,Depreciation and Amortization,3198000,4984000,8544000,12080000,14012000,13558000,12302000,11295000,13834000,18581000,21628000
15,EBITDA,1470000,6059000,12954000,22581000,28761000,36289000,41958000,51750000,38106000,13301000,30287000
16,EBITDA ratio,0.0480,0.1247,0.1717,0.2007,0.1809,0.1789,0.1682,0.1445,0.1053,0.0431,0.0846
17,Operating Income,-1722000,829000,4464000,10511000,15051000,22864000,27590000,37892000,19789000,-12025000,9240000
18,Operating Income ratio,-0.0562,0.0171,0.0592,0.0934,0.0947,0.1127,0.1106,0.1058,0.0547,-0.0390,0.0258
19,Total Other Income Expenses (Gains),-267000,-247000,-616000,-459000,-324000,-139000,2066000,2563000,4483000,6745000,-581000
20,Income Before Tax,-1989000,582000,3848000,10052000,14727000,22725000,29656000,40455000,24272000,-5280000,8659000
21,Income Before Tax Ratio,-0.0649,0.0120,0.0510,0.0893,0.0926,0.1120,0.1189,0.1130,0.0671,-0.0171,0.0242
22,Income Tax expense (Gain),13000,18000,-21587000,3226000,3142000,2206000,8654000,-11390000,3322000,549000,14992000
23,Net Income,-2002000,564000,25435000,6826000,11585000,20519000,21002000,51845000,20950000,-5829000,-6333000
24,Net Income ratio,-0.0654,0.0116,0.3371,0.0607,0.0729,0.1012,0.0842,0.1448,0.0579,-0.0189,-0.0177
25,EPS,-0.35,0.04,1.01,0.33,0.60,1.02,1.02,2.44,0.96,-0.27,-0.28
26,EPS Diluted,-0.35,0.04,1.01,0.30,0.56,0.97,0.96,2.30,0.94,-0.27,-0.28
27,Weighted Average Shares Outstanding,14516523,14601861,18048936,16182569,19398991,20067152,20683807,21266696,21821104,21980326,22490027
28,Weighted Average Shares Outstanding Diluted,16350527,15486487,18048936,18037498,20708170,21095867,21897988,22514513,22241064,21980326,22490027
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1294133/000119312514124293/0001193125-14-124293-index.htm,https://www.sec.gov/Archives/edgar/data/1294133/000156459015002861/ingn-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1294133/000156459016014699/0001564590-16-014699-index.html,https://www.sec.gov/Archives/edgar/data/1294133/000156459017002859/0001564590-17-002859-index.html,https://www.sec.gov/Archives/edgar/data/1294133/000156459018003518/0001564590-18-003518-index.html,https://www.sec.gov/Archives/edgar/data/1294133/000156459019004462/0001564590-19-004462-index.html,https://www.sec.gov/Archives/edgar/data/1294133/000156459020006402/0001564590-20-006402-index.html,https://www.sec.gov/Archives/edgar/data/1294133/000156459021008106/0001564590-21-008106-index.htm,https://www.sec.gov/Archives/edgar/data/1294133/000156459022006703/0001564590-22-006703-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,3906000,15112000,13521000,56836000,66106000,92851000,142953000,196634000,198037000,211962000,235524000
32,Short-Term Investments,- -,- -,- -,- -,16793000,21033000,30991000,43715000,11057000,19257000,9989000
33,Cash and Short-Term Investments,3906000,15112000,13521000,56836000,82899000,113884000,173944000,240349000,209094000,231219000,245513000
34,Net Receivables,4369000,7031000,10318000,21478000,22030000,31261000,32757000,39696000,37301000,31765000,25795000
35,Inventory,1665000,4059000,4248000,7616000,8648000,14343000,18842000,27071000,35664000,24815000,31873000
36,Other Current Assets,503000,468000,4743000,6613000,1267000,2057000,2945000,7467000,10160000,17898000,26005000
37,Total Current Assets,10443000,26670000,32830000,92543000,114844000,161545000,228488000,314583000,292219000,305697000,329186000
38,PP&E,12843000,20279000,29722000,31927000,30680000,25199000,20103000,22341000,25293000,37057000,63838000
39,Goodwill,- -,- -,- -,- -,- -,- -,2363000,2257000,32954000,33165000,32979000
40,Intangible Assets,793000,558000,215000,270000,229000,241000,4717000,3755000,77533000,68797000,60147000
41,Intangible Assets,793000,558000,215000,270000,229000,241000,7080000,6012000,110487000,101962000,93126000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,19257000,- -
43,Tax Assets,- -,- -,17865000,15248000,15464000,26654000,18636000,30130000,14452000,14467000,- -
44,Other Non-Current Assets,52000,79000,1765000,97000,97000,410000,765000,2832000,4888000,-16588000,3363000
45,Total Non-Current Assets,13688000,20916000,49567000,47542000,46470000,52504000,46584000,61315000,155120000,156155000,160327000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,24131000,47586000,82397000,140085000,161314000,214049000,275072000,375898000,447339000,461852000,489513000
48,Accounts Payable,5737000,8335000,9219000,11273000,7448000,5738000,9541000,13720000,16399000,12520000,10258000
49,Short-Term Debt,2532000,3879000,5258000,299000,315000,- -,- -,- -,2014000,1931000,3393000
50,Tax Payable,21000,25000,- -,- -,56000,281000,824000,910000,1534000,1691000,561000
51,Deferred Revenue,594000,1094000,1487000,2316000,2323000,2239000,3533000,4451000,5478000,6994000,8568000
52,Other Current Liabilities,278000,482000,3707000,4847000,11927000,14868000,20812000,28414000,26290000,35265000,39293000
53,Total Current Liabilities,9141000,13790000,19671000,18735000,22013000,22845000,33886000,46585000,50181000,56710000,61512000
54,Long-Term Debt,7097000,5057000,5391000,315000,- -,- -,- -,- -,- -,8078000,23281000
55,Deferred Revenue,- -,- -,776000,2176000,4199000,7042000,9402000,11844000,13541000,11822000,11861000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,348000,232000,87000,25000,- -
57,Other Non-Current Liabilities,337000,164000,260000,709000,1084000,2074000,4395000,6813000,38909000,35594000,22632000
58,Total Non-Current Liabilities,7434000,5221000,6427000,3200000,5283000,9116000,14145000,18889000,52537000,55519000,57774000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,6716000,10009000,26674000
61,Total Liabilities,16575000,19011000,26098000,21935000,27296000,31961000,48031000,65474000,102718000,112229000,119286000
62,Preferred Stock,83369000,109592000,118918000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,1000,19000,20000,20000,21000,22000,22000,22000,23000
64,Retained Earnings,-75814000,-81018000,-62620000,-56693000,-45108000,-12363000,8639000,60484000,81434000,75605000,69272000
65,Other Comprehensive Income/Loss,-6140000,-10639000,-15956000,-25840000,-37000,-35000,272000,724000,-87000,475000,1469000
66,Other Total Stockholders Equity,6140000,10639000,15956000,200664000,179143000,194466000,218109000,249194000,263252000,273521000,- -
67,Total Stockholders Equity,7556000,28575000,56299000,118150000,134018000,182088000,227041000,310424000,344621000,349623000,370227000
68,Total Liabilities And Stockholders Equity,24131000,47586000,82397000,140085000,161314000,214049000,275072000,375898000,447339000,461852000,489513000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,24131000,47586000,82397000,140085000,161314000,214049000,275072000,375898000,447339000,461852000,489513000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1294133/000119312514124293/0001193125-14-124293-index.htm,https://www.sec.gov/Archives/edgar/data/1294133/000156459015002861/ingn-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1294133/000156459016014699/0001564590-16-014699-index.html,https://www.sec.gov/Archives/edgar/data/1294133/000156459017002859/0001564590-17-002859-index.html,https://www.sec.gov/Archives/edgar/data/1294133/000156459018003518/0001564590-18-003518-index.html,https://www.sec.gov/Archives/edgar/data/1294133/000156459019004462/0001564590-19-004462-index.html,https://www.sec.gov/Archives/edgar/data/1294133/000156459020006402/0001564590-20-006402-index.html,https://www.sec.gov/Archives/edgar/data/1294133/000156459021008106/0001564590-21-008106-index.htm,https://www.sec.gov/Archives/edgar/data/1294133/000156459022006703/0001564590-22-006703-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-2002000,564000,25435000,6826000,11585000,20519000,21002000,51845000,20950000,-5829000,-6333000
74,Depreciation and Amortization,3198000,4984000,8544000,12080000,14012000,13558000,12302000,11295000,13834000,18581000,21628000
75,Deferred Income Tax,- -,3000,-21788000,1564000,4760000,1036000,7947000,-11595000,2873000,-82000,14444000
76,Stock Based Compensation,144000,60000,230000,1451000,3640000,7294000,9640000,12790000,9129000,8203000,10943000
77,Change in Working Capital,-3200000,11578000,279000,60649000,19023000,45869000,55902000,73396000,-25960000,6949000,-20065000
78,Accounts Receivable,-4057000,-3764000,-13628000,-22159000,-16699000,-32738000,-18263000,-25963000,-16707000,-8177000,-6127000
79,Inventory,109000,-2444000,-267000,-3570000,-2570000,-7458000,-5894000,-9972000,-10336000,7591000,-10775000
80,Accounts Payable,340000,2598000,2150000,3637000,1582000,-86000,7438000,6360000,3202000,-5830000,-6476000
81,Other Working Capital,1302000,12880000,13159000,73808000,92831000,138700000,194602000,267998000,242038000,248987000,945000
82,Other Non-Cash Items,3719000,-13185000,767000,-66873000,-14859000,-57242000,-46299000,-77754000,19767000,9191000,3016000
83,Cash Provided by Operating Activities,1859000,4004000,13467000,15697000,38161000,31034000,60494000,59977000,40593000,37013000,23633000
84,CAPEX,-8960000,-12448000,-18142000,-16237000,-12489000,-8016000,-10227000,-12973000,-6514000,-17597000,-24067000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-4494000,- -,-70401000,- -,- -
86,Purchases of Investments,- -,- -,- -,-17000,-36626000,-33142000,-46933000,-76162000,-58686000,-22751000,-9987000
87,Sales/Maturities of Investments,- -,- -,- -,- -,19810000,28843000,37041000,63455000,91350000,14545000,19256000
88,Other Investing Activites,-119000,-90000,-37000,-205000,-45000,275000,-3133000,365000,-60000,-92000,21000
89,Cash Used for Investing Activites,-8918000,-12475000,-18142000,-16254000,-29305000,-11927000,-24430000,-24965000,-44057000,-25640000,-14645000
90,Debt Repayment,-871000,-6693000,-4212000,-16074000,-299000,-315000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,56471000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,6047000,26370000,7296000,3475000,680000,8029000,14004000,18296000,4929000,2066000,15000000
95,Cash Used/Provided by Financing Activities,5176000,19677000,3084000,43872000,381000,7714000,14004000,18296000,4929000,2066000,15000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,33000,-76000,34000,373000,-62000,486000,-426000
97,Net Change In Cash,-1883000,11206000,-1591000,43315000,9270000,26745000,50102000,53681000,1403000,13925000,23562000
98,Cash at the End of Period,3906000,15112000,13521000,56836000,66106000,92851000,142953000,196634000,198037000,211962000,235524000
99,Cash at the Beginning of Period,5789000,3906000,15112000,13521000,56836000,66106000,92851000,142953000,196634000,198037000,211962000
100,Free Cash Flow,-7101000,-8444000,-4675000,-540000,25672000,23018000,50267000,47004000,34079000,19416000,-434000
