,https://roic.ai/company/RENT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,91076000,97088000,91071000,99177000,75600000,102922000,- -,- -,- -,- -,256900000,157500000
2,COGS,58277000,54853000,48125000,53631000,27247000,35848000,- -,- -,- -,- -,- -,- -
3,Gross Profit,32799000,42235000,42946000,45546000,48353000,67074000,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.3601,0.4350,0.4716,0.4592,0.6396,0.6517,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40200000,37700000
6,General and Administrative Exp.,- -,- -,- -,- -,48799000,59861000,- -,- -,- -,- -,98900000,77200000
7,Selling and Marketing Exp.,33055000,44319000,48854000,67757000,- -,- -,- -,- -,- -,- -,22900000,8100000
8,"Selling, General and Administrative Exp.",33055000,44319000,48854000,67757000,48799000,59861000,- -,- -,- -,- -,121800000,85300000
9,Other Expenses,- -,- -,- -,- -,9014000,13292000,- -,- -,- -,- -,224900000,165000000
10,Operating Expenses,33055000,44319000,48854000,67757000,57813000,73153000,- -,- -,- -,- -,386900000,288000000
11,COGS and Expenses,91332000,99172000,96979000,121388000,85060000,109001000,- -,- -,- -,- -,386900000,288000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000000,46600000
14,Depreciation and Amortization,2329000,3432000,4351000,4951000,5929000,7520000,- -,- -,- -,- -,83200000,80000000
15,EBITDA,2556000,1424000,-1080000,-16822000,-508000,5108000,- -,- -,- -,- -,-46900000,-44500000
16,EBITDA ratio,0.0281,0.0147,-0.0119,-0.1696,-0.0067,0.0496,- -,- -,- -,- -,-0.1826,-0.2825
17,Operating Income,-924000,-2603000,-5908000,-22211000,-9460000,-6079000,- -,- -,- -,- -,-130000000,-130500000
18,Operating Income ratio,-0.0101,-0.0268,-0.0649,-0.2240,-0.1251,-0.0591,- -,- -,- -,- -,-0.5060,-0.8286
19,Total Other Income Expenses (Gains),1151000,595000,477000,377000,125000,291000,- -,- -,- -,- -,-24100000,-40600000
20,Income Before Tax,227000,-2008000,-5431000,-21834000,-9335000,-5788000,- -,- -,- -,- -,-154100000,-171100000
21,Income Before Tax Ratio,0.0025,-0.0207,-0.0596,-0.2202,-0.1235,-0.0562,- -,- -,- -,- -,-0.5998,-1.0863
22,Income Tax expense (Gain),-349000,-1241000,995000,844000,-2183000,-424000,- -,- -,- -,- -,-200000,- -
23,Net Income,576000,-767000,-6426000,-22617000,-4254000,-1988000,- -,- -,- -,- -,-153900000,-171100000
24,Net Income ratio,0.0063,-0.0079,-0.0706,-0.2280,-0.0563,-0.0193,- -,- -,- -,- -,-0.5991,-1.0863
25,EPS,0.05,-0.07,-0.57,-1.93,-0.35,-0.15,- -,- -,- -,- -,-2.46,-3.03
26,EPS Diluted,0.05,-0.07,-0.57,-1.93,-0.35,-0.15,- -,- -,- -,- -,-2.46,-3.03
27,Weighted Average Shares Outstanding,10527000,10962000,11197000,11733000,12177000,13508000,- -,- -,- -,- -,62456919,62456919
28,Weighted Average Shares Outstanding Diluted,11013000,10962000,11197000,11733000,12177000,13508000,- -,- -,- -,- -,62456919,62456919
29,SEC Link,https://www.sec.gov/Archives/edgar/data/800458/000119312510138934/0001193125-10-138934-index.html,https://www.sec.gov/Archives/edgar/data/800458/000119312511162908/0001193125-11-162908-index.html,https://www.sec.gov/Archives/edgar/data/800458/000144530512001974/0001445305-12-001974-index.htm,https://www.sec.gov/Archives/edgar/data/800458/000080045813000007/0000800458-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/800458/000080045814000009/0000800458-14-000009-index.html,https://www.sec.gov/Archives/edgar/data/800458/000080045815000015/0000800458-15-000015-index.html,undefined,undefined,undefined,undefined,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,2435000,3821000,5526000,3835000,5102000,3691000,- -,- -,- -,- -,31400000,95300000
32,Short-Term Investments,17490000,22556000,22227000,16588000,16868000,80318000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,19925000,26377000,27753000,20423000,21970000,84009000,- -,- -,- -,- -,31400000,95300000
34,Net Receivables,19862000,16713000,14260000,16682000,12525000,16884000,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2151000,2969000,1033000,2188000,8427000,3988000,- -,- -,- -,- -,15500000,8100000
37,Total Current Assets,41938000,46059000,43046000,39293000,42922000,104881000,- -,- -,- -,- -,46900000,103400000
38,PP&E,7569000,8834000,10846000,14262000,17891000,23035000,- -,- -,- -,- -,215900000,197200000
39,Goodwill,3396000,5222000,5101000,4998000,7034000,135890000,- -,- -,- -,- -,- -,- -
40,Intangible Assets,11344000,14122000,13165000,12396000,12724000,16384000,- -,- -,- -,- -,9000000,7800000
41,Intangible Assets,14740000,19344000,18266000,17394000,19758000,152274000,- -,- -,- -,- -,9000000,7800000
42,Investments,17490000,22556000,22227000,500000,500000,4200000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,48000,36000,44000,60000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-16931000,-20618000,-21552000,294000,152000,73000,- -,- -,- -,- -,4100000,12300000
45,Total Non-Current Assets,22868000,30116000,29835000,32486000,38345000,179642000,- -,- -,- -,- -,229000000,217300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,64806000,76175000,72881000,71779000,81267000,284523000,- -,- -,- -,- -,275900000,320700000
48,Accounts Payable,6170000,7223000,5291000,5856000,2339000,3967000,- -,- -,- -,- -,12700000,7200000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,7600000
50,Tax Payable,1015000,1261000,731000,1080000,806000,974000,- -,- -,- -,- -,1900000,1000000
51,Deferred Revenue,68000,1210000,1915000,2610000,2644000,3812000,- -,- -,- -,- -,13700000,5600000
52,Other Current Liabilities,5073000,9166000,11996000,10267000,14858000,19006000,- -,- -,- -,- -,20200000,20200000
53,Total Current Liabilities,11311000,17599000,19202000,18733000,19841000,26785000,- -,- -,- -,- -,51700000,40600000
54,Long-Term Debt,- -,- -,525000,550000,- -,2358000,- -,- -,- -,- -,256800000,406600000
55,Deferred Revenue,- -,- -,1819000,2238000,2413000,2358000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,79000,574000,759000,2228000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331700000,400200000
58,Total Non-Current Liabilities,- -,- -,2423000,3362000,3172000,6944000,- -,- -,- -,- -,588500000,806800000
