,https://roic.ai/company/CTEK,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,2421865,1374941,7281809,4290962,10248270,19592946,21016012,15982456,15407552,21845619,35647021,42974978,44032076,61253853,60200383,71638947,71106459,21364810,18872235,16301905
2,COGS,- -,- -,- -,966180,778720,4012100,3225155,9270539,15149055,15907494,11934706,12532193,19131257,31018117,35294204,35799726,50664713,47888296,50739359,50233836,13018673,12624389,8807429
3,Gross Profit,- -,- -,- -,1455685,596221,3269709,1065807,977731,4443891,5108518,4047750,2875359,2714362,4628904,7680774,8232350,10589140,12312087,20899588,20872623,8346137,6247846,7494476
4,Gross Profit Ratio,- -,- -,- -,0.6011,0.4336,0.4490,0.2484,0.0954,0.2268,0.2431,0.2533,0.1866,0.1243,0.1299,0.1787,0.1870,0.1729,0.2045,0.2917,0.2935,0.3906,0.3311,0.4597
5,Research and Development Exp.,- -,- -,- -,396077,659910,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,10989,41040,2772560,2756678,2708682,4110693,4125143,- -,2868460,2663827,2861844,3360513,3654716,3785778,4432374,6802582,6927404,7662486,8074553,6891245,6512607,7796136
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1476223,1323399,1566137,1830538,2604783,2112285,2125085,2809377,2723735,5747758,5720421,5347822,5567360,4866881
8,"Selling, General and Administrative Exp.",- -,10989,41040,2772560,2756678,2708682,4110693,4125143,3506118,4344683,3987226,4427981,5191051,6259499,5898063,6557459,9611959,9651139,13410244,13794974,12239067,12079967,12663017
9,Other Expenses,2905,1550,- -,- -,101720,333092,482564,255206,238165,190973,- -,- -,- -,- -,- -,- -,- -,- -,2464165,2159568,2072296,1854403,949284
10,Operating Expenses,2905,12539,41040,3168637,3518308,3041774,4593257,4380349,3744283,4535656,3987226,4427981,5191051,6259499,5898063,6557459,9611959,9651139,15874409,15954542,14311363,13934370,13612301
11,COGS and Expenses,2905,12539,41040,4134817,4297028,7053874,7818412,13650888,18893338,20443150,15921932,16960174,24322308,37277616,41192267,42357185,60276672,57539435,66613768,66188378,27330036,26558759,22419730
12,Interest Income ,- -,- -,- -,652,3772,6148,35373,28826,19269,6244,1637,1301,2487,300,- -,- -,- -,- -,- -,- -,77248,10001,- -
13,Interest Expense (Gain),- -,- -,5000,85706,16088,13662,148365,537018,1026592,625602,96747,6918,171945,465131,436476,259112,127576,91885,1526653,1449863,617310,100714,-34259
14,Depreciation and Amortization,1630,- -,- -,239940,155579,380356,566987,378012,762673,310240,169822,250252,125601,117357,123725,212621,638933,753321,2464165,2159568,2072296,189638,1556207
15,EBITDA,-1275,-12539,-41040,-2163844,-3232553,1105584,-2640232,-2985332,1722855,889346,233843,-1301069,-2286601,-1791938,1986436,1887512,2235601,780568,5913943,6635189,16051502,-23223385,-1804636
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-0.8935,-2.3510,0.1518,-0.6153,-0.2913,0.0879,0.0423,0.0146,-0.0844,-0.1047,-0.0503,0.0462,0.0429,0.0365,0.0130,0.0826,0.0933,0.7513,-1.2306,-0.1107
17,Operating Income,- -,-12539,-41040,-1712952,-2922087,227935,-3527450,-3402618,699608,572862,60524,-1552622,-2476689,-1630595,1782711,1674891,977181,27247,4844453,4479812,-6400967,-23423024,-6117825
18,Operating Income ratio,- -,-Infinity,-Infinity,-0.7073,-2.1252,0.0313,-0.8221,-0.3320,0.0357,0.0273,0.0038,-0.1008,-0.1134,-0.0457,0.0415,0.0380,0.0160,0.0005,0.0676,0.0630,-0.2996,-1.2411,-0.3753
19,Total Other Income Expenses (Gains),-1630,- -,- -,-776538,-482133,-4264,171866,-497744,-766018,-619358,-93250,-5617,-107458,-743831,-356476,-259112,491911,-91885,-2921328,-1454054,-542224,-90713,2791241
20,Income Before Tax,-4535,- -,- -,-2489490,-3404220,223671,-3355584,-3900362,-66410,-46496,-32726,-1558239,-2584147,-2374426,1426235,1415779,1469092,-64638,1923125,3025758,-6943191,-23513737,-3326584
21,Income Before Tax Ratio,-Infinity,- -,- -,-1.0279,-2.4759,0.0307,-0.7820,-0.3806,-0.0034,-0.0022,-0.0020,-0.1011,-0.1183,-0.0666,0.0332,0.0322,0.0240,-0.0011,0.0268,0.0426,-0.3250,-1.2459,-0.2041
22,Income Tax expense (Gain),- -,- -,- -,800,800,-282160,3200,2400,5397,55891,2974,11479,7495,7440,78419,78860,152436,-5074439,2365476,1132166,-1528808,-5045249,-1080005
23,Net Income,-4535,-12539,-46040,-2490290,-3405020,993726,-3358784,-3902762,-71807,-102387,-35700,-1569718,-2591642,-2381866,1347816,1336919,1316656,5009801,-442351,1893592,14890704,-18468488,-2246579
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-1.0283,-2.4765,0.1365,-0.7828,-0.3808,-0.0037,-0.0049,-0.0022,-0.1019,-0.1186,-0.0668,0.0314,0.0304,0.0215,0.0832,-0.0062,0.0266,0.6970,-0.9786,-0.1378
25,EPS,-0.09,-0.09,-0.36,-2.43,-1.53,0.24,-0.63,-0.72,-0.01,-0.03,-0.01,-0.24,-0.39,-0.36,0.21,0.18,0.15,0.61,-0.05,0.20,1.51,-1.75,-0.21
26,EPS Diluted,-0.09,-0.09,-0.36,-2.43,-1.53,0.21,-0.63,-0.72,-0.03,-0.03,-0.01,-0.24,-0.39,-0.36,0.18,0.18,0.15,0.60,-0.05,0.19,1.49,-1.75,-0.21
27,Weighted Average Shares Outstanding,137125,137125,134708,1007470,2195857,4243099,5207891,5358764,5380862,5611463,6190702,6408779,6458731,6529986,6753251,7354255,8050182,8173203,9425281,9608312,9858562,10573123,10573123
28,Weighted Average Shares Outstanding Diluted,137125,137125,134708,1007470,2195857,4839200,5207891,5358764,7295143,5611463,6190702,6408779,6458731,6529986,7614485,7812534,8326303,8283862,9425281,9873011,10000507,10573123,10573123
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1011432/000114420406012139/0001144204-06-012139-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1011432/000082357910000067/0000823579-10-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000082357911000086/0000823579-11-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586612000197/0001445866-12-000197-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586613000278/0001445866-13-000278-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586614000206/0001445866-14-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586615000309/0001445866-15-000309-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586616001814/0001445866-16-001814-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586617000307/0001445866-17-000307-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586618000299/0001445866-18-000299-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586619000298/0001445866-19-000298-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000144586620000277/0001445866-20-000277-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000109690621000585/0001096906-21-000585-index.htm,https://www.sec.gov/Archives/edgar/data/1011432/000109690622000663/0001096906-22-000663-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1807,5468,11895,320364,226398,951090,664941,319437,666428,1198126,1781586,2249907,1832115,2190972,4668624,4743395,6436732,6090844,4252060,6571381,5328726,5613654,3575682
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,16250,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1807,5468,11895,320364,226398,951090,681191,319437,666428,1198126,1781586,2249907,1832115,2190972,4668624,4743395,6436732,6090844,4252060,6571381,5328726,5613654,3575682
34,Net Receivables,- -,- -,- -,359681,111426,241198,488824,1724258,2405528,4201169,1397598,1160251,2032738,4693660,3856791,6808183,7397957,9614486,13264323,10696738,3210726,4310715,1484851
35,Inventory,- -,- -,- -,- -,- -,- -,- -,690478,729604,745207,537170,687845,651874,1059730,967354,1066132,1458609,1087318,1156005,1184474,- -,- -,- -
36,Other Current Assets,- -,1254532,- -,62812,48394,1410732,534942,30673,46980,78593,93246,331483,74977,52113,332759,214105,625806,438140,557427,3544521,1205769,2032420,4390266
37,Total Current Assets,- -,1260000,11895,742857,386218,2603020,1704957,2764846,3848540,6223095,3809600,4429486,4591704,7996475,9825528,12831815,15919104,17230788,19229815,21997114,9745221,11956789,9450799
38,PP&E,- -,- -,- -,623963,51907,209794,210862,303769,208936,129614,277704,234975,191810,227004,160709,215747,495324,689418,831784,636227,946219,541525,243791
39,Goodwill,- -,- -,- -,- -,- -,- -,1517017,1517017,1517017,1517017,1517017,1517017,1517017,1517017,1517017,2473656,3665656,2109143,18525206,18525206,23983483,8394483,8394483
