,https://roic.ai/company/ENTA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,22763000,41882000,41706000,32053000,47741000,160880000,88268000,102814000,206625000,205197000,122473000,97074000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,41882000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,9716000,11547000,15115000,16841000,18740000,23189000,40461000,57451000,94856000,142213000,136756000,174111000
6,General and Administrative Exp.,6105000,- -,5302000,6183000,10016000,13543000,16966000,20749000,23441000,26246000,27356000,32536000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6105000,- -,5302000,6183000,10016000,13543000,16966000,20749000,23441000,26246000,27356000,32536000
9,Other Expenses,- -,5036000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,15821000,16583000,20417000,23024000,28756000,36732000,57427000,78200000,118297000,168459000,164112000,206647000
11,COGS and Expenses,15821000,16583000,20417000,23024000,28756000,36732000,57427000,78200000,118297000,168459000,164112000,206647000
12,Interest Income ,14000,83000,118000,248000,467000,968000,1735000,2532000,- -,- -,6471000,2021000
13,Interest Expense (Gain),- -,3161000,- -,31000,18000,8000,45000,40000,- -,- -,6471000,2021000
14,Depreciation and Amortization,553000,499000,172000,221000,352000,639000,1661000,2137000,2518000,3258000,3644000,3334000
15,EBITDA,8300000,26970000,21571000,9879000,19638000,126102000,34266000,29124000,95639000,48815000,-24904000,-102224000
16,EBITDA ratio,0.3646,0.6440,0.5172,0.3082,0.4113,0.7838,0.3882,0.2833,0.4629,0.2379,-0.2033,-1.0531
17,Operating Income,6942000,25299000,21289000,9029000,18985000,124148000,30841000,24614000,88328000,36738000,-41639000,-109573000
