,https://roic.ai/company/ATY,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,13652246,20693664,39601724,58459481,70236017,119134229,104894048,122026302
2,COGS,- -,- -,- -,6658728,10629942,19635674,29363680,33858046,61711918,50808810,58461333
3,Gross Profit,- -,- -,- -,6993518,10063722,19966050,29095801,36377971,57422311,54085238,63564969
4,Gross Profit Ratio,- -,- -,- -,0.5123,0.4863,0.5042,0.4977,0.5179,0.4820,0.5156,0.5209
5,Research and Development Exp.,- -,- -,- -,- -,- -,3294548,7767706,6151332,13801435,13156538,12680460
6,General and Administrative Exp.,- -,48145,30260,12188509,12384650,4751649,7106577,7997230,9283956,6917047,14167668
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,9836061,16379232,20728253,27019494,18127414,22274113
8,"Selling, General and Administrative Exp.",- -,48145,30260,12188509,12384650,14587710,23485809,28725483,36303450,25044461,36441781
9,Other Expenses,- -,- -,- -,234305,423788,1246832,3133605,6034389,8123877,8894174,5057117
10,Operating Expenses,- -,48145,30260,12422814,12808438,19129090,34387120,40911204,58228762,47095173,54179358
11,COGS and Expenses,- -,48145,30260,19081542,23438380,38764764,63750800,74769250,119940680,97903983,112640691
12,Interest Income ,- -,- -,- -,17921,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,765059,820499,1172462,1630890,2094955,2493711,1663039,1053282
14,Depreciation and Amortization,- -,- -,- -,234305,423788,1246833,3133605,6034389,8123877,8894174,5057117
15,EBITDA,- -,-48145,-30260,-5568929,-2566040,1639900,-1632382,-4051627,5163289,15745904,17816826
16,EBITDA ratio,- -,-Infinity,-Infinity,-0.4079,-0.1240,0.0414,-0.0279,-0.0577,0.0433,0.1501,0.1460
17,Operating Income,- -,-48145,-79462,-5658165,-2744716,436056,-4417194,-10064855,-2260620,6990065,9385611
18,Operating Income ratio,- -,-Infinity,-Infinity,-0.4144,-0.1326,0.0110,-0.0756,-0.1433,-0.0190,0.0666,0.0769
19,Total Other Income Expenses (Gains),- -,- -,-10000,-910128,-1065611,-1215451,-1979683,-2116116,-3193679,-1801374,2320816
20,Income Before Tax,- -,-48145,-89462,-6568293,-3810327,-779395,-6396877,-12180971,-5454299,5188691,11706427
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-0.4811,-0.1841,-0.0197,-0.1094,-0.1734,-0.0458,0.0495,0.0959
22,Income Tax expense (Gain),- -,- -,- -,11271,3553,8100,163394,-902779,153107,1497701,1150917
23,Net Income,- -,-48145,-79462,-6579564,-3813880,-787495,-6560271,-11278192,-5607406,3690990,10555510
24,Net Income ratio,- -,-Infinity,-Infinity,-0.4819,-0.1843,-0.0199,-0.1122,-0.1606,-0.0471,0.0352,0.0865
25,EPS,- -,-1.69,-1.27,-0.36,-0.16,-0.03,-0.21,-0.29,-0.12,0.07,0.21
26,EPS Diluted,- -,-1.69,-1.27,-0.36,-0.16,-0.03,-0.21,-0.29,-0.12,0.07,0.21
27,Weighted Average Shares Outstanding,- -,28353,62894,18489251,23395591,25384460,31589084,39134484,45286998,49720186,49720186
28,Weighted Average Shares Outstanding Diluted,- -,28353,62894,18489251,23395591,25384460,31589084,39134484,45286998,49720186,49720186
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,81936,214946,113136,1428642,4252754,7271408,4842880,8014668,7407122,22638300,102208807
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,81936,214946,113136,1428642,4252754,7271408,4842880,8014668,7407122,22638300,102208807
34,Net Receivables,17,6071,9943,4623788,5554869,15503235,16025374,34605967,38521635,31881228,30972608
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,247745,559969,545294,805629,1515332,2477651,1901067,3278624
37,Total Current Assets,81953,221017,123079,6300175,10367592,23319937,21673883,44135967,48406408,56420595,136460039
