,https://roic.ai/company/CIM,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,3492000,- -,- -,- -,- -,386935000,396787000,574913000,324688000,614344000,629185000,452740000,490789000,228835000,1057033000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,605000,14027000,29765000,46939000,59236000,63511000,42686000,64319000,66786000,44417000,47862000,59050000,75435000,70157000,69069000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",605000,14027000,29765000,46939000,59236000,63511000,42686000,64319000,66786000,44417000,47862000,59050000,75435000,70157000,69069000
9,Other Expenses,5395000,- -,3102000,2689000,5291000,156489000,72314000,322681000,367214000,385583000,526138000,753950000,849565000,- -,- -
10,Operating Expenses,6000000,14027000,32867000,49628000,64527000,220000000,115000000,387000000,434000000,430000000,574000000,813000000,925000000,- -,- -
11,COGS and Expenses,-5373000,14027000,32867000,49628000,64527000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,60544000,35083000,152236000,134858000,589440000,511783000,687795000,872737000,934068000,1138758000,1273316000,1361110000,1030250000,937546000
13,Interest Expense (Gain),- -,60544000,35083000,152236000,134858000,126558000,101999000,147785000,259365000,347857000,532748000,679108000,758814000,516181000,326628000
14,Depreciation and Amortization,-98000,- -,-49249000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-2999000,- -,-82116000,- -,- -,454326000,464687000,736992000,509715000,899883000,1057524000,1090836000,1172558000,605193000,1001147000
16,EBITDA ratio,-0.8588,- -,-Infinity,- -,- -,1.1742,1.1711,1.2819,1.5699,1.4648,1.6808,2.4094,2.3891,2.6447,0.9471
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-11766000,-105770000,356851000,583235000,202462000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,-2901000,-119797000,323984000,533607000,137935000,327768000,362688000,589207000,250350000,552026000,524776000,411728000,413744000,89012000,674519000
21,Income Before Tax Ratio,-0.8308,-Infinity,Infinity,Infinity,Infinity,0.8471,0.9141,1.0249,0.7710,0.8986,0.8341,0.9094,0.8430,0.3890,0.6381
22,Income Tax expense (Gain),5000,12000,1000,756000,606000,1000,2000,2000,1000,83000,108000,91000,193000,158000,4405000
23,Net Income,-2906000,-119809000,323983000,532851000,137329000,327767000,362686000,589205000,250349000,551943000,524668000,411637000,413551000,88854000,670114000
24,Net Income ratio,-0.8322,-Infinity,Infinity,Infinity,Infinity,0.8471,0.9141,1.0249,0.7710,0.8984,0.8339,0.9092,0.8426,0.3883,0.6340
25,EPS,-0.40,-9.50,0.70,3.25,0.65,1.60,1.75,2.85,1.25,2.93,2.62,1.97,1.82,0.07,2.55
26,EPS Diluted,-0.40,-9.50,0.70,3.25,0.65,1.60,1.75,2.85,1.25,2.92,2.61,1.96,1.81,0.07,2.44
27,Weighted Average Shares Outstanding,7480347,12631175,134064887,164523463,205273039,205366206,205418875,205450095,199563196,187728634,187780355,187146170,187156990,212995533,233770474
28,Weighted Average Shares Outstanding Diluted,7480347,12631175,134064887,164523463,205434277,205499851,205514068,205508769,199650177,188024838,188287320,187748862,188406444,226438341,245496926
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1409493/000115752309001796/0001157523-09-001796-index.html,https://www.sec.gov/Archives/edgar/data/1409493/000115752310001274/0001157523-10-001274-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000115752311001243/0001157523-11-001243-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000115752313001320/0001157523-13-001320-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000115752313005918/0001157523-13-005918-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000115752314002466/0001157523-14-002466-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000115752315000791/0001157523-15-000791-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000115752316004744/0001157523-16-004744-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000162828017001485/0001628280-17-001485-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000162828018001906/0001628280-18-001906-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000162828019001646/0001628280-19-001646-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000162828020002106/0001628280-20-002106-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000162828021002464/0001628280-21-002464-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000162828022003020/0001628280-22-003020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,27480000,24279000,7173000,206299000,621153000,77629000,164620000,114062000,177714000,63569000,47486000,109878000,269090000,385741000
32,Short-Term Investments,1124290000,855467000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1124290000,882947000,24279000,7173000,206299000,621153000,77629000,164620000,114062000,177714000,63569000,47486000,109878000,269090000,385741000
34,Net Receivables,6036000,9951000,33128000,49088000,49325000,39330000,286535000,1643155000,66247000,79697000,100789000,123442000,562648000,81158000,69513000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,-39330000,-286535000,-1643155000,-66247000,-79697000,-100789000,-123442000,-562648000,- -,- -
37,Total Current Assets,- -,892898000,57407000,56261000,255624000,621153000,77629000,164620000,114062000,177714000,63569000,47486000,109878000,- -,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,4088894000,7662695000,7233476000,2493701000,2790470000,11845671000,10190665000,7497817000,7216144000,14675080000,11955418000,3981820000,2631903000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,584603000,472027000,354744000,258035000,4608907000,4049850000,7073615000,4973672000,8929680000,13827575000,-1812449000,2981534000,- -,- -
45,Total Non-Current Assets,- -,584603000,4560921000,8017439000,7491511000,7102608000,6840320000,18919286000,15164337000,16427497000,21043719000,12862631000,14936952000,- -,- -
46,Other Assets,1565636000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17523019000,15407403000
47,Total Assets,1565636000,1477501000,4618328000,8073700000,7747135000,7723761000,6917949000,19083906000,15278399000,16605211000,21107288000,12910117000,15046830000,17523019000,15407403000
48,Accounts Payable,- -,2679000,472000,393000,1687000,11969000,8536000,34357000,48836000,65364000,79079000,126871000,69763000,46671000,31990000
49,Short-Term Debt,- -,488743000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,-479238000,125542000,326201000,137319000,1682031000,1992464000,10417643000,8099711000,6220790000,7913577000,15262608000,14782450000,- -,- -
53,Total Current Liabilities,- -,12184000,126014000,326594000,139006000,1694000000,2001000000,10452000000,8148547000,6286154000,7992656000,15389479000,14852213000,- -,- -
54,Long-Term Debt,- -,1050862000,2365752000,4054112000,2672989000,2505971000,1603713000,5095278000,4249911000,7275221000,9594437000,8615331000,8313165000,13513580000,7814042000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,9988000,1887521000,29000,287000,-278000,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,1050862000,2365752000,4064100000,4560510000,2506000000,1604000000,5095000000,4249911000,7275221000,9594437000,8615331000,8313165000,13513580000,7814042000
59,Other Liabilities,1026747000,- -,- -,- -,- -,5012010000,- -,10190315000,- -,- -,- -,- -,- -,27257213000,19485254000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1026747000,1063046000,2491766000,4390694000,4699516000,4200010000,3604571000,15547315000,12398458000,13561375000,17587093000,24004810000,23165378000,13743633000,11671212000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000,188000,292000,372000,372000,372000
63,Common Stock,- -,1760000,6693000,10261000,10267000,10268000,10272000,10275000,1877000,1877000,1878000,1871000,1873000,2306000,2370000
64,Retained Earnings,-3849000,-152603000,-70991000,-203796000,-999840000,-1062279000,-1274806000,-1055456000,-1196048000,-1105287000,-990682000,-997259000,-1033251000,-1319417000,-1030650000
65,Other Comprehensive Income/Loss,10000000,-266668000,-99754000,274651000,433453000,989936000,990803000,1046680000,773791000,718106000,796902000,626832000,708336000,558096000,405054000
66,Other Total Stockholders Equity,532738000,831966000,2290614000,3601890000,3603739000,3604554000,3605241000,3606191000,3366568000,3508779000,3826691000,4072093000,4275963000,4538029000,4359045000
67,Total Stockholders Equity,538889000,414455000,2126562000,3683006000,3047619000,3542479000,3331510000,3607690000,2946188000,3123533000,3634977000,3703829000,3953293000,3779386000,3736191000
68,Total Liabilities And Stockholders Equity,1565636000,1477501000,4618328000,8073700000,7747135000,7742489000,6936081000,19155005000,15344646000,16684908000,21222070000,27708639000,27118671000,17523019000,15407403000
69,Minority Interest,- -,- -,- -,- -,- -,-18728000,-18132000,-71099000,-66247000,-79697000,-114782000,-14798522000,-12071841000,- -,- -
70,Total Liabilities & Equity,1565636000,1477501000,4618328000,8073700000,7747135000,7723761000,6917949000,19083906000,15278399000,16605211000,21107288000,12910117000,15046830000,17523019000,15407403000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1409493/000115752309001796/0001157523-09-001796-index.html,https://www.sec.gov/Archives/edgar/data/1409493/000115752310001274/0001157523-10-001274-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000115752311001243/0001157523-11-001243-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000115752313001320/0001157523-13-001320-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000115752313005918/0001157523-13-005918-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000115752314002466/0001157523-14-002466-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000115752315000791/0001157523-15-000791-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000115752316004744/0001157523-16-004744-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000162828017001485/0001628280-17-001485-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000162828018001906/0001628280-18-001906-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000162828019001646/0001628280-19-001646-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000162828020002106/0001628280-20-002106-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000162828021002464/0001628280-21-002464-index.htm,https://www.sec.gov/Archives/edgar/data/1409493/000162828022003020/0001628280-22-003020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-2906000,-119809000,323983000,532851000,137329000,327767000,362686000,589205000,250349000,551943000,524668000,411637000,413551000,88854000,670114000
74,Depreciation and Amortization,-98000,- -,-49249000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,713000,449000,691000,956000,1979000,2204000,3614000,8797000,10584000,5017000,6513000
77,Change in Working Capital,-5512000,880714000,-949321000,-201726000,386951000,-1189465000,-850524000,-8364009000,2252895000,1926045000,-1820647000,-7412906000,599658000,14742335000,-37573000
78,Accounts Receivable,-4900000,950000,- -,- -,- -,9111000,6336000,-37570000,4852000,-13450000,-21091000,-22652000,6334000,35950000,11643000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
