,https://roic.ai/company/REXR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,26161000,32491000,43286000,65464000,93190000,125733000,160910000,211116000,264658000,329797000,452201000
2,COGS,7658000,9630000,12328000,18382000,25000000,33619000,42139000,51671000,63272000,79716000,107721000
3,Gross Profit,18503000,22861000,30958000,47082000,68190000,92114000,118771000,159445000,201386000,250081000,344480000
4,Gross Profit Ratio,0.7073,0.7036,0.7152,0.7192,0.7317,0.7326,0.7381,0.7552,0.7609,0.7583,0.7618
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,3729000,5146000,9747000,12144000,15016000,17415000,21610000,25194000,30300000,36795000,48990000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3729000,5146000,9747000,12144000,15016000,17415000,21610000,25194000,30300000,36795000,48990000
9,Other Expenses,9668000,12727000,15708000,28608000,41837000,51407000,64852000,80042000,98891000,115269000,151269000
10,Operating Expenses,13397000,17873000,25455000,40752000,56853000,68822000,86462000,105236000,129191000,152064000,200259000
11,COGS and Expenses,21055000,27503000,37783000,59134000,81853000,102441000,128601000,156907000,192463000,231780000,307980000
12,Interest Income ,1578000,1577000,1079000,1117000,710000,459000,445000,1378000,2555000,338000,37000
13,Interest Expense (Gain),17466000,17452000,11158000,6400000,8453000,14848000,20209000,25416000,26875000,30849000,40139000
14,Depreciation and Amortization,9505000,13403000,16100000,29028000,42039000,51329000,62582000,74061000,90984000,104736000,135826000
15,EBITDA,23219000,25964000,22367000,36324000,52366000,91303000,123503000,145687000,179838000,211988000,304206000
16,EBITDA ratio,0.8875,0.7991,0.5167,0.5549,0.5619,0.7262,0.7675,0.6901,0.6795,0.6428,0.6727
17,Operating Income,5106000,4988000,5503000,6330000,11337000,23292000,32309000,54209000,72195000,98017000,144258000
18,Operating Income ratio,0.1952,0.1535,0.1271,0.0967,0.1217,0.1852,0.2008,0.2568,0.2728,0.2972,0.3190
19,Total Other Income Expenses (Gains),-12540000,-13991000,-14707000,-7500000,-9387000,2584000,9391000,-7134000,-8194000,-17122000,-8012000
20,Income Before Tax,-7434000,-9003000,-9204000,-1170000,1950000,25876000,41700000,47075000,64001000,80895000,136246000
21,Income Before Tax Ratio,-0.2842,-0.2771,-0.2126,-0.0179,0.0209,0.2058,0.2592,0.2230,0.2418,0.2453,0.3013
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-3752000,-4891000,-4891000,896000,1874000,25126000,40712000,46210000,61979000,76403000,128241000
24,Net Income ratio,-0.1434,-0.1505,-0.1130,0.0137,0.0201,0.1998,0.2530,0.2189,0.2342,0.2317,0.2836
25,EPS,-0.15,-0.00,-0.19,0.02,0.03,0.36,0.44,0.39,0.47,0.51,0.80
26,EPS Diluted,-0.15,-0.00,-0.19,0.02,0.03,0.36,0.44,0.39,0.47,0.51,0.80
27,Weighted Average Shares Outstanding,25229818,25229818,25559886,39700000,55265243,62723000,78305187,96810504,106407000,120874000,139294882
28,Weighted Average Shares Outstanding Diluted,25229818,25229818,25559886,39700000,55265243,62966000,78305187,96810504,106799000,121178000,140075689
