,https://roic.ai/company/CELP,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,12203000,22392000,404418000,371191000,297997000,286342000,314960000,401648000,205996000
2,COGS,3662000,7643000,355355000,326261000,262517000,252739000,270914000,347924000,182367000
3,Gross Profit,8541000,14749000,49063000,44930000,35480000,33603000,44046000,53724000,23629000
4,Gross Profit Ratio,0.6999,0.6587,0.1213,0.1210,0.1191,0.1174,0.1398,0.1338,0.1147
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,477000,3334000,21321000,23795000,21853000,21055000,23744000,25626000,20100000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",477000,3334000,21321000,23795000,21853000,21055000,23744000,25626000,20100000
9,Other Expenses,1398000,4084000,6345000,5427000,4861000,4443000,4404000,4448000,- -
10,Operating Expenses,1875000,7418000,27666000,29222000,26714000,25498000,28148000,30074000,20100000
11,COGS and Expenses,5537000,15061000,415567000,362128000,299761000,281265000,295068000,377973000,202467000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,-3208000,-5656000,-6559000,-6603000,5800000,5330000,4028000
14,Depreciation and Amortization,1398000,4084000,6513000,6004000,5788000,5544000,5480000,5537000,- -
15,EBITDA,7993000,14880000,-16528000,4940000,2059000,2774000,24011000,29135000,3155000
16,EBITDA ratio,0.6550,0.6645,-0.0409,0.0133,0.0069,0.0097,0.0762,0.0725,0.0153
17,Operating Income,6666000,-473000,-11149000,9063000,-1764000,5077000,20006000,23675000,3556000
18,Operating Income ratio,0.5463,-0.0211,-0.0276,0.0244,-0.0059,0.0177,0.0635,0.0589,0.0173
19,Total Other Income Expenses (Gains),-71000,11291000,-3562000,-4520000,-6203000,-6404000,-6590000,-3997000,-3380000
20,Income Before Tax,6595000,10818000,-14711000,4543000,-7967000,-1327000,13416000,19678000,176000
21,Income Before Tax Ratio,0.5404,0.4831,-0.0364,0.0122,-0.0267,-0.0046,0.0426,0.0490,0.0009
22,Income Tax expense (Gain),- -,54000,468000,452000,1195000,596000,1318000,2254000,542000
23,Net Income,6595000,10742000,-20301000,4140000,1635000,3237000,11413000,16014000,-1415000
24,Net Income ratio,0.5404,0.4797,-0.0502,0.0112,0.0055,0.0113,0.0362,0.0399,-0.0069
