,https://roic.ai/company/AM,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,849598000,971391000,968874000
2,COGS,- -,- -,- -,- -,446436000,348354000,344848000,336582000
3,Gross Profit,- -,- -,- -,- -,581503000,501244000,626543000,632292000
4,Gross Profit Ratio,- -,- -,- -,- -,Infinity,0.5900,0.6450,0.6526
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,815000,41134000,43851000,118113000,52213000,63838000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,815000,41134000,43851000,118113000,52213000,63838000
9,Other Expenses,- -,- -,- -,- -,- -,11588000,15399000,4457000
10,Operating Expenses,- -,- -,- -,41134000,43851000,129701000,67612000,68295000
11,COGS and Expenses,- -,- -,815000,41134000,43851000,478055000,412460000,404877000
12,Interest Income ,- -,- -,1000,- -,14000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,150000,110402000,147007000,175281000
14,Depreciation and Amortization,- -,- -,99861000,- -,- -,152536000,179462000,179462000
15,EBITDA,- -,- -,99046000,-41134000,99069000,-194642000,148254000,803483000
16,EBITDA ratio,- -,- -,Infinity,-Infinity,Infinity,-0.2291,0.1526,0.8293
17,Operating Income,- -,- -,- -,- -,99055000,-398493000,-117638000,555327000
18,Operating Income ratio,- -,- -,- -,- -,Infinity,-0.4690,-0.1211,0.5732
19,Total Other Income Expenses (Gains),- -,1264000,16945000,69720000,-136000,-59087000,-60577000,-106587000
20,Income Before Tax,- -,1264000,16130000,28586000,98919000,-457580000,-178215000,448740000
21,Income Before Tax Ratio,- -,Infinity,Infinity,Infinity,Infinity,-0.5386,-0.1835,0.4632
22,Income Tax expense (Gain),- -,483000,6419000,26261000,32311000,-102466000,-55688000,117123000
23,Net Income,- -,781000,9711000,7264000,66608000,-355114000,-122527000,331617000
24,Net Income ratio,- -,Infinity,Infinity,Infinity,Infinity,-0.4180,-0.1261,0.3423
25,EPS,- -,0.00,0.05,0.03,2.37,-0.80,-0.26,0.69
26,EPS Diluted,- -,0.00,0.05,0.03,2.36,-0.80,-0.26,0.69
