,https://roic.ai/company/WKME,2019,2020,2021
0,INCOME STATEMENT, , , 
1,Revenue,105129000,148306000,193303000
2,COGS,30676000,39158000,46657000
3,Gross Profit,74453000,109148000,146646000
4,Gross Profit Ratio,0.7082,0.7360,0.7586
5,Research and Development Exp.,26639000,31560000,48160000
6,General and Administrative Exp.,22095000,33541000,48557000
7,Selling and Marketing Exp.,75004000,87208000,127719000
8,"Selling, General and Administrative Exp.",97099000,120749000,176276000
9,Other Expenses,- -,- -,- -
10,Operating Expenses,123738000,152309000,224436000
11,COGS and Expenses,154414000,191467000,271093000
12,Interest Income ,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -
14,Depreciation and Amortization,3509000,4710000,4773000
15,EBITDA,-45081000,-42783000,-88546000
16,EBITDA ratio,-0.4288,-0.2885,-0.4581
17,Operating Income,-49285000,-43161000,-77790000
18,Operating Income ratio,-0.4688,-0.2910,-0.4024
19,Total Other Income Expenses (Gains),474000,-156000,-9000
20,Income Before Tax,-48811000,-43317000,-77799000
21,Income Before Tax Ratio,-0.4643,-0.2921,-0.4025
22,Income Tax expense (Gain),1307000,1708000,2494000
23,Net Income,-49897000,-49201000,-95813000
24,Net Income ratio,-0.4746,-0.3318,-0.4957
25,EPS,-0.70,-0.75,-1.34
26,EPS Diluted,-0.70,-0.75,-1.85
27,Weighted Average Shares Outstanding,71349900,71349900,71349900
28,Weighted Average Shares Outstanding Diluted,71349900,71349900,51763032
29,SEC Link,- -,- -,- -
30,BALANCE SHEET, , , 
31,Cash and Cash Equivalents,74184000,62328000,276889000
32,Short-Term Investments,- -,44159000,65478000
33,Cash and Short-Term Investments,74184000,106487000,342367000
34,Net Receivables,32505000,30859000,37754000
35,Inventory,- -,- -,- -
36,Other Current Assets,13939000,14779000,28359000
37,Total Current Assets,120628000,152125000,408480000
38,PP&E,10752000,8629000,10885000
39,Goodwill,1481000,1481000,- -
40,Intangible Assets,44000,- -,- -
41,Intangible Assets,1525000,1481000,3296000
42,Investments,- -,- -,- -
43,Tax Assets,- -,- -,- -
44,Other Non-Current Assets,16835000,22053000,36956000
45,Total Non-Current Assets,29112000,32163000,51137000
46,Other Assets,- -,- -,- -
47,Total Assets,149740000,184288000,459617000
48,Accounts Payable,871000,5513000,6592000
49,Short-Term Debt,- -,- -,- -
50,Tax Payable,- -,- -,- -
51,Deferred Revenue,52256000,57467000,86024000
52,Other Current Liabilities,18450000,29543000,49310000
53,Total Current Liabilities,71577000,92523000,141926000
54,Long-Term Debt,- -,- -,- -
55,Deferred Revenue,1435000,1478000,1288000
56,Deferred Tax Liabilities,2224000,3101000,4795000
57,Other Non-Current Liabilities,264473000,311445000,25998000
58,Total Non-Current Liabilities,268132000,316024000,32081000
59,Other Liabilities,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -
61,Total Liabilities,339709000,408547000,174007000
62,Preferred Stock,- -,- -,- -
63,Common Stock,- -,- -,610193000
64,Retained Earnings,-197631000,-245914000,-325038000
65,Other Comprehensive Income/Loss,26000,131000,455000
66,Other Total Stockholders Equity,7636000,21524000,- -
67,Total Stockholders Equity,-189969000,-224259000,285610000
68,Total Liabilities And Stockholders Equity,149740000,184288000,459617000
69,Minority Interest,- -,- -,- -
70,Total Liabilities & Equity,149740000,184288000,459617000
71,SEC Link,- -,- -,- -
72,CASH FLOW STATEMENT, , , 
73,Net Income,-49897000,-49201000,-95813000
74,Depreciation and Amortization,3509000,4710000,4773000
75,Deferred Income Tax,734000,544000,1694000
76,Stock Based Compensation,3080000,14017000,27332000
77,Change in Working Capital,-5749000,17101000,12328000
78,Accounts Receivable,-14274000,1657000,-6976000
79,Inventory,- -,- -,- -
80,Accounts Payable,336000,4450000,906000
81,Other Working Capital,24556000,10223000,1875000
82,Other Non-Cash Items,-221000,4176000,15461000
83,Cash Provided by Operating Activities,-48544000,-8653000,-34225000
84,CAPEX,-4478000,-2352000,-7892000
85,Acquisitions Net,- -,- -,- -
86,Purchases of Investments,-14535000,-44000000,-66260000
87,Sales/Maturities of Investments,23814000,- -,45003000
88,Other Investing Activites,-3294000,-907000,-3624000
89,Cash Used for Investing Activites,3522000,-45729000,-27523000
90,Debt Repayment,- -,- -,- -
91,Common Stock Issued,- -,- -,263922000
92,Common Stock Repurchased,- -,- -,- -
93,Dividends Paid,- -,- -,- -
94,Other Financing Activites,84849000,41614000,12867000
95,Cash Used/Provided by Financing Activities,84849000,41614000,276789000
96,Effect of Forex Changes on Cash,51000,248000,-685000
97,Net Change In Cash,39878000,-12520000,214356000
98,Cash at the End of Period,75415000,62895000,277251000
99,Cash at the Beginning of Period,35537000,75415000,62895000
100,Free Cash Flow,-53022000,-11005000,-42117000
101,SEC Link,- -,- -,- -
102,false,,,
