,https://roic.ai/company/LILAK,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,1288800000,1204600000,1217300000,2723800000,3590000000,3705700000,- -,3764600000,4799000000
2,COGS,611100000,324300000,535300000,677200000,876200000,889800000,- -,846000000,1190000000
3,Gross Profit,677700000,880300000,682000000,2046600000,2713800000,2815900000,- -,2918600000,3609000000
4,Gross Profit Ratio,0.5258,0.7308,0.5603,0.7514,0.7559,0.7599,- -,0.7753,0.7520
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,688900000,789600000,804200000,742800000,889700000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,168100000,229400000
8,"Selling, General and Administrative Exp.",225100000,224000000,193400000,539200000,688900000,789600000,804200000,910900000,1119100000
9,Other Expenses,342400000,407800000,220700000,1034500000,1465700000,1468900000,1560700000,1535100000,1766500000
10,Operating Expenses,567500000,631800000,414100000,1573700000,2154600000,2258500000,2364900000,2446000000,2885600000
11,COGS and Expenses,1178600000,956100000,949400000,2250900000,3738400000,3729300000,23000000,3292000000,4075600000
12,Interest Income ,2700000,- -,3000000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),81500000,140400000,157900000,314400000,381800000,443700000,10000000,533400000,527400000
14,Depreciation and Amortization,342400000,216700000,216400000,587300000,793700000,829800000,871000000,914600000,964700000
15,EBITDA,371200000,383500000,458800000,775300000,544900000,979400000,-34000000,731500000,1241500000
16,EBITDA ratio,0.2880,0.3184,0.3769,0.2846,0.1518,0.2643,-Infinity,0.1943,0.2587
17,Operating Income,22900000,228400000,248100000,319100000,-148400000,-23600000,353800000,91700000,81200000
18,Operating Income ratio,0.0178,0.1896,0.2038,0.1172,-0.0413,-0.0064,Infinity,0.0244,0.0169
19,Total Other Income Expenses (Gains),-89500000,-204300000,-155800000,-417200000,-502800000,-561100000,-394800000,-929900000,-381800000
20,Income Before Tax,-66600000,24100000,92300000,-98100000,-651200000,-584700000,-41000000,-838200000,-300600000
21,Income Before Tax Ratio,-0.0517,0.0200,0.0758,-0.0360,-0.1814,-0.1578,-Infinity,-0.2227,-0.0626
22,Income Tax expense (Gain),-13600000,14400000,40600000,129100000,147500000,51100000,- -,-29300000,189500000
23,Net Income,-39100000,12000000,43900000,-255500000,-778100000,-345200000,-80000000,-687200000,-440100000
24,Net Income ratio,-0.0303,0.0100,0.0361,-0.0938,-0.2167,-0.0932,-Infinity,-0.1825,-0.0917
25,EPS,-0.84,0.26,0.37,-2.02,-4.29,-1.88,-0.42,-3.51,-2.10
26,EPS Diluted,-0.84,0.26,0.37,-2.02,-4.29,-1.88,-0.42,-3.51,-1.93
27,Weighted Average Shares Outstanding,46303100,46303100,46365114,117052238,181434805,182979966,191630239,195535301,232801996
28,Weighted Average Shares Outstanding Diluted,46303100,46303100,46702453,117052238,181434805,182979966,191630239,195535301,253429864
