,https://roic.ai/company/RMR,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,259988000,285046000,192936000,266940000,271728000,404979000,713368000,589505000,607238000
2,COGS,123608000,130171000,83456000,91985000,- -,- -,354540000,360572000,489681000
3,Gross Profit,136380000,154875000,109480000,174955000,- -,- -,358828000,228933000,117557000
4,Gross Profit Ratio,0.5246,0.5433,0.5674,0.6554,- -,- -,0.5030,0.3883,0.1936
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,20141000,21957000,109991000,117114000,124942000,146818000,152275000,155728000,38983000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",20141000,21957000,109991000,117114000,124942000,146818000,152275000,155728000,38983000
9,Other Expenses,148403000,118446000,2117000,1768000,2038000,1248000,1017000,968000,973000
10,Operating Expenses,168544000,140403000,112108000,118882000,126980000,148066000,153292000,156696000,39956000
11,COGS and Expenses,292152000,270574000,112108000,118882000,126980000,148066000,507832000,517268000,529637000
12,Interest Income ,139000,497000,1732000,234000,1565000,4546000,8770000,4451000,760000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,2403000,2446000,2117000,1768000,2038000,1248000,1017000,968000,973000
15,EBITDA,-29342000,13019000,14268000,63581000,72582000,156151000,102917000,41312000,49821000
16,EBITDA ratio,-0.1129,0.0457,0.0740,0.2382,0.2671,0.3856,0.1443,0.0701,0.0820
17,Operating Income,-32164000,14472000,80712000,146700000,135561000,251969000,197788000,68738000,72092000
18,Operating Income ratio,-0.1237,0.0508,0.4183,0.5496,0.4989,0.6222,0.2773,0.1166,0.1187
19,Total Other Income Expenses (Gains),120000,-4059000,1442000,234000,1565000,24897000,-1424000,9147000,22073000
20,Income Before Tax,-32044000,10413000,82154000,146934000,137126000,276866000,196364000,77885000,94165000
21,Income Before Tax Ratio,-0.1233,0.0365,0.4258,0.5504,0.5046,0.6837,0.2753,0.1321,0.1551
22,Income Tax expense (Gain),80000,280000,4848000,24573000,28251000,58862000,27320000,11552000,13152000
23,Net Income,-31825000,10293000,7303000,37240000,42293000,96041000,74580000,28792000,35696000
24,Net Income ratio,-0.1224,0.0361,0.0379,0.1395,0.1556,0.2372,0.1045,0.0488,0.0588
25,EPS,-1.99,2.48,7.30,2.33,2.63,5.94,4.59,1.77,2.18
26,EPS Diluted,-1.99,2.48,7.30,2.33,2.63,5.92,4.59,1.75,2.15
27,Weighted Average Shares Outstanding,16000000,16000000,1000000,16005000,16032000,16077000,16132000,16194000,16266000
28,Weighted Average Shares Outstanding Diluted,16000000,16000000,1000000,16005000,16048000,16120000,16143000,31194000,31282000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1644378/000155837015002884/0001558370-15-002884-index.html,https://www.sec.gov/Archives/edgar/data/1644378/000164437816000016/0001644378-16-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1644378/000164437817000040/0001644378-17-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1644378/000164437818000038/0001644378-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1644378/000164437819000036/0001644378-19-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1644378/000164437820000044/0001644378-20-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1644378/000164437821000041/0001644378-21-000041-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,14565000,141731000,34497000,65833000,108640000,256848000,358448000,369663000,159835000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,14565000,141731000,34497000,65833000,108640000,256848000,358448000,369663000,159835000
34,Net Receivables,43837000,100946000,17986000,24862000,25161000,28846000,93521000,82605000,88661000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1741000,2681000,6261000,4690000,7092000,10392000,12888000,3877000,6021000
37,Total Current Assets,60143000,245358000,58744000,95385000,140893000,296086000,464857000,456145000,254517000
38,PP&E,7880000,6868000,4679000,3802000,3276000,2589000,2383000,36962000,34511000
39,Goodwill,- -,- -,- -,2295000,1859000,1859000,1859000,1859000,1859000
40,Intangible Assets,- -,- -,- -,1085000,462000,375000,323000,277000,235000
41,Intangible Assets,- -,- -,- -,3380000,2321000,2234000,2182000,2136000,2094000
42,Investments,6301000,27814000,- -,- -,12162000,7051000,10340000,19619000,39476000
43,Tax Assets,- -,- -,43216000,45819000,45541000,25726000,25729000,23900000,18671000
44,Other Non-Current Assets,116585000,7183000,197253000,189145000,179526000,170742000,162381000,151491000,148642000
45,Total Non-Current Assets,130766000,41865000,245148000,242146000,242826000,208342000,203015000,234108000,243394000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,190909000,287223000,303892000,337531000,383719000,504428000,667872000,690253000,497911000
48,Accounts Payable,16451000,17371000,18439000,- -,- -,- -,- -,16984000,15027000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,4922000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,55835000,32023000,- -,20579000,26414000,28307000,98029000,64784000,61191000
53,Total Current Liabilities,72286000,49394000,18439000,20579000,26414000,28307000,98029000,81768000,81140000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,29148000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,9111000,7585000,71801000,70561000,67642000,41460000,40808000,67583000,39908000
58,Total Non-Current Liabilities,9111000,7585000,71801000,70561000,67642000,41460000,40808000,67583000,69056000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,36437000,34070000
61,Total Liabilities,81397000,56979000,90240000,91140000,94056000,69767000,138837000,149351000,150196000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,109560000,230430000,31000,31000,31000,31000,31000,31000,31000
64,Retained Earnings,- -,- -,7303000,44543000,86836000,182877000,257457000,286249000,85179000
65,Other Comprehensive Income/Loss,-12755000,-14379000,-5772000,-6549000,-4494000,-3396000,-3749000,-3514000,- -
66,Other Total Stockholders Equity,12707000,14193000,99270000,83689000,67158000,53250000,34915000,13153000,- -
67,Total Stockholders Equity,109512000,230244000,100832000,121714000,149531000,232762000,288654000,295919000,195120000
68,Total Liabilities And Stockholders Equity,190909000,287223000,191072000,212854000,243587000,302529000,427491000,445270000,345316000
69,Minority Interest,- -,- -,112820000,124677000,140132000,201899000,240381000,244983000,152595000
70,Total Liabilities & Equity,190909000,287223000,303892000,337531000,383719000,504428000,667872000,690253000,497911000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1644378/000155837015002884/0001558370-15-002884-index.html,https://www.sec.gov/Archives/edgar/data/1644378/000164437816000016/0001644378-16-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1644378/000164437817000040/0001644378-17-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1644378/000164437818000038/0001644378-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1644378/000164437819000036/0001644378-19-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1644378/000164437820000044/0001644378-20-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1644378/000164437821000041/0001644378-21-000041-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
