,https://roic.ai/company/CLLS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,4101360,14770165,17319044,20980184,20728404,27814955,22816151,26298701,55043404,53766000,33715000,21432000,22990000,73949000,57293000
2,COGS,1476956,1542445,2325348,1921798,3259672,2030047,847856,3690598,2705924,- -,- -,- -,11392000,36275000,31361000
3,Gross Profit,2624404,13227719,14993696,19058385,17468732,25784908,21968295,22608104,52337481,53766000,33715000,21432000,11598000,37674000,25932000
4,Gross Profit Ratio,0.6399,0.8956,0.8657,0.9084,0.8427,0.9270,0.9628,0.8597,0.9508,1.0000,1.0000,1.0000,0.5045,0.5095,0.4526
5,Research and Development Exp.,- -,- -,- -,16373188,15949712,25102494,34440333,17519091,57299980,-74735000,-79227000,-76567000,-92042000,86950000,129030000
6,General and Administrative Exp.,4277779,5703427,7971804,- -,- -,- -,30489657,15945571,29778278,-41353000,-44750000,-47248000,-43017000,44201000,37869000
7,Selling and Marketing Exp.,- -,- -,- -,17897327,- -,- -,18143279,6567683,6665865,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4277779,5703427,7971804,17897327,26685244,25825905,48632937,22513255,36444143,41258256,44750000,47247000,43017000,44201000,37869000
9,Other Expenses,6127983,12322855,19538369,35909,142570,995847,-15947693,-11047473,-10879452,138333502,149694000,144402000,176375000,-8040000,-10289000
10,Operating Expenses,10405762,18026283,27510173,34306424,42777526,51924247,67125577,28984873,82864671,104856758,115217000,115082000,127350000,123111000,156610000
11,COGS and Expenses,11882718,19568728,29835521,36228222,46037198,53954294,67973432,32675471,85570595,53403000,232000,31000,11301000,159386000,187971000
12,Interest Income ,835435,1127600,1788068,645033,794505,-1735128,437736,384260,1077996,1547053,1974000,6787000,6985000,1949000,736000
13,Interest Expense (Gain),29160,13921,8596,203485,632493,- -,407357,195778,22959,- -,- -,- -,- -,3600000,5338000
14,Depreciation and Amortization,852931,400924,368216,1577337,- -,- -,45933331,1668369,1907813,2101300,3371000,2377000,6875000,9819000,16570000
15,EBITDA,-6088617,-3268647,-11341624,-12980450,-24502625,-27874468,-33254163,1888467,-20530033,-61962700,-100312000,-85956000,-108337000,-67655000,-92289000
16,EBITDA ratio,-1.4845,-0.2213,-0.6549,-0.6187,-1.1821,-1.0021,-1.4575,0.0718,-0.3730,-1.1525,-2.9753,-4.0106,-4.7124,-0.9149,-1.6108
17,Operating Income,-7781358,-4797171,-13495043,-15248038,-25307498,-26139339,-80620840,-6377985,-30529377,-63962391,-92650000,-105091000,-123552000,-85437000,-130677000
18,Operating Income ratio,-1.8973,-0.3248,-0.7792,-0.7268,-1.2209,-0.9398,-3.5335,-0.2425,-0.5546,-1.1896,-2.7480,-4.9035,-5.3742,-1.1554,-2.2809
19,Total Other Income Expenses (Gains),810649,1113679,1776606,486767,172380,-1735128,-465354,8628824,8256620,-101609,-11033000,16758000,8340000,-12046000,5568000
20,Income Before Tax,-6970709,-3683492,-11718437,-14761271,-25135118,-27874468,-81086194,2250839,-22272757,-64064000,-103683000,-88333000,-115212000,-97483000,-125109000
21,Income Before Tax Ratio,-1.6996,-0.2494,-0.6766,-0.7036,-1.2126,-1.0021,-3.5539,0.0856,-0.4046,-1.1915,-3.0753,-4.1215,-5.0114,-1.3182,-2.1837
22,Income Tax expense (Gain),-2614198,-3868642,-6199496,-4037771,5761130,1577750,4683918,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-4356511,185149,-5518941,-10723500,-30896248,-29452218,-84278770,24320,-22460805,-64064000,-103683000,-88333000,-115212000,-81074000,-114197000
24,Net Income ratio,-1.0622,0.0125,-0.3187,-0.5111,-1.4905,-1.0589,-3.6938,0.0009,-0.4081,-1.1915,-3.0753,-4.1215,-5.0114,-1.0964,-1.9932
25,EPS,-0.31,0.01,-0.39,-0.76,-2.19,-1.44,-4.09,0.00,-0.66,-1.81,-2.78,-1.93,-2.41,-1.91,-1.91
26,EPS Diluted,-0.31,0.01,-0.39,-0.76,-2.19,-1.44,-4.09,0.00,-0.66,-1.81,-2.78,-1.93,-2.41,-1.91,-1.91
27,Weighted Average Shares Outstanding,14128446,14128446,14128446,14128446,14128446,20477024,20653912,26071709,34149908,35289932,35690636,40774197,42442136,42503447,42447120
28,Weighted Average Shares Outstanding Diluted,14128446,14128446,14128446,14128446,14128446,20477024,20653912,26192652,34522910,35811772,35715321,41285578,42460501,42590407,42447120
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1627281/000119312517093898/0001193125-17-093898-index.htm,https://www.sec.gov/Archives/edgar/data/1627281/000119312518080876/0001193125-18-080876-index.htm,https://www.sec.gov/Archives/edgar/data/1627281/000119312519071189/0001193125-19-071189-index.htm,https://www.sec.gov/Archives/edgar/data/1627281/000119312520061833/0001193125-20-061833-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,36737283,39780605,65326093,31982976,54933575,28841220,10438013,136615351,343557169,253988053,256380000,451501000,340522000,241148000,185636000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,36508771,40602000,388000,20385000,27091000,499000
33,Cash and Short-Term Investments,36737283,39780605,65326093,31982976,54933575,28841220,10438013,136615351,343557169,290496824,296982000,451889000,360907000,268239000,186135000
34,Net Receivables,4006590,5029652,2523067,12074744,10984382,21689105,16134110,19641033,17053331,13923478,14694000,22068000,15293000,19194000,31073000
35,Inventory,173502,168444,169064,203485,811354,935012,506780,164162,172742,117791,250000,275000,2897000,1606000,- -
