,https://roic.ai/company/HMY,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1151592750,2255202684,2976311531,4889639050,7866000000,9019461150,8671369050,8412238888,9028586151,9489058033,9910890000,9889024150,11446806620,12160311800,15955892820,17897551620,16079391900,16537843640,18692689280,18430302000,21854305440,26912000000,29245000000,41733000000
2,COGS,1079139600,1834690038,2518378870,4044046025,5247450000,6639221610,8100642000,8197637701,7672875690,7402008707,8981500000,8549320800,10631923140,11361459200,12753276340,18175494740,16440249540,20181567350,16089909760,18846806000,24834438000,28869000000,25908000000,35489000000
3,Gross Profit,72453150,420512646,457932660,845593025,2618550000,2380239540,570727050,214601187,1355710461,2087049326,929390000,1339703350,814883480,798852600,3202616480,-277943120,-360857640,-3643723710,2602779520,-416504000,-2980132560,-1957000000,3337000000,6244000000
4,Gross Profit Ratio,0.0629,0.1865,0.1539,0.1729,0.3329,0.2639,0.0658,0.0255,0.1502,0.2199,0.0938,0.1355,0.0712,0.0657,0.2007,-0.0155,-0.0224,-0.2203,0.1392,-0.0226,-0.1364,-0.0727,0.1141,0.1496
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46746170,49560460,63000000,54000000,526106620,445765320,404858190,414078560,494598500,869205330,731000000,611000000,1068000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",67151700,68174934,29508625,127398603,227700000,276946110,282295100,880991199,403556468,322280825,242110000,309758000,384379000,430151400,441176760,526106620,445765320,404858190,414078560,494598500,869205330,731000000,611000000,1068000000
9,Other Expenses,68329800,98340834,135323547,252985393,310500000,583832340,1055538200,1964302993,1187199837,300584035,242110000,-379453550,484317540,348217800,522876160,913241680,583740300,368052900,295770400,1119354500,151766010,232000000,1406000000,418000000
10,Operating Expenses,135481500,166515768,164832173,380383995,538200000,860778450,1337833300,2845294192,1590756304,622864860,484220000,-69695550,868696540,778369200,964052920,1439348300,1029505620,772911090,709848960,1613953000,1020971340,963000000,2017000000,1486000000
11,COGS and Expenses,1214621100,2001205806,2683211043,4424430020,5785650000,7500000060,9438475300,11042931893,9263631994,8024873567,9465720000,8231818850,11277679860,12139828400,13717329260,19614843040,17469755160,20954478440,16799758720,20460759000,25855409340,29832000000,27925000000,36975000000
12,Interest Income ,- -,- -,- -,5890000,13000000,- -,33000000,21396000,32505000,24910000,34000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,289735110,244000000,257000000,265000000
13,Interest Expense (Gain),- -,- -,- -,15007000,22000000,- -,66000000,65074000,56537000,47596000,70000000,185854800,246002560,279939800,302287780,287869660,286563420,269905460,280981880,221267750,358719660,575000000,661000000,661000000
14,Depreciation and Amortization,68329800,98340834,135323547,252993445,310500000,583832340,920527500,781044333,1187199837,1085734396,960630000,1293239650,1391451980,1734261200,2091504640,2183838800,2239440060,2699054600,2203489480,2407913750,2759382000,4054000000,- -,3877000000
15,EBITDA,48891150,282956142,582425986,458305178,2609500000,1504491030,170326450,-3922235478,114074599,-707500185,1303980000,4065573750,1791206140,2130273600,5049022920,913241680,987051780,-2380075420,4096420040,2368866500,-1559050830,1883000000,38000000,10883000000
