,https://roic.ai/company/GDDY,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,862978000,910903000,1130845000,1387262000,1607300000,1847900000,2231900000,2660100000,2988100000,3316700000,3815700000
2,COGS,357525000,430299000,473868000,518382000,565900000,657800000,775500000,893900000,1026800000,1158600000,1372200000
3,Gross Profit,505453000,480604000,656977000,868880000,1041400000,1190100000,1456400000,1766200000,1961300000,2158100000,2443500000
4,Gross Profit Ratio,0.5857,0.5276,0.5810,0.6263,0.6479,0.6440,0.6525,0.6640,0.6564,0.6507,0.6404
5,Research and Development Exp.,212987000,175406000,207941000,254440000,270200000,287800000,355800000,434000000,492600000,560400000,706300000
6,General and Administrative Exp.,280521000,106377000,143980000,168383000,219700000,221200000,282400000,334000000,362100000,323800000,345800000
7,Selling and Marketing Exp.,117715000,130123000,145482000,164671000,202200000,228800000,253200000,291400000,345600000,438500000,503900000
8,"Selling, General and Administrative Exp.",398236000,236500000,289462000,333054000,421900000,450000000,535600000,625400000,707700000,762300000,849700000
9,Other Expenses,164571000,271202000,291499000,343262000,380300000,414700000,374900000,542300000,549700000,1194300000,505700000
10,Operating Expenses,775794000,683108000,788902000,930756000,1072400000,1152500000,1266300000,1601700000,1750000000,2517000000,2061700000
11,COGS and Expenses,1133319000,1113407000,1262770000,1449138000,1638300000,1810300000,2041800000,2495600000,2776800000,3675600000,3433900000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2962000,79092000,70978000,84997000,69200000,57200000,83000000,98400000,92100000,91300000,126000000
14,Depreciation and Amortization,49155000,138620000,140567000,152759000,158800000,160100000,205800000,234100000,209700000,202700000,199600000
15,EBITDA,-218565000,-61558000,10519000,91627000,152200000,201200000,406300000,400600000,426800000,-202400000,578700000
16,EBITDA ratio,-0.2533,-0.0676,0.0093,0.0660,0.0947,0.1089,0.1820,0.1506,0.1428,-0.0610,0.1517
17,Operating Income,-270341000,-202504000,-131925000,-61876000,-31000000,50100000,66900000,149600000,202600000,272200000,382100000
18,Operating Income ratio,-0.3133,-0.2223,-0.1167,-0.0446,-0.0193,0.0271,0.0300,0.0562,0.0678,0.0821,0.1001
19,Total Other Income Expenses (Gains),-341000,-76766000,-69101000,-84253000,-89600000,-71600000,39900000,-76600000,-76200000,-767600000,-128500000
20,Income Before Tax,-270682000,-279270000,-201026000,-146129000,-120600000,-21500000,106800000,73000000,126400000,-495400000,253600000
21,Income Before Tax Ratio,-0.3137,-0.3066,-0.1778,-0.1053,-0.0750,-0.0116,0.0479,0.0274,0.0423,-0.1494,0.0665
22,Income Tax expense (Gain),-235000,-218000,-1142000,-2824000,-200000,400000,-18900000,-9000000,-12000000,-1300000,10800000
23,Net Income,-270447000,-279052000,-199884000,-143305000,-75600000,-16500000,136400000,77100000,137000000,-495100000,242300000
24,Net Income ratio,-0.3134,-0.3063,-0.1768,-0.1033,-0.0470,-0.0089,0.0611,0.0290,0.0458,-0.1493,0.0635
25,EPS,-2.10,-2.21,-1.55,-1.11,-0.81,-0.21,1.25,0.50,0.79,-2.94,1.44
26,EPS Diluted,-2.10,-2.21,-1.55,-1.11,-0.81,-0.21,0.79,0.45,0.76,-2.94,1.42
27,Weighted Average Shares Outstanding,128567000,126098000,128567000,128567000,58676000,79835000,108779000,155234000,173431000,168636000,167906000
28,Weighted Average Shares Outstanding Diluted,128567000,126098000,128567000,128567000,58676000,79835000,177054000,181353000,181721000,168636000,171105000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1609711/000160971116000048/0001609711-16-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1609711/000160971117000042/0001609711-17-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1609711/000160971118000035/0001609711-18-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1609711/000160971119000012/0001609711-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1609711/000160971120000022/0001609711-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1609711/000160971121000017/0001609711-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1609711/000160971122000024/0001609711-22-000024-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,59463000,95430000,138968000,348000000,566100000,582700000,932400000,1062800000,765200000,1255700000
32,Short-Term Investments,- -,3173000,3191000,3003000,4500000,6600000,12300000,18900000,23600000,- -,- -
33,Cash and Short-Term Investments,- -,62636000,98621000,141971000,352500000,572700000,595000000,951300000,1086400000,765200000,1255700000
34,Net Receivables,- -,2432000,5283000,3527000,4800000,8000000,18400000,26400000,30200000,41800000,63600000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,268433000,301971000,315384000,336600000,352100000,446100000,449600000,458700000,484300000,570500000
37,Total Current Assets,- -,333501000,405875000,460882000,693900000,932800000,1059500000,1427300000,1575300000,1291300000,1889800000
38,PP&E,- -,159714000,183248000,220905000,225000000,231000000,297900000,299000000,455200000,399300000,329200000
39,Goodwill,- -,1515224000,1627565000,1661177000,1663400000,1718400000,2859900000,2948000000,2976500000,3275100000,3540800000
40,Intangible Assets,- -,866701000,836038000,749653000,735300000,716500000,1326000000,1211500000,1097700000,1255100000,1384700000
41,Intangible Assets,- -,2381925000,2463603000,2410830000,2398700000,2434900000,4185900000,4159500000,4074200000,4530200000,4925500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,1510000,5400000,5000000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,152535000,160404000,170678000,175800000,183200000,195000000,197600000,196500000,212100000,272600000
45,Total Non-Current Assets,- -,2694174000,2807255000,2803923000,2804900000,2854100000,4678800000,4656100000,4725900000,5141600000,5527300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3027675000,3213130000,3264805000,3498800000,3786900000,5738300000,6083400000,6301200000,6432900000,7417100000
48,Accounts Payable,- -,20334000,24027000,31924000,39400000,61700000,59600000,61600000,72300000,51000000,85200000
49,Short-Term Debt,- -,1532000,1520000,4983000,16200000,10900000,21500000,16600000,57900000,65800000,61000000
50,Tax Payable,- -,- -,- -,- -,11400000,12900000,78500000,38400000,30800000,38400000,35600000
51,Deferred Revenue,- -,592338000,702258000,823284000,937700000,1043500000,1264800000,1393700000,1544400000,1711300000,1890100000
52,Other Current Liabilities,- -,60764000,130724000,112558000,120300000,146100000,464800000,414300000,326500000,486100000,400400000
53,Total Current Liabilities,- -,674968000,858529000,972749000,1113600000,1262200000,1810700000,1886200000,2001100000,2314200000,2436700000
54,Long-Term Debt,- -,987802000,1083934000,1413939000,1039800000,1035700000,2410800000,2394200000,2376800000,3256800000,4000900000
55,Deferred Revenue,- -,316572000,383898000,429228000,478500000,532700000,596800000,623800000,654400000,725100000,743300000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,145500000,117200000,100900000,92000000,75300000
57,Other Non-Current Liabilities,- -,34595000,74262000,38498000,185900000,242100000,228000000,237500000,385900000,56600000,77700000
58,Total Non-Current Liabilities,- -,1338969000,1542094000,1881665000,1704200000,1810500000,3381100000,3372700000,3518000000,4130500000,4897200000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,12000000,6900000,4800000,- -,232400000,208200000,179600000
