,https://roic.ai/company/USX,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,708212000,787085000,798032000,862345000,930509000,1105656000,1164232000,1471764000,- -,- -,- -,- -,- -,- -,- -,- -,1541103000,1451205000,1555385000,1804915000,1707361000,1742101000,1948526000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1217830000,1153610000,1239620000,1422057000,1376675000,1398891000,1609190000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,323273000,297595000,315765000,382858000,330686000,343210000,339336000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2098,0.2051,0.2030,0.2121,0.1937,0.1970,0.1742
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,38930000,36494000,411061000,43847000,43098000,- -,- -,- -,- -,- -,- -,- -,- -,134567000,132330000,146688000,161062000,173204000,151219000,158638000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",32458000,36991000,35225000,38930000,36494000,411061000,43847000,43098000,- -,- -,- -,- -,- -,- -,- -,- -,134567000,132330000,146688000,161062000,173204000,151219000,158638000
9,Other Expenses,- -,- -,- -,804514000,869599000,655041000,1097363000,1371758000,- -,- -,- -,- -,- -,- -,- -,- -,141093000,137534000,140469000,132197000,132243000,148440000,162269000
10,Operating Expenses,- -,- -,- -,843444000,906093000,1066102000,1141210000,1414856000,- -,- -,- -,- -,- -,- -,- -,- -,275660000,269864000,287157000,293259000,305447000,299659000,320907000
11,COGS and Expenses,676685000,767154000,784553000,843444000,906093000,1066102000,1141210000,1414856000,- -,- -,- -,- -,- -,- -,- -,- -,1493490000,1423474000,1526777000,1715316000,1682122000,1698550000,1930097000
