,https://roic.ai/company/CIRX,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,1870848,2299668,1215245,8862715,12992512,8740000,12400000,13680000,9730000,9040000,3060000,4260420,3469010,- -,- -,- -,12500,- -,- -,1732625
2,COGS,2340273,1966851,1014542,7043934,6744224,5390000,9170000,12070000,9570000,5900000,3260000,990480,1156990,- -,- -,- -,- -,- -,- -,896273
3,Gross Profit,-469425,332817,200703,1818781,6248288,3350000,3230000,1610000,160000,3140000,-200000,3269940,2312020,- -,- -,- -,12500,- -,- -,836352
4,Gross Profit Ratio,-0.2509,0.1447,0.1652,0.2052,0.4809,0.3833,0.2605,0.1177,0.0164,0.3473,-0.0654,0.7675,0.6665,- -,- -,- -,1.0000,- -,- -,0.4827
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1690837,2205226,2724368,3695114,6058075,6020000,8030000,5810000,4510000,6110000,6380000,3645750,3327330,- -,- -,1566510,805690,447390,406560,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1690837,2205226,2724368,3695114,6058075,6016630,8029178,5813194,4510500,6113465,6378374,3645752,3327330,- -,- -,1566510,805694,447389,406558,757938
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4268900,- -,- -,- -,- -
10,Operating Expenses,1690837,2205226,2724368,3695114,6058075,6016630,8029178,5813194,4510500,6113465,6378374,3645752,3327330,- -,- -,-2702390,805694,447389,406558,757938
11,COGS and Expenses,4031110,4172077,3738910,10739048,12802299,11400000,15970000,18400000,15030000,12100000,10900000,4481380,2324400,- -,- -,-2702390,1305690,447390,405620,1654211
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,518600,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,437074,460344,495637,1225252,-190000,-3730000,730000,-600000,-2070000,210000,-1675540,79640,- -,- -,-570970,-497520,498777,592756,658654
14,Depreciation and Amortization,540090,470849,300520,249395,433674,526428,654864,644952,660940,653615,189609,86446,46178,- -,- -,2290,1719,2292,2293,373
15,EBITDA,-2392994,-1241887,-2223314,86710,1131218,-2523572,-10305136,-2535048,-5749060,-4036385,-5900391,-1836724,981728,- -,- -,2704680,-2545661,-445100,-403330,1191161
16,EBITDA ratio,-1.2791,-0.5400,-1.8295,0.0098,0.0871,-0.2887,-0.8311,-0.1853,-0.5909,-0.4465,-1.9282,-0.4311,0.2830,- -,- -,Infinity,-203.6529,-Infinity,-Infinity,0.6875
17,Operating Income,-2160262,-1872409,-2523665,-1876333,190213,-2667164,-4801900,-4205916,-4342761,-2972488,-6575219,-375813,-1015316,- -,- -,2702390,-793194,-447389,-406558,78414
18,Operating Income ratio,-1.1547,-0.8142,-2.0767,-0.2117,0.0146,-0.3052,-0.3872,-0.3075,-0.4463,-0.3288,-2.1488,-0.0882,-0.2927,- -,- -,Infinity,-63.4555,-Infinity,-Infinity,0.0453
19,Total Other Income Expenses (Gains),212,159673,-169,1713648,507331,-192836,-2428100,295916,-1467239,-1977512,-464781,-1411827,2239556,- -,- -,-570970,-997516,-498781,-672412,453720
20,Income Before Tax,- -,- -,- -,- -,- -,-2860000,-7230000,-3910000,-5810000,-4950000,-7040000,-1787640,1224240,- -,- -,2131420,-1790710,-946170,-1078970,532134
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-0.3272,-0.5831,-0.2858,-0.5971,-0.5476,-2.3007,-0.4196,0.3529,- -,- -,Infinity,-143.2568,-Infinity,-Infinity,0.3071
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2933084,-2149810,-2984178,-658322,-527708,-2860000,-7230000,-3910000,-5810000,-2620000,-6300000,-247630,855910,- -,- -,-22830960,-2049860,-1111220,-1227540,532134
24,Net Income ratio,-1.5678,-0.9348,-2.4556,-0.0743,-0.0406,-0.3272,-0.5831,-0.2858,-0.5971,-0.2898,-2.0588,-0.0581,0.2467,- -,- -,-Infinity,-163.9888,-Infinity,-Infinity,0.3071
25,EPS,-16.67,-8.33,-8.33,-1.21,-0.79,-0.00,-10.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.20,- -,- -,-5.07,-0.46,-0.25,-0.27,0.12
26,EPS Diluted,-16.67,-8.33,-8.33,-1.21,-0.79,-0.00,-10.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.20,- -,- -,-5.07,-0.46,-0.25,-0.27,0.00
27,Weighted Average Shares Outstanding,189067,249883,332481,541944,664902,756561,851411,1219326,1490580,1498972,1590409,1925943,4389209,- -,- -,4498890,4489891,4499918,4500417,4555718
28,Weighted Average Shares Outstanding Diluted,189067,249883,332481,541944,664902,756561,851411,1219326,1490580,1498972,1590409,1925943,7644348,- -,- -,4498890,4489891,4499918,4500417,172317270
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/813716/000103883812000117/0001038838-12-000117-index.htm,https://www.sec.gov/Archives/edgar/data/813716/000155724013000093/0001557240-13-000093-index.htm,https://www.sec.gov/Archives/edgar/data/813716/000155724014000297/0001557240-14-000297-index.htm,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/813716/000149315219005820/0001493152-19-005820-index.htm,https://www.sec.gov/Archives/edgar/data/813716/000149315220010123/0001493152-20-010123-index.htm,https://www.sec.gov/Archives/edgar/data/813716/000149315221011743/0001493152-21-011743-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,499,500,54135,81101,1427865,146050,82761,8701,90599,114641,173780,7883,281,- -,- -,- -,5824,214,- -,0
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0
33,Cash and Short-Term Investments,499,500,54135,81101,1427865,146050,82761,8701,90599,114641,173780,7883,281,- -,- -,- -,5824,214,- -,0
34,Net Receivables,369250,37464,89187,1288719,3358981,982096,1850866,5310284,1143213,629830,27585,162468,6561,- -,- -,- -,- -,- -,- -,0
35,Inventory,1773888,1550553,1247428,1453754,2271604,1960013,1938616,1451275,873650,542356,465074,98343,188634,- -,- -,- -,- -,- -,18814,0
36,Other Current Assets,97037,100189,165091,153062,395129,535881,459428,469593,720712,879929,26136,7866,52555,- -,- -,- -,409,122,1210,0
37,Total Current Assets,2240674,1688706,1555841,2976636,7453579,3624040,4331671,7239853,2828174,2166756,692575,276560,248031,- -,- -,- -,6233,336,20024,1
38,PP&E,1333925,865898,577603,840793,2686737,2678454,986184,773591,544705,335547,172480,86034,39856,- -,- -,20000,14357,12065,9772,0
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,2089233,1871153,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,2089233,1871153,1270358,169459,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,1050000,300000,300000,300000,300000,- -,- -,300000,300000,300000,300000,300000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
