,https://roic.ai/company/STGW,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,25000000,63149236,133362090,170103252,195707326,309859093,456581292,778113801,699299772,599203308,312716000,316812000,443462000,423671000,547319000,584648000,545924000,697825000,943274000,1070711000,1148881000,1223512000,1326256000,1385785000,- -,- -,1415803000,1199011000,1469363000
2,COGS,17500000,32225125,77477976,99501902,109592107,157645843,200472348,401821603,350692301,311321444,276157000,203004000,261687000,246799000,351851000,392145000,354312000,477491000,674460000,739121000,754494000,798518000,879716000,936133000,- -,- -,961076000,769899000,906856000
3,Gross Profit,7500000,30924111,55884114,70601350,86115219,152213249,256108943,376292197,348607471,287881864,36559000,113808000,181775000,176872000,195468000,192503000,191612000,220334000,268814000,331590000,394387000,424994000,446540000,449652000,- -,- -,454727000,429112000,562507000
4,Gross Profit Ratio,0.3000,0.4897,0.4190,0.4150,0.4400,0.4912,0.5609,0.4836,0.4985,0.4804,0.1169,0.3592,0.4099,0.4175,0.3571,0.3293,0.3510,0.3157,0.2850,0.3097,0.3433,0.3474,0.3367,0.3245,- -,- -,0.3212,0.3579,0.3828
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,12709910,44287411,50200960,61139808,101006016,169765686,290653773,274270555,- -,- -,- -,- -,- -,- -,- -,136897000,156924000,- -,303084000,386779000,290073000,322207000,306251000,- -,- -,328339000,341565000,424038000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,12709910,44287411,50200960,61139808,101006016,169765686,290653773,274270555,- -,- -,- -,- -,- -,- -,- -,136897000,156924000,- -,303084000,386779000,290073000,322207000,306251000,- -,- -,175962000,191679000,424038000
9,Other Expenses,4600000,1200936,4298778,7700147,10289869,16901405,27873737,35036674,-57546291,335659739,12617000,110986000,159187000,163586000,172453000,172159000,34471000,34481000,259507000,46414000,39600000,47172000,52223000,46446000,- -,- -,190706000,186791000,77503000
10,Operating Expenses,4600000,13910846,48586189,57901107,71429677,117907421,197639423,325690447,216724264,335659739,12617000,110986000,159187000,163586000,172453000,172159000,171368000,191405000,259507000,349498000,426379000,337245000,374430000,352697000,- -,- -,366668000,378470000,501541000
11,COGS and Expenses,22100000,46135971,126064165,157403009,181021784,275553264,398111771,727512050,567416565,646981183,288774000,313990000,420874000,410385000,524304000,564304000,525680000,668896000,933967000,1088619000,1180873000,1135763000,1254146000,1288830000,- -,- -,1327744000,1148369000,1408397000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-500000,600468,3798920,6300120,- -,14989936,- -,31575212,31776400,17797366,11502000,8788000,9260000,11278000,13672000,14998000,22098000,33487000,41922000,46571000,45234000,55265000,57903000,65858000,- -,- -,64942000,- -,31894000
14,Depreciation and Amortization,- -,1200937,4298778,7700147,10289869,16901405,27873737,35036674,38251869,16185876,12617000,19955000,28788000,26970000,31576000,35752000,34471000,34481000,40236000,46414000,39600000,47172000,52223000,46446000,- -,- -,38329000,36905000,77503000
15,EBITDA,1100000,5003901,10796930,19900381,-1498525,47183088,53059393,100098354,-96092136,150457369,41750000,26829000,32256000,7270000,24513000,53280000,46781000,52363000,39219000,17099000,-68320000,90802000,78433000,57061000,- -,- -,109114000,-75511000,153831000
16,EBITDA ratio,0.0440,0.0792,0.0810,0.1170,-0.0077,0.1523,0.1162,0.1286,-0.1374,0.2511,0.1335,0.0847,0.0727,0.0172,0.0448,0.0911,0.0857,0.0750,0.0416,0.0160,-0.0595,0.0742,0.0591,0.0412,- -,- -,0.0771,-0.0630,0.1047
17,Operating Income,2800000,17013266,7297925,12700243,14685542,34305828,58469520,50601751,131883207,-47777875,23942000,2822000,22588000,13286000,23015000,20344000,20244000,28929000,9307000,-17908000,-31992000,87749000,72110000,96955000,- -,- -,40695000,83740000,44726000
18,Operating Income ratio,0.1120,0.2694,0.0547,0.0747,0.0750,0.1107,0.1281,0.0650,0.1886,-0.0797,0.0766,0.0089,0.0509,0.0314,0.0421,0.0348,0.0371,0.0415,0.0099,-0.0167,-0.0278,0.0717,0.0544,0.0700,- -,- -,0.0287,0.0698,0.0304
19,Total Other Income Expenses (Gains),-1300000,-13810769,-4598693,-6800130,-6493607,-19014081,-33283864,-17115283,-210464776,164252002,-7355000,6243000,-31110000,-9008000,-16073000,-12000,-23792000,-32832000,-43344000,-47171000,-103598000,-72640000,-89526000,-146671000,- -,- -,-19048000,-172142000,14832000
20,Income Before Tax,1500000,3202496,2699232,5900113,8191935,15291747,25185656,33486467,-78581569,116474128,16587000,9065000,-8522000,4278000,6942000,20332000,-3548000,-3903000,-34037000,-65079000,-135590000,15109000,-17416000,-49716000,- -,- -,21647000,-88402000,59558000
21,Income Before Tax Ratio,0.0600,0.0507,0.0202,0.0347,0.0419,0.0494,0.0552,0.0430,-0.1124,0.1944,0.0530,0.0286,-0.0192,0.0101,0.0127,0.0348,-0.0065,-0.0056,-0.0361,-0.0608,-0.1180,0.0123,-0.0131,-0.0359,- -,- -,0.0153,-0.0737,0.0405
22,Income Tax expense (Gain),100000,100078,99971,800015,2797246,6136819,9302900,5955795,-16168677,22265951,6589000,243000,2157000,2561000,5620000,2397000,8536000,-165000,41735000,9553000,-4291000,12422000,5664000,-7301000,- -,- -,10533000,116555000,23398000
23,Net Income,1500000,3102419,2599261,5100098,-14585640,9154928,15882756,27530673,-149951729,94208176,11042000,-2157000,-7949000,-33539000,-26355000,133000,-18324000,-15440000,-84674000,-85439000,-148863000,-24057000,-37357000,-47942000,- -,- -,-4690000,-228971000,21036000
24,Net Income ratio,0.0600,0.0491,0.0195,0.0300,-0.0745,0.0295,0.0348,0.0354,-0.2144,0.1572,0.0353,-0.0068,-0.0179,-0.0792,-0.0482,0.0002,-0.0336,-0.0221,-0.0898,-0.0798,-0.1296,-0.0197,-0.0282,-0.0346,- -,- -,-0.0033,-0.1910,0.0143
25,EPS,0.13,0.24,0.13,0.30,-0.85,0.40,0.55,1.01,-3.54,3.68,0.37,-0.07,-0.23,-0.93,-0.70,0.00,-0.45,-0.37,-1.94,-1.85,-3.16,-0.49,-0.75,-0.93,- -,- -,0.22,0.73,0.00
26,EPS Diluted,0.13,0.24,0.13,0.28,-0.85,0.37,0.51,0.85,-3.54,2.49,0.33,-0.06,-0.23,-0.93,-0.70,0.00,-0.45,-0.37,-1.94,-1.85,-3.16,-0.49,-0.75,-0.93,- -,- -,0.22,0.73,0.00
27,Weighted Average Shares Outstanding,11200000,12925230,15556500,16997294,17226850,22928546,26610330,25067668,25328815,25630105,30114545,32029902,34948192,35812929,37500873,40148758,41094694,42241716,43680559,46090159,47108406,49545350,49875282,51345807,- -,- -,77567628,77567628,257537679
