,https://roic.ai/company/APHE,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,4472,2346,4278,- -,- -
2,COGS,- -,- -,- -,- -,5735,2677,7239,- -,96916
3,Gross Profit,- -,- -,- -,- -,-1263,-331,-2961,- -,-96916
4,Gross Profit Ratio,- -,- -,- -,- -,-0.2824,-0.1411,-0.6921,- -,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,31297,14529,14529,24957,75496,1108326,810485,436649000,725832
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",31297,14529,14529,24957,75496,1108326,810485,436649000,725832
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,1295267000,71750
10,Operating Expenses,31297,14529,14529,24957,75496,1108326,810485,1731916000,797582
11,COGS and Expenses,31297,14529,14529,24957,81231,1111003,817724,1731916000,894498
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,571,571,1338,23268,96377,61689,238885000,131117
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,20493,7016
15,EBITDA,-39040,-14529,-14529,-24957,-239317,-1429001,-371248,-1733593507,-899295
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-53.5145,-609.1223,-86.7807,-Infinity,-Infinity
17,Operating Income,-31297,-14529,-14529,-60389,-88009,-1108657,-863446,-1733614,-906311
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-19.6800,-472.5733,-201.8340,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),7743,-571,-571,-1338,-174576,-416721,430509,-1985244386,-164427
20,Income Before Tax,-23554,-15100,-15100,-61727,-262585,-1525378,-432937,-1986978000,-1070738
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-58.7176,-650.2038,-101.2008,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-23554,-15100,-15100,-61727,-262585,-1525378,-432937,-1986978000,-1070738
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-58.7176,-650.2038,-101.2008,-Infinity,-Infinity
25,EPS,-0.00,-0.00,-0.00,-0.00,-0.02,-0.09,-0.02,-0.11,-0.06
26,EPS Diluted,-0.00,-0.00,-0.00,-0.00,-0.02,-0.09,-0.05,-0.11,-0.06
27,Weighted Average Shares Outstanding,8301795,16866428,16866428,16870117,17016428,17066576,17594220,17966907,17966907
28,Weighted Average Shares Outstanding Diluted,8301795,16866428,16866428,16870117,17016428,17066576,17724798,17966907,17966907
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/855787/000107878216003545/0001078782-16-003545-index.htm,https://www.sec.gov/Archives/edgar/data/855787/000107878217000469/0001078782-17-000469-index.htm,https://www.sec.gov/Archives/edgar/data/855787/000107878218000421/0001078782-18-000421-index.htm,https://www.sec.gov/Archives/edgar/data/855787/000107878219000699/0001078782-19-000699-index.htm,https://www.sec.gov/Archives/edgar/data/855787/000143774920020157/0001437749-20-020157-index.htm,https://www.sec.gov/Archives/edgar/data/855787/000143774921010230/0001437749-21-010230-index.htm,https://www.sec.gov/Archives/edgar/data/855787/000143774922008152/0001437749-22-008152-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,2229,3290,116,453,1061,240,- -,- -,217
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2229,3290,116,453,1061,240,- -,- -,217
34,Net Receivables,- -,- -,- -,- -,1285,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,455,2955,2750,- -,- -,- -,- -,30000000,23750
37,Total Current Assets,2684,6245,2866,453,2346,240,- -,30000000,23967
38,PP&E,24000,24000,35432,11250,- -,10000,10000,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
