,https://roic.ai/company/XELB,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,612,12541268,17599303,16223871,24229023,- -,- -,11627000,13143000,13368000,20707000,27721000,32754000,31706000,35466000,41727000,29448000
2,COGS,- -,- -,- -,- -,- -,3126,- -,- -,12528503,19071378,132966,- -,252000,440000,93000,73000,267000,196000,- -,2702000,10272000,5456000
3,Gross Profit,- -,- -,- -,- -,- -,-2514,12541268,17599303,3695368,5157645,-132966,- -,11375000,12703000,13275000,20634000,27454000,32558000,- -,32764000,31455000,23992000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,-4.1078,1.0000,1.0000,0.2278,0.2129,-Infinity,- -,0.9783,0.9665,0.9930,0.9965,0.9904,0.9940,- -,0.9238,0.7538,0.8147
5,Research and Development Exp.,- -,- -,- -,- -,- -,395452,457385,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2824000,7452000,13824000,17780000,20523000,25690000,24643000,23559000,22362000,20478000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3796000,5424000,473000,1084000,2375000,3181000,2352000,2696000,3164000,3334000
8,"Selling, General and Administrative Exp.",1000,7254,7051,9226,24827,920718,15285411,19625428,4962997,4026688,646315,352290,6620000,12876000,14297000,18864000,22898000,28871000,26995000,26255000,25526000,23812000
9,Other Expenses,- -,- -,- -,- -,- -,8211,248941,9836916,316938,287422,- -,- -,422000,856000,893000,935000,1379000,1560000,1562000,1780000,3902000,3635000
10,Operating Expenses,1000,7254,7051,- -,- -,1324381,15991737,29462344,5279935,4314110,646315,352290,7042000,13732000,15190000,19799000,24277000,30431000,28557000,28035000,29428000,27447000
11,COGS and Expenses,1000,7254,7051,9226,24827,1327507,15991737,29462344,17808438,23385488,779281,352290,7294000,14172000,15283000,19872000,24544000,30627000,28557000,30737000,39700000,32903000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,784,175365,103888,316439,315135,372654,36270,- -,296000,2175000,1726000,1488000,1804000,1848000,1347000,1011000,1285000,1193000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,229332,1477240,3164135,316938,287422,- -,- -,422000,856000,893000,935000,1379000,1560000,1562000,1780000,3902000,5497000
15,EBITDA,-1000,-7254,-7051,-9226,-44125,-1097563,-5200857,-13589435,-11178537,-260216,-779281,-352290,4007000,6549000,2749000,1294000,5913000,6460000,-7660000,5710000,1119000,-10764000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1793.4036,-0.4147,-0.7722,-0.6890,-0.0107,-Infinity,-Infinity,0.3446,0.4983,0.2056,0.0625,0.2133,0.1972,-0.2416,0.1610,0.0268,-0.3655
17,Operating Income,-1000,-7254,-7051,-9226,-24827,-1326895,-3450469,-12023041,-9863018,843535,-779281,-352290,3835000,5693000,1856000,1435000,4806000,4866000,-9222000,3930000,-2613000,-16410000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2168.1291,-0.2751,-0.6832,-0.6079,0.0348,-Infinity,-Infinity,0.3298,0.4332,0.1388,0.0693,0.1734,0.1486,-0.2909,0.1108,-0.0626,-0.5573
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,19298,- -,-3331516,-4572557,-1894194,-1763827,-762,81248,-546000,-2175000,-1726000,-1488000,-1804000,-1848000,-1347000,-1011000,-1474000,-1193000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-6781985,-16595598,-11757212,-920292,-780043,-271042,3289000,3518000,130000,-53000,3002000,3018000,-10569000,2919000,-4087000,-17603000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-0.5408,-0.9430,-0.7247,-0.0380,-Infinity,-Infinity,0.2829,0.2677,0.0097,-0.0026,0.1083,0.0921,-0.3333,0.0823,-0.0979,-0.5978
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000,15000,-15000,-766000,-1402000,-97000,156000,315000,-447000,1831000,-642000,-4518000
23,Net Income,-1000,-7254,-7051,-9226,-6313,-1502260,-6781985,-17070009,-11810610,-920292,216566,-286042,3304000,4284000,1532000,-1032000,2574000,2737000,-10122000,1088000,-3426000,-12936000
