,https://roic.ai/company/ASIX,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,1766586000,1790372000,1329409000,1191524000,1475194000,1514984000,1297393000,1157917000,1684625000
2,COGS,1530705000,1607028000,1179651000,1083894000,1249014000,1340497000,1161921000,1024169000,1410503000
3,Gross Profit,235881000,183344000,149758000,107630000,226180000,174487000,135472000,133748000,274122000
4,Gross Profit Ratio,0.1335,0.1024,0.1127,0.0903,0.1533,0.1152,0.1044,0.1155,0.1627
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,53416000,53931000,52398000,53753000,72815000,81224000,75375000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",53416000,53931000,52398000,53753000,72815000,81224000,75375000,- -,82985000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,70870000,- -
10,Operating Expenses,53416000,53931000,52398000,53753000,72815000,81224000,75375000,70870000,82985000
11,COGS and Expenses,1584121000,1660959000,1232049000,1137647000,1321829000,1421721000,1237296000,1095039000,1493488000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,7792000,5023000
14,Depreciation and Amortization,37234000,33608000,36410000,40329000,48455000,53233000,56826000,60832000,65340000
15,EBITDA,221527000,165655000,136647000,94104000,193087000,139001000,110174000,123657000,255479000
16,EBITDA ratio,0.1254,0.0925,0.1028,0.0790,0.1309,0.0918,0.0849,0.1068,0.1517
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),1828000,2634000,2877000,-102000,-8733000,-7495000,-6749000,-7845000,1678604000
20,Income Before Tax,184293000,132047000,100237000,53775000,144632000,85768000,53348000,55033000,185116000
21,Income Before Tax Ratio,0.1043,0.0738,0.0754,0.0451,0.0980,0.0566,0.0411,0.0475,0.1099
22,Income Tax expense (Gain),65547000,48189000,36461000,19628000,-2067000,19524000,12001000,8956000,45325000
23,Net Income,118746000,83858000,63776000,34147000,146699000,66244000,41347000,46077000,139791000
24,Net Income ratio,0.0672,0.0468,0.0480,0.0287,0.0994,0.0437,0.0319,0.0398,0.0830
25,EPS,3.81,2.74,1.74,1.12,4.81,2.20,1.47,1.64,4.98
26,EPS Diluted,3.81,2.74,1.74,1.12,4.72,2.14,1.43,1.64,4.96
27,Weighted Average Shares Outstanding,31192000,30620000,31192000,30482966,30482966,30172050,28122288,28048726,28048726
28,Weighted Average Shares Outstanding Diluted,31192000,30620000,31192000,30503587,31091601,30978291,28898836,28157062,28157062
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1673985/000093041317000896/0000930413-17-000896-index.html,https://www.sec.gov/Archives/edgar/data/1673985/000167398518000014/0001673985-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1673985/000167398519000010/0001673985-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1673985/000167398520000009/0001673985-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1673985/000167398521000011/0001673985-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1673985/000167398522000010/0001673985-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,14199000,55432000,9808000,7050000,10606000,15100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,14199000,55432000,9808000,7050000,10606000,15100000
34,Net Receivables,- -,167334000,127545000,131671000,196003000,160266000,106660000,135843000,179087000
35,Inventory,- -,155252000,150231000,128978000,129208000,137182000,171710000,180085000,149570000
36,Other Current Assets,- -,9071000,4443000,7690000,7130000,3807000,5117000,6969000,6097000
37,Total Current Assets,- -,331657000,282219000,282538000,387773000,311063000,290537000,333503000,349854000
38,PP&E,- -,468761000,527542000,575375000,612612000,672210000,891866000,879953000,904171000
39,Goodwill,- -,15005000,15005000,15005000,15005000,15005000,15005000,15005000,17592000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,15005000,15005000,15005000,15005000,15005000,15005000,15005000,17592000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,7625000,16220000,32039000,34884000,36348000,38561000,34946000,40382000
45,Total Non-Current Assets,- -,491391000,558767000,622419000,662501000,723563000,945432000,929904000,962145000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,823048000,840986000,904957000,1050274000,1034626000,1235969000,1263407000,1311999000
48,Accounts Payable,- -,232775000,192733000,223015000,227711000,229508000,205911000,190227000,221234000
49,Short-Term Debt,- -,- -,- -,- -,16875000,- -,38005000,29279000,36127000
50,Tax Payable,- -,- -,- -,- -,1000,2212000,- -,- -,- -
51,Deferred Revenue,- -,31989000,25207000,25567000,17194000,22556000,19696000,26379000,2749000
52,Other Current Liabilities,- -,24775000,25114000,25396000,35014000,32660000,28114000,41152000,49712000
53,Total Current Liabilities,- -,289539000,243054000,273978000,296794000,284724000,291726000,287037000,309822000
54,Long-Term Debt,- -,- -,- -,264838000,248339000,200000000,297000000,360605000,235580000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,111445000,114910000,114200000,92276000,103783000,110071000,125575000,133330000
57,Other Non-Current Liabilities,- -,5309000,3952000,36579000,36540000,25781000,136294000,46067000,32077000
58,Total Non-Current Liabilities,- -,116754000,118862000,415617000,377155000,329564000,543365000,532247000,400987000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,136352000,114884000,136707000
61,Total Liabilities,- -,406293000,361916000,689595000,673949000,614288000,835091000,819284000,710809000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,305000,305000,306000,314000,316000,318000
64,Retained Earnings,- -,- -,- -,-24714000,121985000,187819000,229166000,275243000,411516000
65,Other Comprehensive Income/Loss,- -,-5214000,-3739000,-3035000,-9046000,-2474000,-9451000,-16132000,-6539000
66,Other Total Stockholders Equity,- -,421755000,483070000,242806000,263081000,234687000,180849000,184696000,195895000
67,Total Stockholders Equity,- -,416755000,479070000,215362000,376325000,420338000,400878000,444123000,601190000
68,Total Liabilities And Stockholders Equity,- -,823048000,840986000,904957000,1050274000,1034626000,1235969000,1263407000,1311999000
