,https://roic.ai/company/YNDX,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,8729000000,12500000000,20033000000,28767000000,39502000000,50767000000,59792000000,75925000000,94054000000,127657000000,175391000000,218344000000,356171000000
2,COGS,2086000000,2585000000,4707000000,7188000000,10606000000,14336000000,16810000000,19754000000,23937000000,35890000000,55788000000,85734000000,173952000000
3,Gross Profit,6643000000,9915000000,15326000000,21579000000,28896000000,36431000000,42982000000,56171000000,70117000000,91767000000,119603000000,132610000000,182219000000
4,Gross Profit Ratio,0.7610,0.7932,0.7650,0.7501,0.7315,0.7176,0.7189,0.7398,0.7455,0.7189,0.6819,0.6073,0.5116
5,Research and Development Exp.,1619000000,2073000000,3124000000,4274000000,5827000000,8842000000,13421000000,15832000000,18761000000,22569000000,29209000000,36339000000,48461000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122924000000
9,Other Expenses,2386000000,3019000000,5168000000,7851000000,10232000000,12266000000,19392000000,27492000000,38320000000,48337000000,64932000000,80022000000,24111000000
10,Operating Expenses,4005000000,5092000000,8292000000,12125000000,16059000000,21108000000,32813000000,43324000000,57081000000,70906000000,94141000000,116361000000,195496000000
11,COGS and Expenses,6091000000,7677000000,12999000000,19313000000,26665000000,35444000000,49623000000,63078000000,81018000000,106796000000,149929000000,202095000000,369448000000
12,Interest Income ,67000000,156000000,222000000,1002000000,1717000000,856000000,1744000000,1655000000,2909000000,3382000000,3315000000,3869000000,4615000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,897000000,945000000,74000000,2373000000,3711000000
