,https://roic.ai/company/ALLE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,2021200000,2023300000,2069600000,2118300000,2068100000,2238000000,2408200000,2731700000,2854000000,2719900000,2867400000
2,COGS,1211400000,1197700000,1205000000,1263200000,1185400000,1248300000,1335300000,1558400000,1601700000,1541100000,1662500000
3,Gross Profit,809800000,825600000,864600000,855100000,882700000,989700000,1072900000,1173300000,1252300000,1178800000,1204900000
4,Gross Profit Ratio,0.4007,0.4080,0.4178,0.4037,0.4268,0.4422,0.4455,0.4295,0.4388,0.4334,0.4202
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,450800000,454300000,- -,527000000,510000000,559000000,582000000,647000000,687000000,- -,- -
8,"Selling, General and Administrative Exp.",450800000,454300000,486200000,527400000,510500000,559800000,582500000,647500000,687200000,635700000,674700000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,450800000,454300000,486200000,527400000,510500000,559800000,582500000,647500000,687200000,635700000,674700000
11,COGS and Expenses,1662200000,1652000000,1828800000,1792000000,1813700000,1888100000,1915700000,2205900000,2319000000,2176800000,2337200000
12,Interest Income ,400000,100000,800000,1100000,1500000,1900000,1200000,800000,1800000,900000,400000
13,Interest Expense (Gain),1400000,1500000,-17400000,53800000,52900000,64300000,105700000,54000000,56000000,51100000,50200000
14,Depreciation and Amortization,46000000,43800000,46100000,48800000,53200000,66900000,66900000,86200000,83000000,81000000,83100000
15,EBITDA,396000000,402100000,236000000,362000000,314600000,424100000,564900000,614900000,613900000,497300000,657000000
16,EBITDA ratio,0.1959,0.1987,0.1140,0.1709,0.1521,0.1895,0.2346,0.2251,0.2151,0.1828,0.2291
17,Operating Income,359000000,371300000,235800000,326300000,358600000,425500000,488200000,525800000,565100000,403500000,530200000
18,Operating Income ratio,0.1776,0.1835,0.1139,0.1540,0.1734,0.1901,0.2027,0.1925,0.1980,0.1484,0.1849
19,Total Other Income Expenses (Gains),3200000,-4600000,-12400000,-58400000,-149300000,-130500000,-92500000,-50600000,-89900000,-38100000,-6200000
20,Income Before Tax,362200000,366700000,223400000,267900000,209300000,295000000,395700000,475200000,475200000,365400000,524000000
21,Income Before Tax Ratio,0.1792,0.1812,0.1079,0.1265,0.1012,0.1318,0.1643,0.1740,0.1665,0.1343,0.1827
22,Income Tax expense (Gain),130500000,136700000,175000000,84200000,54600000,63800000,119000000,39800000,73100000,50900000,40700000
23,Net Income,218100000,220100000,32300000,175200000,153900000,229100000,273300000,434900000,401800000,314300000,483000000
24,Net Income ratio,0.1079,0.1088,0.0156,0.0827,0.0744,0.1024,0.1135,0.1592,0.1408,0.1156,0.1684
25,EPS,2.27,2.29,0.32,1.82,1.60,2.39,2.87,4.58,4.29,3.41,5.23
26,EPS Diluted,2.27,2.29,0.32,1.82,1.59,2.36,2.85,4.54,4.26,3.39,5.20
27,Weighted Average Shares Outstanding,96028568,96028568,96000000,96100000,95900000,95800000,95100000,95000000,93600000,92300000,92300000
