,https://roic.ai/company/THS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,686981000,683819000,696134000,694619000,707731000,939396000,1157902000,1500650000,1511653000,1817024000,2049985000,2182125000,2293927000,2946102000,3206405000,6175088000,6307100000,5812100000,4288900000,4349000000,4327600000
2,COGS,521946000,503242000,517896000,537970000,560094000,738818000,917611000,1208626000,1185283000,1385690000,1576688000,1728215000,1818378000,2339498000,2562102000,5049706000,5223100000,4856700000,3492100000,3547000000,3629500000
3,Gross Profit,165035000,180577000,178238000,156649000,147637000,200578000,240291000,292024000,326370000,431334000,473297000,453910000,475549000,606604000,644303000,1125382000,1084000000,955400000,796800000,802000000,698100000
4,Gross Profit Ratio,0.2402,0.2641,0.2560,0.2255,0.2086,0.2135,0.2075,0.1946,0.2159,0.2374,0.2309,0.2080,0.2073,0.2059,0.2009,0.1822,0.1719,0.1644,0.1858,0.1844,0.1613
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,15389000,-45774000,11719000,11020000,- -,- -,- -,- -,- -,- -,101817000,102973000,121065000,158793000,161649000,340583000,300400000,280000000,253200000,248300000,221200000
7,Selling and Marketing Exp.,62109000,58385000,57136000,61484000,- -,- -,- -,- -,- -,- -,142341000,136779000,134998000,174602000,180503000,404753000,402300000,378400000,256900000,263000000,283200000
8,"Selling, General and Administrative Exp.",77498000,12611000,68855000,72504000,- -,- -,- -,- -,- -,- -,244158000,239752000,256063000,333395000,342152000,745336000,702700000,658400000,510100000,511300000,504400000
9,Other Expenses,9806000,63536000,6744000,12577000,119048000,116224000,155347000,204899000,195561000,254781000,40864000,32153000,35375000,52634000,60598000,111053000,115400000,87400000,74400000,141700000,76100000
10,Operating Expenses,87304000,76147000,75599000,85081000,119048000,116224000,155347000,204899000,195561000,254781000,285022000,271905000,291438000,386029000,402750000,856389000,818100000,745800000,584500000,653000000,580500000
11,COGS and Expenses,609250000,579389000,593495000,623051000,679142000,855042000,1072958000,1413525000,1380844000,1640471000,1861710000,2000120000,2109816000,2725527000,2964852000,5906095000,6041200000,5602500000,4076600000,4200000000,4210000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,107000,45000,- -,- -,643000,2185000,990000,2967000,4185000,4300000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,27614000,18430000,45691000,53023000,51609000,49304000,42036000,45474000,119155000,126800000,114600000,102400000,104800000,81200000
14,Depreciation and Amortization,- -,1551000,14032000,14863000,16941000,24704000,35147000,45854000,47343000,69778000,83018000,98215000,108642000,115915000,122067000,288238000,287600000,258300000,210600000,203000000,213900000
