,https://roic.ai/company/KOF,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3822849500,6131639000,7635537750,9305966600,12730706100,14155018466,16634045735,17384450452,17503116227,35614853905,46345338000,50240795000,57710070000,69105192000,82976000000,102767000000,103456000000,124715000000,147739000000,156011000000,147298000000,152360000000,177718000000,203780000000,182342000000,194471000000,183615000000,194804000000
2,COGS,1907060000,3398675500,4220447250,4618719800,6516190800,6723699755,7385163034,8199196750,8076124372,17922699848,23889006000,25507845000,30182820000,35805291000,43895000000,54952000000,55534000000,67488000000,79109000000,83076000000,78916000000,80330000000,98056000000,112094000000,98404000000,106964000000,100804000000,106206000000
3,Gross Profit,1915789500,2732963500,3415090500,4687246800,6214515300,7431318711,9248882701,9185253702,9426991854,17692154057,22456332000,24732950000,27527250000,33299901000,39081000000,47815000000,47922000000,57227000000,68630000000,72935000000,68382000000,72030000000,79662000000,91686000000,83938000000,87507000000,82811000000,88598000000
4,Gross Profit Ratio,0.5011,0.4457,0.4473,0.5037,0.4882,0.5250,0.5560,0.5284,0.5386,0.4968,0.4845,0.4923,0.4770,0.4819,0.4710,0.4653,0.4632,0.4589,0.4645,0.4675,0.4642,0.4728,0.4482,0.4499,0.4603,0.4500,0.4510,0.4548
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4095000000,5308000000,4449000000,5184000000,6217000000,6487000000,6385000000,6405000000,7423000000,8983000000,7999000000,8427000000,7891000000,60721000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21291000000,26672000000,26394000000,31891000000,40223000000,44828000000,40465000000,41879000000,48039000000,55927000000,49925000000,52110000000,48553000000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25386000000,31980000000,30843000000,37075000000,46440000000,51315000000,46850000000,48284000000,55462000000,64910000000,57924000000,60537000000,56444000000,60721000000
9,Other Expenses,1459169500,2359271000,2772694500,3501326600,4574587500,5383101401,6299804473,5414877585,5016259552,11003315739,14793192000,16039265000,18081625000,21873144000,- -,- -,- -,- -,162000000,201000000,232000000,389000000,264000000,346000000,818000000,389000000,842000000,560000000
10,Operating Expenses,1459169500,2359271000,2772694500,3501326600,4574587500,5383101401,6299804473,5414877585,5016259552,11003315739,14793192000,16039265000,18081625000,21873144000,25386000000,31980000000,30843000000,37075000000,46602000000,51516000000,47082000000,48673000000,55726000000,65256000000,58742000000,60926000000,57286000000,61281000000
