,https://roic.ai/company/CLVS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,13625000,- -,78000,55511000,95388000,143006000,164522000,148757000
2,COGS,- -,- -,- -,- -,- -,- -,70000,11737000,22074000,34686000,41305000,38826000
3,Gross Profit,- -,- -,- -,- -,- -,- -,8000,43774000,73314000,108320000,123217000,109931000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.1026,0.7886,0.7686,0.7575,0.7489,0.7390
5,Research and Development Exp.,22323000,40726000,58894000,66545000,137705000,269251000,251129000,142498000,231347000,283146000,257707000,192078000
6,General and Administrative Exp.,- -,- -,10638000,16567000,21457000,30524000,40731000,138907000,175781000,182769000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,10638000,16567000,21457000,30524000,40731000,138907000,175781000,182769000,- -,128400000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,9711000,167698000,15220000
10,Operating Expenses,- -,- -,69532000,83112000,159162000,299775000,291860000,281405000,407128000,475626000,425405000,335698000
11,COGS and Expenses,26625000,47586000,69532000,83112000,159162000,299775000,291930000,293142000,429202000,510312000,466710000,374524000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,2604000,8372000,8491000,10428000,13183000,16547000,23491000,31673000
14,Depreciation and Amortization,83000,185000,353000,250000,4220000,761000,1141000,2504000,4601000,7768000,8198000,8496000
15,EBITDA,-15337000,-39444000,-69179000,-82862000,-150899000,-299014000,-371539000,-337043000,-349617000,-374311000,-338070000,-224759000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-11.0752,-Infinity,-4763.3205,-6.0716,-3.6652,-2.6174,-2.0549,-1.5109
17,Operating Income,-38625000,-54586000,-73782000,-83767000,-158459000,-376721000,-372733000,-237631000,-333814000,-376746000,-302188000,-225767000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-11.6300,-Infinity,-4778.6282,-4.2808,-3.4995,-2.6345,-1.8368,-1.5177
19,Total Other Income Expenses (Gains),-11205000,-957000,-228000,-713000,736000,-5216000,-8438000,-112344000,-33587000,-21880000,-67571000,-39161000
20,Income Before Tax,- -,-55543000,-74010000,-84480000,-157723000,-381937000,-381171000,-349975000,-367401000,-398626000,-369759000,-264928000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-11.5760,-Infinity,-4886.8077,-6.3046,-3.8516,-2.7875,-2.2475,-1.7809
22,Income Tax expense (Gain),- -,27000,-27000,52000,2308000,-29076000,-32034000,-3578000,608000,1798000,-547000,-404000
23,Net Income,-37830000,-55570000,-73983000,-84532000,-160031000,-352861000,-349137000,-346397000,-368009000,-400424000,-369212000,-264524000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-11.7454,-Infinity,-4476.1154,-6.2402,-3.8580,-2.8001,-2.2441,-1.7782
25,EPS,-4.41,-14.42,-2.97,-2.95,-4.72,-9.79,-9.07,-7.36,-7.07,-7.43,-4.38,-2.18
26,EPS Diluted,-4.41,-14.42,-2.97,-2.95,-4.72,-9.79,-9.07,-7.36,-7.07,-7.43,-4.38,-2.18
27,Weighted Average Shares Outstanding,8570000,3854000,24915000,28672000,33889000,36026000,38478000,47047000,52066000,53873000,84307000,121217000
28,Weighted Average Shares Outstanding Diluted,8570000,3854000,24915000,28672000,33889000,36026000,38478000,47047000,52066000,53873000,84307000,121217000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1466301/000119312513106580/0001193125-13-106580-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000119312514076654/0001193125-14-076654-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000156459015001099/0001564590-15-001099-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000156459016013672/0001564590-16-013672-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000155837017000902/0001558370-17-000902-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000155837018001172/0001558370-18-001172-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000155837019001212/0001558370-19-001212-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000155837020001500/0001558370-20-001500-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000155837021001668/0001558370-21-001668-index.htm,https://www.sec.gov/Archives/edgar/data/1466301/000155837022001810/0001558370-22-001810-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,10508000,138236000,144097000,323228000,482677000,278756000,216186000,464198000,221876000,161833000,240229000,143428000
32,Short-Term Investments,11791000,2012000,- -,- -,- -,249832000,49997000,99533000,298270000,134826000,- -,- -
33,Cash and Short-Term Investments,22299000,140248000,144097000,323228000,482677000,528588000,266183000,563731000,520146000,296659000,240229000,143428000
34,Net Receivables,- -,- -,- -,3871000,2222000,5283000,3367000,8213000,15163000,34658000,30597000,33674000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,27508000,27072000,26519000,30714000,13688000
36,Other Current Assets,2922000,1267000,775000,1497000,6273000,5830000,9860000,27488000,9918000,8632000,9289000,7297000
37,Total Current Assets,25221000,141515000,144872000,328596000,491172000,539701000,279410000,626940000,572299000,366468000,310829000,198087000
38,PP&E,951000,1896000,1084000,955000,2718000,4946000,4440000,4007000,26524000,43428000,42523000,25663000
39,Goodwill,- -,- -,- -,74811000,66055000,59327000,57192000,65217000,63074000,63074000,63074000,63074000
40,Intangible Assets,- -,- -,- -,244518000,212900000,101500000,21047000,19561000,51930000,62920000,65743000,60371000
41,Intangible Assets,- -,- -,- -,319329000,278955000,160827000,78239000,84778000,115004000,125994000,128817000,123445000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,28000,34000,38000,755000,13361000,7912000,2468000,19505000,149733000,133714000,123385000,125638000
45,Total Non-Current Assets,979000,1930000,1122000,321039000,295034000,173685000,85147000,108290000,291261000,303136000,294725000,274746000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,26200000,143445000,145994000,649635000,786206000,713386000,364557000,735230000,863560000,669604000,605554000,472833000
48,Accounts Payable,1400000,3036000,2297000,4420000,2917000,11260000,10912000,15147000,28517000,32237000,26692000,27308000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1031000,5405000,69528000,11914000
50,Tax Payable,- -,- -,- -,- -,411000,- -,- -,- -,847000,3505000,907000,1579000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
