,https://roic.ai/company/GASS,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,1455551,36644591,73259369,89995123,112551901,113045961,111409623,118280752,119213071,121481565,131972892,141315881,144132183,154311921,164330202,144259312,145003021
2,COGS,337180,2688155,9435830,32366297,39472131,49790509,54734449,57830864,74139808,84748107,94120939,109987535,120977307,121111460,132148452,111633642,108768251
3,Gross Profit,1118371,33956436,63823539,57628826,73079770,63255452,56675174,60449888,45073263,36733458,37851953,31328346,23154876,33200461,32181750,32625670,36234770
4,Gross Profit Ratio,0.7683,0.9266,0.8712,0.6404,0.6493,0.5596,0.5087,0.5111,0.3781,0.3024,0.2868,0.2217,0.1607,0.2152,0.1958,0.2262,0.2499
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,116220,2252619,3457688,5024912,9390640,24542769,7987546,- -,7154479,7623407,8652604,10107461,10456589,10104448,10074157,9437230,7900659
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",116220,2252619,3457688,5024912,9390640,24542769,7987546,7407283,7154479,7623407,8652604,10107461,10456589,10104448,10074157,9437230,7900659
9,Other Expenses,738270,15110902,37844664,51792607,21610072,27558331,25663402,33216298,- -,- -,- -,- -,- -,1058863,-549804,- -,- -
10,Operating Expenses,854490,17363521,41302352,56817519,31000712,52101100,33650948,40623581,7154479,7623407,8652604,10107461,10456589,11163311,9524353,9437230,7900659
11,COGS and Expenses,1191670,20051676,50738182,89183816,70472843,101891609,88385397,98454445,81294287,92371514,102773543,120094996,131433896,132274771,141672805,121070872,116668910
12,Interest Income ,46,780434,735090,1888070,743193,250326,315517,83059,221023,361820,456924,173083,454472,322868,587477,846271,167794
13,Interest Expense (Gain),- -,- -,- -,9831404,9962504,9109222,7672848,8510516,9408230,8189475,9314539,10385261,14268148,16661464,23286547,20978065,14129893
14,Depreciation and Amortization,174086,5653286,13104396,16621400,23388379,26969442,27132784,27562120,28776688,30761673,33811607,35857507,39096589,38921672,41258142,39266676,37928225
15,EBITDA,433761,20189337,31596905,48990911,63338367,22766779,45898823,44622427,67143405,60168341,55811972,48809446,45566437,54364899,52268169,62337865,64042603
16,EBITDA ratio,0.2980,0.5509,0.4313,0.5444,0.5627,0.2014,0.4120,0.3773,0.5632,0.4953,0.4229,0.3454,0.3161,0.3523,0.3181,0.4321,0.4417
17,Operating Income,263881,16525915,25743213,33177604,42079058,1286575,23024226,19826307,39291193,29110051,23030602,13015149,7081628,15498563,10541651,21709008,23341950
18,Operating Income ratio,0.1813,0.4510,0.3514,0.3687,0.3739,0.0114,0.2067,0.1676,0.3296,0.2396,0.1745,0.0921,0.0491,0.1004,0.0641,0.1505,0.1610
19,Total Other Income Expenses (Gains),-4252,-2837298,-7985794,-2696163,-2872263,-15607341,-4573704,-2849059,-10332706,-7892858,-10344776,-10448471,-14879928,-16716800,-22818171,-20102579,-14067449
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,28958487,21217193,12685826,2566678,-7798300,-1218237,-12276520,1606429,9274501
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.2429,0.1747,0.0961,0.0182,-0.0541,-0.0079,-0.0747,0.0111,0.0640
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,259675,14536051,18492509,22538107,29987484,-13311885,11093191,8549791,28958487,21217193,12685826,2566678,-7798300,-1218237,-12276520,2093124,11984485
24,Net Income ratio,0.1784,0.3967,0.2524,0.2504,0.2664,-0.1178,0.0996,0.0723,0.2429,0.1747,0.0961,0.0182,-0.0541,-0.0079,-0.0747,0.0145,0.0826
25,EPS,0.04,1.84,1.31,1.26,1.36,-0.60,0.51,0.41,1.41,0.75,0.32,0.06,-0.20,-0.03,-0.31,0.05,0.31
26,EPS Diluted,0.04,1.84,1.31,1.26,1.35,-0.60,0.51,0.41,1.41,0.75,0.32,0.06,-0.20,-0.03,-0.31,0.05,0.31
27,Weighted Average Shares Outstanding,6000000,7906849,14161096,17900576,22130542,22219442,21539331,20909154,20552568,28271746,39305644,41315127,39824038,39809364,39860563,39800434,38357893
28,Weighted Average Shares Outstanding Diluted,6000000,7906849,14161096,17943346,22182118,22219442,21539331,20909154,20552568,28271746,39305644,41315127,39824038,39809364,39860563,39800434,38357893
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1328919/000095013607003965/file1.htm,https://www.sec.gov/Archives/edgar/data/1328919/000095013608003037/file1.htm,https://www.sec.gov/Archives/edgar/data/1328919/000095012309014975/y01549e20vf.htm,https://www.sec.gov/Archives/edgar/data/1328919/000095012310062346/y03665e20vf.htm,https://www.sec.gov/Archives/edgar/data/1328919/000095012311063026/y04979e20vf.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312512196355/d341903d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312513160948/d521045d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312514167555/d716179d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312515160100/d914318d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312516551638/d170255d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312517135817/d542703d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312518137687/d568552d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312519116747/d695176d20f.htm,https://www.sec.gov/Archives/edgar/data/1328919/000119312520127769/d906584d20f.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,23210243,11146871,33114872,41848059,44076339,29797095,43539303,42273000,86218517,129114803,100062957,64993923,51754131,64498442,68465342,38242411
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,23210243,11146871,33114872,41848059,44076339,29797095,43539303,42273000,86218517,129114803,100062957,64993923,51754131,64498442,68465342,38242411
34,Net Receivables,1095182,13330,1386567,2395345,2932744,2179410,2810403,2062061,3062119,4968101,3386312,4856764,4033630,3869943,2888496,4531318,3723311
35,Inventory,116291,399624,746874,836365,1254142,2146919,1840092,2416108,3152407,2461093,2958666,2916254,2809123,2762299,2346723,2447703,3687098
36,Other Current Assets,9130,2393051,4611426,33150759,6423573,20629085,10679957,8504271,7775881,4237346,4282680,15536394,4641369,4452352,69132778,2488076,2400704
37,Total Current Assets,1220603,26016248,17891738,69497341,52458518,69031753,45127547,56521743,56263407,97885057,139742461,123372369,76478045,62838725,138866439,77932439,48053524
38,PP&E,29385182,229763864,297950257,395095322,551771040,618417696,640338210,636180784,634634671,677022902,711352845,864689888,863699739,862061906,884748691,835625535,838874174
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25250173,43177657
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1905282,1198656,3763326,13000663,30117565,5047561,2910642,3007624,22140953,76076784,94784497,49811913,61764560,71325560,13107358,15380784,13900952
45,Total Non-Current Assets,31290464,230962520,301713583,408095985,581888605,623465257,643248852,639188408,656775624,753099686,806137342,914501801,925464299,933387466,897856049,876256492,895952783
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,32511067,256978768,319605321,477593326,634347123,692497010,688376399,695710151,713039031,850984743,945879803,1037874170,1001942344,996226191,1036722488,954188931,944006307
48,Accounts Payable,410398,984997,2049456,3406421,3256175,4223548,4761389,6453807,5927526,7973097,8843593,8328878,8728267,10509465,10349358,9032690,9974751
49,Short-Term Debt,- -,12627000,16149600,18219156,24380554,36166988,34831548,33958710,35787544,41263165,42614213,74928451,54593715,41966607,71803193,41208688,40547892
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,3972370,4776359,3643963,3039630,3064186,3409671,4735350,6892328,5367350,4854212,6182756,6527654,3811994,3963657
52,Other Current Liabilities,762538,7113444,10429942,11774719,8361843,24988956,17636466,12624152,10683973,9098632,9428291,15089447,13190412,20090103,14810130,13082767,8574807
53,Total Current Liabilities,1172936,20725441,28628998,37372666,40774931,69023455,60269033,56100855,55808714,63070244,67778425,103714126,81366606,78748931,103490335,67136139,63061107
54,Long-Term Debt,- -,85079000,124798640,127539373,259313319,309655082,310254401,317109471,309564768,311605457,282889640,347234103,343291874,342941841,371514253,325247902,311249321
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,948169,3193584,2943737,930122,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,67000,2375455,9650499,16411548,13016542,11602213,9401798,5632107,3714599,1873295,681197,364823,126525,465389,2618250,5099464
58,Total Non-Current Liabilities,- -,85146000,127174095,137189872,275724867,322671624,321856614,326511269,315196875,315320056,285711104,351108884,346600434,343998488,371979642,327866152,316348785
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,3500000,- -,4554270,- -,791823,- -,- -,- -,- -,- -,- -,- -,473132,- -
61,Total Liabilities,1172936,105871441,155803093,174562538,316499798,391695079,382125647,382612124,371005589,378390300,353489529,454823010,427967040,422747419,475469977,395002291,379409892
62,Preferred Stock,- -,- -,- -,- -,- -,- -,211042,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,60000,140000,144000,222841,223101,223101,- -,205526,275998437,385410094,500304912,501444996,501785373,501914618,502252974,502864618,499995923
64,Retained Earnings,259675,5084206,12826845,21650412,34910189,17415158,28508349,37058140,66016627,87233820,99919646,102486324,94688024,93469787,80849086,82942210,94926695
65,Other Comprehensive Income/Loss,-174086,-5876400,223762,-455332,-812206,-936424,-454909,72718,18378,-49471,-293020,-393288,25435,617895,673979,-2259043,-4952823
66,Other Total Stockholders Equity,31192542,151759521,150607621,281612867,283526241,284100096,376693567,275761643,- -,- -,-7541264,-20486872,-22523528,-22523528,-22523528,-24361145,-25373380
67,Total Stockholders Equity,31338131,151107327,163802228,303030788,317847325,300801931,306250752,313098027,342033442,472594443,592390274,583051160,573975304,573478772,561252511,559186640,564596415
68,Total Liabilities And Stockholders Equity,32511067,256978768,319605321,477593326,634347123,692497010,688376399,695710151,713039031,850984743,945879803,1037874170,1001942344,996226191,1036722488,954188931,944006307
