,https://roic.ai/company/ALEX,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,1397000000,1646000000,1722000000,296700000,365200000,560000000,570500000,387500000,425500000,644400000,435200000,305300000,379300000
2,COGS,1206000000,1379000000,1454000000,223400000,279500000,442500000,476200000,268500000,302000000,382400000,340900000,233500000,- -
3,Gross Profit,191000000,267000000,268000000,73300000,85700000,117500000,94300000,119000000,123500000,262000000,94300000,71800000,- -
4,Gross Profit Ratio,0.1367,0.1622,0.1556,0.2471,0.2347,0.2098,0.1653,0.3071,0.2902,0.4066,0.2167,0.2352,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,154000000,158000000,154000000,37700000,41200000,52900000,55300000,56200000,66400000,- -,62000000,46100000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",154000000,158000000,154000000,37700000,41200000,52900000,55300000,56200000,66400000,- -,62000000,46100000,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,9500000,15200000,61200000,- -,- -,- -
10,Operating Expenses,154000000,158000000,154000000,37700000,41200000,52900000,55300000,65700000,81600000,61200000,62000000,46100000,- -
11,COGS and Expenses,1360000000,1537000000,1608000000,261100000,320700000,495400000,531500000,334200000,383600000,443600000,402900000,279600000,- -
12,Interest Income ,- -,2000000,- -,100000,2700000,6100000,1200000,2500000,5300000,1500000,3000000,1700000,- -
13,Interest Expense (Gain),25000000,26000000,25000000,14900000,19100000,29000000,26800000,26300000,25600000,35300000,33100000,30300000,26300000
14,Depreciation and Amortization,105000000,107000000,109000000,35100000,41700000,55000000,55700000,119500000,41400000,42800000,50500000,53300000,50400000
15,EBITDA,180000000,263000000,200000000,69300000,106200000,144000000,128600000,138200000,77100000,22400000,45200000,88800000,112100000
16,EBITDA ratio,0.1288,0.1598,0.1161,0.2336,0.2908,0.2571,0.2254,0.3566,0.1812,0.0348,0.1039,0.2909,0.2955
17,Operating Income,37000000,109000000,114000000,40400000,39900000,64600000,39000000,41600000,19500000,172800000,-14300000,29700000,50200000
18,Operating Income ratio,0.0265,0.0662,0.0662,0.1362,0.1093,0.1154,0.0684,0.1074,0.0458,0.2682,-0.0329,0.0973,0.1323
19,Total Other Income Expenses (Gains),-22000000,-12000000,-27000000,-23900000,-16300000,-35800000,8600000,-6300000,-9600000,-225700000,-24600000,-24100000,-14400000
20,Income Before Tax,15000000,97000000,87000000,16500000,23600000,28800000,47600000,35300000,9900000,-52900000,-38900000,5600000,35800000
21,Income Before Tax Ratio,0.0107,0.0589,0.0505,0.0556,0.0646,0.0514,0.0834,0.0911,0.0233,-0.0821,-0.0894,0.0183,0.0944
22,Income Tax expense (Gain),6000000,38000000,32000000,-1200000,8500000,-1400000,16500000,2600000,-218200000,16300000,-2000000,-400000,- -
23,Net Income,44000000,92000000,34000000,20500000,36900000,61400000,29600000,-10200000,228300000,-72000000,-36400000,5600000,35400000
24,Net Income ratio,0.0315,0.0559,0.0197,0.0691,0.1010,0.1096,0.0519,-0.0263,0.5365,-0.1117,-0.0836,0.0183,0.0933
25,EPS,1.08,2.23,0.82,0.48,0.83,1.26,0.54,-0.18,4.68,-1.02,-0.51,0.08,0.49
26,EPS Diluted,1.08,2.22,0.81,0.48,0.82,1.25,0.54,-0.18,4.34,-1.02,-0.51,0.08,0.49
27,Weighted Average Shares Outstanding,41000000,41200000,41600000,42600000,44400000,48700000,48900000,49000000,49200000,70600000,72200000,72300000,72300000
28,Weighted Average Shares Outstanding Diluted,41100000,41500000,42000000,42900000,45100000,49300000,49300000,49400000,53000000,70600000,72200000,72400000,72400000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1545654/000154565413000010/0001545654-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565414000013/0001545654-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565415000005/0001545654-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565416000058/0001545654-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565417000003/0001545654-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565418000014/0001545654-18-000014-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1545654/000154565420000007/0001545654-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565421000006/0001545654-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1545654/000154565422000008/0001545654-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,16000000,14000000,22000000,1100000,3300000,2800000,1300000,2200000,68900000,11400000,15200000,57200000,70000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,16000000,14000000,22000000,1100000,3300000,2800000,1300000,2200000,68900000,11400000,15200000,57200000,70000000
34,Net Receivables,172000000,165000000,173000000,8200000,59300000,64800000,80400000,72200000,95200000,95800000,89400000,57700000,40500000
35,Inventory,43000000,35000000,40000000,23500000,68100000,81900000,55900000,43300000,31900000,26500000,20700000,18400000,20300000
36,Other Current Assets,76000000,50000000,40000000,30600000,40700000,26400000,14900000,20600000,113100000,270500000,97300000,95800000,103600000
37,Total Current Assets,307000000,264000000,275000000,63400000,171400000,175900000,152500000,138300000,309100000,404200000,222600000,229100000,234400000
38,PP&E,1624000000,1773000000,1634000000,838700000,1522800000,1301700000,1452900000,1231600000,1147500000,- -,146200000,129400000,103600000
39,Goodwill,- -,- -,- -,- -,99600000,102300000,102300000,102300000,102300000,65100000,15400000,10500000,8700000
40,Intangible Assets,- -,- -,- -,- -,74100000,63900000,54400000,53800000,46900000,68400000,74900000,61900000,51600000
41,Intangible Assets,- -,- -,- -,- -,173700000,166200000,156700000,156100000,149200000,133500000,90300000,72400000,60300000
42,Investments,242000000,329000000,347000000,319900000,341400000,418600000,416400000,390800000,401700000,171400000,133400000,134100000,8800000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,16500000,- -,- -,- -,- -
44,Other Non-Current Assets,207000000,129000000,288000000,215300000,75900000,267500000,65000000,239500000,207200000,1516100000,1491800000,1471000000,1472700000
45,Total Non-Current Assets,2073000000,2231000000,2269000000,1373900000,2113800000,2154000000,2091000000,2018000000,1922100000,1821000000,1861700000,1806900000,1645400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2380000000,2495000000,2544000000,1437300000,2285200000,2329900000,2243500000,2156300000,2231200000,2225200000,2084300000,2036000000,1879800000
48,Accounts Payable,132000000,137000000,156000000,26200000,32600000,37600000,35500000,35200000,43300000,34200000,17800000,9800000,9900000
49,Short-Term Debt,65000000,136000000,52000000,15500000,105200000,74500000,90400000,42400000,46000000,39000000,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,22200000,20100000,2700000,21100000,6600000,5900000,7900000,66000000,68500000
