,https://roic.ai/company/CMCM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,140054000,287927000,749911000,1763579000,3684429000,4564650000,4974757000,4981705000,3587695000,1552645000
2,COGS,53737000,71560000,140526000,403412000,935154000,1543817000,1780089000,1540633000,1241932000,475378000
3,Gross Profit,86317000,216367000,609385000,1360167000,2749275000,3020833000,3194668000,3441072000,2345763000,1077267000
4,Gross Profit Ratio,0.6163,0.7515,0.8126,0.7713,0.7462,0.6618,0.6422,0.6907,0.6538,0.6938
5,Research and Development Exp.,79105000,114329000,217846000,436840000,687235000,905854000,684863000,668918000,787329000,455179000
6,General and Administrative Exp.,15301000,34408000,97817000,260047000,423248000,561834000,407410000,430826000,587457000,380533000
7,Selling and Marketing Exp.,28810000,57167000,201504000,580610000,1479441000,1650581000,1656505000,1910044000,1558315000,766986000
8,"Selling, General and Administrative Exp.",44111000,91575000,299321000,840657000,1902689000,2212415000,2063915000,2340870000,2145772000,1147519000
9,Other Expenses,- -,- -,- -,- -,-97468000,-87877000,-39852000,-48705000,-22091000,5684000
10,Operating Expenses,123216000,205904000,517167000,1277497000,2492456000,3030392000,2708926000,2961083000,2911010000,1608382000
11,COGS and Expenses,176953000,277464000,657693000,1680909000,3427610000,4574209000,4489015000,4501716000,4152942000,2083760000
12,Interest Income ,3475000,3263000,7077000,28216000,14545000,7783000,22603000,87716000,110010000,35655000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,15037000,10855000,25880000,78750000,146157000,163358000,136301000,80107000,65468000,68546000
15,EBITDA,-17795000,25614000,136568000,170684000,382850000,70644000,1542097000,1364016000,-270470000,582368000
16,EBITDA ratio,-0.1271,0.0890,0.1821,0.0968,0.1039,0.0155,0.3100,0.2738,-0.0754,0.3751
17,Operating Income,-36899000,10463000,92218000,82670000,206937000,-12448000,446880000,467222000,-1110912000,-531115000
18,Operating Income ratio,-0.2635,0.0363,0.1230,0.0469,0.0562,-0.0027,0.0898,0.0938,-0.3096,-0.3421
19,Total Other Income Expenses (Gains),4067000,4296000,18470000,8234000,24438000,-56448000,986385000,802501000,745225000,1039362000
20,Income Before Tax,-32832000,14759000,110688000,90904000,231375000,-68896000,1433265000,1269723000,-365687000,508247000
21,Income Before Tax Ratio,-0.2344,0.0513,0.1476,0.0515,0.0628,-0.0151,0.2881,0.2549,-0.1019,0.3273
22,Income Tax expense (Gain),-2597000,4915000,48670000,23993000,60097000,-12189000,57602000,117000000,7904000,97090000
23,Net Income,-30235000,9844000,62018000,67941000,176596000,-80525000,1348194000,1166909000,-343842000,416732000
24,Net Income ratio,-0.2159,0.0342,0.0827,0.0385,0.0479,-0.0176,0.2710,0.2342,-0.0958,0.2684
25,EPS,-0.28,0.10,0.57,0.50,1.30,-0.60,9.60,8.00,-2.50,3.10
26,EPS Diluted,-0.28,0.08,0.54,0.50,1.20,-0.60,9.40,7.80,-2.50,3.00
27,Weighted Average Shares Outstanding,109361557,94422459,109361557,121050102,137286332,138725455,139430333,140308961,136904142,139944596
28,Weighted Average Shares Outstanding Diluted,113598295,120893799,113598295,134173246,142681094,138725455,142515484,144041485,136904142,139944596
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1597835/000110465916113518/a16-2530_120f.htm,https://www.sec.gov/Archives/edgar/data/1597835/000110465917026157/a16-23153_120f.htm,https://www.sec.gov/Archives/edgar/data/1597835/000119312518128749/d472022d20f.htm,https://www.sec.gov/Archives/edgar/data/1597835/000119312519122322/d654805d20f.htm,https://www.sec.gov/Archives/edgar/data/1597835/000119312520143414/0001193125-20-143414-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,134376000,530536000,1093285000,1809288000,1411000000,2317488000,2783843000,983004000,1299658000
32,Short-Term Investments,- -,40376000,55780000,513621000,29234000,361499000,1395694000,930610000,1369118000,360803000
33,Cash and Short-Term Investments,- -,174752000,586316000,1606906000,1838522000,1772499000,3713182000,3714453000,2352122000,1660461000
34,Net Receivables,- -,75765000,154636000,400721000,820840000,935909000,1321315000,1577209000,1403488000,1103440000
35,Inventory,- -,- -,- -,3494000,- -,- -,26761000,12212000,31287000,24062000
36,Other Current Assets,- -,9324000,23610000,82424000,382224000,463838000,335640000,263677000,206503000,158898000
37,Total Current Assets,- -,259841000,764562000,2093545000,3041586000,3172246000,5396898000,5567551000,3993400000,2946861000
38,PP&E,- -,15461000,31326000,45905000,119329000,117439000,89137000,63919000,286960000,119713000
39,Goodwill,- -,13384000,52819000,261686000,613220000,943922000,634157000,617837000,- -,- -
40,Intangible Assets,- -,21017000,32850000,199616000,232029000,227251000,70225000,48421000,44476000,12575000
41,Intangible Assets,- -,34401000,85669000,461302000,845249000,1171173000,704382000,666258000,44476000,12575000
42,Investments,- -,- -,12054000,338842000,898220000,977157000,1152690000,1849043000,2516724000,2409726000
43,Tax Assets,- -,6301000,7178000,6384000,12843000,74809000,57642000,88896000,31951000,15607000
44,Other Non-Current Assets,- -,991000,8804000,55197000,25422000,28310000,48182000,56969000,138233000,109001000
45,Total Non-Current Assets,- -,57154000,145031000,907630000,1901063000,2368888000,2052033000,2725085000,3018344000,2666622000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,316995000,909593000,3001175000,4942649000,5541134000,7448931000,8292636000,7011744000,5613483000
48,Accounts Payable,- -,10952000,23439000,61793000,136997000,194882000,164537000,171055000,87524000,105832000
49,Short-Term Debt,- -,- -,- -,- -,130273000,379544000,336304000,- -,58503000,6876000
