,https://roic.ai/company/FSM,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,31977179,21642564,51428000,74056000,110104000,161020000,137394000,174006000,154729000,210255000,268111000,263296000,257187000,278966000,599853000
2,COGS,- -,- -,- -,- -,- -,- -,18627689,18248973,23699000,29129000,49130000,90358000,95619000,113753000,111081000,129649000,158551000,166725000,172606000,168745000,394376000
3,Gross Profit,- -,- -,- -,- -,- -,- -,13349490,3393591,27729000,44927000,60974000,70662000,41775000,60253000,43648000,80606000,109560000,96571000,84581000,110221000,205477000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.4175,0.1568,0.5392,0.6067,0.5538,0.4388,0.3041,0.3463,0.2821,0.3834,0.4086,0.3668,0.3289,0.3951,0.3425
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,7975349,12201000,14373000,- -,19646000,18800000,24428000,17434000,31117000,24911000,26189000,29805000,35086000,45360000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,13229324,7975349,12201000,14373000,- -,19646000,18800000,24428000,17434000,31117000,24911000,26189000,29805000,35086000,45360000
9,Other Expenses,46039,31584,- -,- -,- -,- -,12118,- -,64000,- -,21074000,2243000,1939000,1540000,978000,839000,1262000,2258000,2695000,1639000,1671000
10,Operating Expenses,46039,31584,- -,- -,- -,- -,13241442,7975349,12265000,14373000,21074000,21889000,20739000,25968000,18412000,31956000,26173000,28447000,32500000,36725000,47031000
11,COGS and Expenses,46039,31584,67398,94623,682097,- -,31869131,26224322,35964000,43502000,70204000,112247000,116358000,139721000,129493000,161605000,184724000,195172000,205106000,205470000,441407000
12,Interest Income ,- -,- -,- -,- -,- -,- -,1543977,1184881,433000,- -,830000,620000,591000,281000,381000,328000,1950000,3429000,1838000,1217000,1846000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,84634,160000,544000,560000,30000,21000,5000,1258000,2147000,1674000,1092000,857000,1510000,14045000
14,Depreciation and Amortization,- -,- -,- -,- -,2617,- -,5695244,- -,64000,- -,- -,895000,983000,797000,429000,- -,- -,- -,- -,- -,122272000
15,EBITDA,-46039,-31584,-67398,-94623,-913100,- -,7181662,770748,6716000,27519000,38895000,46151000,-8966000,33681000,-1530000,49257000,106625000,68432000,44828000,60465000,241975000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,0.2246,0.0356,0.1306,0.3716,0.3533,0.2866,-0.0653,0.1936,-0.0099,0.2343,0.3977,0.2599,0.1743,0.2167,0.4034
17,Operating Income,-46039,-31584,-67398,-94623,-682097,- -,108048,-4868529,14383000,30111000,38065000,45168000,-9629000,33750000,-1840000,48541000,110327000,61586000,34194000,57238000,158446000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,0.0034,-0.2250,0.2797,0.4066,0.3457,0.2805,-0.0701,0.1940,-0.0119,0.2309,0.4115,0.2339,0.1330,0.2052,0.2641
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,233621,- -,1285469,5465900,-8071000,-3136000,270000,58000,-341000,-871000,-1377000,-1431000,-5376000,5754000,9777000,1717000,-51266000
