,https://roic.ai/company/TU,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4842700000,5761800000,6433200360,7202599491,7006700000,7146000000,7581200000,8142700000,8681000000,9074400000,9653000000,9606000000,9779000000,10325000000,10852000000,11336000000,11927000000,12430000000,12725000000,13202000000,14095000000,14589000000,15341000000,16838000000
2,COGS,3451600000,3544900000,3968399820,4673000637,4488100000,4301900000,2407200000,2652900000,2742000000,3048500000,3235000000,3278000000,3380000000,4726000000,4820000000,4962000000,5299000000,5532000000,5631000000,5935000000,6368000000,6070000000,6268000000,6699000000
3,Gross Profit,1391100000,2216900000,2464800540,2529598854,2518600000,2844100000,5174000000,5489800000,5939000000,6025900000,6418000000,6328000000,6399000000,5599000000,6032000000,6374000000,6628000000,6898000000,7094000000,7267000000,7727000000,8519000000,9073000000,10139000000
4,Gross Profit Ratio,0.2873,0.3848,0.3831,0.3512,0.3595,0.3980,0.6825,0.6742,0.6841,0.6641,0.6649,0.6588,0.6544,0.5423,0.5558,0.5623,0.5557,0.5549,0.5575,0.5504,0.5482,0.5839,0.5914,0.6021
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1893000000,2129000000,2424000000,2487000000,2708000000,2939000000,2595000000,2896000000,3034000000,3701000000,4269000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1893000000,2129000000,2424000000,2487000000,2708000000,2939000000,2595000000,2896000000,3034000000,3701000000,4269000000
9,Other Expenses,1021800000,1062100000,1212200060,1494199300,1570300000,1652800000,3673900000,3764300000,3856500000,4031200000,4293000000,4369000000,4417000000,1738000000,1812000000,1756000000,1787000000,1873000000,2023000000,2150000000,2265000000,2577000000,3016000000,3208000000
