,https://roic.ai/company/JHG,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,425234003,529974534,779765287,904115022,498923660,592306324,754259785,1065240343,1053473603,953448873,1013572407,1120016593,910549044,1818300000,2306400000,2192400000,2298600000,2767000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,644785960,551094108,569356245,632898265,517458359,- -,- -,- -,788700000,874300000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,408687642,402354765,444216162,487118328,393090685,- -,- -,- -,1509900000,1892700000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.3879,0.4220,0.4383,0.4349,0.4317,- -,- -,- -,0.6569,0.6840
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,364815099,18411453,16849200,17253347,5418308,14391281,12810223,13973419,85809861,62661808,70352385,72001067,64157927,1141400000,1361200000,1355600000,305200000,323400000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000000,37000000,31000000,484000000,583300000
8,"Selling, General and Administrative Exp.",364815099,18411453,16849200,17253347,5418308,14391281,12810223,13973419,85809861,62661808,70352385,72001067,64157927,1172400000,1398200000,1386600000,789200000,906700000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,171781322,167208087,178215664,183854576,161752005,-565100000,-543200000,-521900000,49200000,40700000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,257591183,229869894,248568049,255855642,225909932,607300000,855000000,864700000,838400000,947400000
11,COGS and Expenses,417945374,427765159,603436453,628854735,487940604,498520447,613192987,934045460,902377143,780964002,817924293,888753907,743368291,1376000000,1656600000,1651500000,1627100000,1821700000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,3070409,11378065,8249284,8592720,7649599,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,1032418,- -,15865146,- -,- -,- -,- -,21977667,18633643,17588096,16740989,3331277,11900000,15700000,15100000,12900000,12800000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,89041871,91354320,93699415,92149513,70697101,52800000,69800000,62600000,49200000,40700000
15,EBITDA,-414109253,108920091,141454909,307585523,-25041370,23931569,118841832,20339088,266156009,316442129,527175943,357634928,245774213,509200000,771500000,643100000,283200000,881300000
16,EBITDA ratio,-0.9738,0.2055,0.1814,0.3402,-0.0502,0.0404,0.1576,0.0191,0.2526,0.3319,0.5201,0.3193,0.2699,0.2800,0.3345,0.2933,0.1232,0.3185
17,Operating Income,7288630,98767981,161047001,291918691,-24894929,25063467,118070132,20183828,151096459,172484870,195648114,231262685,167180753,442300000,649800000,540900000,157800000,823400000
18,Operating Income ratio,0.0171,0.1864,0.2065,0.3229,-0.0499,0.0423,0.1565,0.0189,0.1434,0.1809,0.1930,0.2065,0.1836,0.2432,0.2817,0.2467,0.0687,0.2976
19,Total Other Income Expenses (Gains),- -,- -,-15281832,- -,- -,- -,- -,- -,4363213,4452286,15409040,17481740,4565083,5100000,12000000,42600000,84300000,-3200000
20,Income Before Tax,7288630,98767981,145765169,291918691,-24894929,25063467,118070132,20183828,155459673,176937157,211057154,248744426,171745836,447400000,661800000,583500000,242100000,820200000
21,Income Before Tax Ratio,0.0171,0.1864,0.1869,0.3229,-0.0499,0.0423,0.1565,0.0189,0.1476,0.1856,0.2082,0.2221,0.1886,0.2461,0.2869,0.2661,0.1053,0.2964
22,Income Tax expense (Gain),8055854,19788010,21747223,29747149,5564749,1616998,-1389060,-32449385,-5979218,164899,13541278,9926073,36520666,-211000000,162200000,137800000,59500000,205700000
23,Net Income,-422165107,88099663,119707686,261973228,-30606118,22314571,120230893,52788473,161115690,206289267,402347155,238818353,135225170,655500000,523800000,427600000,161600000,622100000
24,Net Income ratio,-0.9928,0.1662,0.1535,0.2898,-0.0613,0.0377,0.1594,0.0496,0.1529,0.2164,0.3970,0.2132,0.1485,0.3605,0.2271,0.1950,0.0703,0.2248
25,EPS,-3.18,0.60,0.74,3.25,-0.47,0.29,1.53,0.56,1.55,1.95,3.70,2.18,1.23,3.97,2.62,2.21,0.87,3.60
26,EPS Diluted,-3.18,0.60,0.72,3.09,-0.47,0.27,1.42,0.53,1.49,1.81,3.53,2.09,1.21,3.93,2.61,2.21,0.87,3.59
27,Weighted Average Shares Outstanding,264560000,164120000,108520000,80460000,66060000,75930000,78840000,95410000,103400000,105880000,108520000,109310000,109110000,160700000,195000000,188000000,179400000,167900000
28,Weighted Average Shares Outstanding Diluted,264560000,164120000,110260000,84750000,66060000,80940000,84920000,101270000,108200000,113700000,113980000,114300000,111540000,162300000,195900000,188600000,179900000,168500000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1274173/000104746918001112/0001047469-18-001112-index.html,https://www.sec.gov/Archives/edgar/data/1274173/000155837019001101/0001558370-19-001101-index.html,https://www.sec.gov/Archives/edgar/data/1274173/000155837020001487/0001558370-20-001487-index.html,https://www.sec.gov/Archives/edgar/data/1274173/000155837021001617/0001558370-21-001617-index.htm,https://www.sec.gov/Archives/edgar/data/1274173/000155837022002009/0001558370-22-002009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,561224490,838839562,605591583,491819534,222736392,192422748,272564514,425257732,318191367,356842504,364991906,565341709,301048735,794200000,916600000,796500000,1108100000,1107300000
32,Short-Term Investments,- -,- -,- -,202875558,111734298,68884110,73774540,100608620,95505890,95971505,166386502,311560171,318322023,700100000,574500000,1178300000,482700000,451400000
33,Cash and Short-Term Investments,561224490,838839562,605591583,694695092,334470690,261306858,346339054,525866352,413697258,452814010,531378409,876901880,619370759,1494300000,1491100000,1974800000,1590800000,1558700000
34,Net Receivables,189887985,186007296,336396230,210609817,185686880,284915027,292628720,385355856,236906320,361459690,433009588,346079201,325724861,659500000,453600000,466500000,490400000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,61170592297,85002409,10579730,16261775,5711190,6467992,11266823,11333996,133643606,174463664,131988544,0,13942011,88800000,74400000,139500000,112500000,- -
37,Total Current Assets,61921704772,1109849267,952567544,921566683,525868760,552689876,650234597,922556204,784247184,988737365,1096376541,1222981081,959037631,2242600000,2019100000,2580800000,2193700000,1558700000
38,PP&E,25318398,14281781,12930781,11303917,33095611,37190951,32720089,30586263,29088088,28032914,23502677,21333649,17149907,70600000,69500000,84700000,77900000,63300000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,833212133,796134756,815122650,824752959,701665638,1533900000,1478000000,1504300000,1383900000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,326594593,255759115,240007471,183558275,108821715,3204800000,3123300000,3088600000,2686300000,- -
41,Intangible Assets,477597054,385952233,439450638,444819038,331102552,592144624,532473145,1187895914,1159806726,1051893871,1055130121,1008311234,810487353,4738700000,4601300000,4592900000,4070200000,3917000000
42,Investments,72502685,4301741,5681707,7535944,9665090,10348786,10495123,5744628,13574441,9069472,115801270,4296360,246761,- -,- -,- -,- -,- -
43,Tax Assets,4219733,22024916,25861562,13683689,7907801,24901767,46765033,70332878,65124998,64805501,56032873,55556379,27143738,752600000,729900000,729100000,- -,- -
44,Other Non-Current Assets,42005524,166391355,219823279,152305404,248217084,216030917,263612792,407247547,354713078,233167884,201407048,192743596,180012338,-531800000,-507900000,-365800000,349000000,1196700000
45,Total Non-Current Assets,621643394,592952027,703747967,629647992,629988138,880617046,886066181,1701807229,1622307332,1386969642,1451873988,1282241218,1035040099,5030100000,4892800000,5040900000,4497100000,5177000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,62543348166,1702801294,1656315511,1551214675,1155856898,1433306922,1536300778,2624363433,2406554516,2375707007,2548250529,2505222300,1994077730,7272700000,6911900000,7621700000,6690800000,6735700000
48,Accounts Payable,145005371,167595843,162026606,92216163,119349217,117232346,110507470,130108061,470095829,556865590,491844104,431561949,394077730,- -,- -,- -,3200000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,222643150,- -,- -,- -,222077364,- -,57200000,- -,25700000,27300000,- -
50,Tax Payable,37018567,47835364,68572324,81507189,35585104,36382452,24231387,20028568,23593672,18138944,35798780,30370820,19000617,33700000,28000000,12600000,19800000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,55139628,86893444,132592225,136714016,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,381502225,314543327,502341255,439861180,212339098,292676617,298647981,392963607,39592120,28032914,40623833,176447058,160271437,947900000,728400000,744000000,697300000,- -
53,Total Current Liabilities,526507596,482139170,664367861,532077343,331688315,465048591,496048895,878307043,646401965,584898504,532467937,830086372,554349167,1005100000,728400000,769700000,727800000,- -
54,Long-Term Debt,2877091,- -,- -,352999504,270183197,294131915,276423015,229785120,239976730,245535346,232536421,- -,- -,322000000,319100000,316200000,431200000,310400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,98576300,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,31333664,65459019,83437091,77324361,137405291,111665939,81460350,60546632,46815508,29117829,752600000,729900000,729100000,627400000,619200000
57,Other Non-Current Liabilities,58384417677,107199394,20375776,91224591,59308507,134372524,138751698,156347038,47510544,85582837,138214419,76149276,75755706,355700000,295200000,920200000,170600000,979500000
58,Total Non-Current Liabilities,58387294768,107199394,20375776,475557759,394950723,511941529,492499074,523537449,497729513,412578533,431297472,122964785,104873535,1430300000,1344200000,1965500000,1229200000,1909100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,984998148,- -,- -,- -,- -,245929569,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155200000,145200000,- -
61,Total Liabilities,58913802363,589338564,684743637,1007635102,726639038,976990120,988547969,1401844491,1144131478,997477038,963765409,953051156,659222702,2435400000,2072600000,2735200000,1957000000,1909100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,519986190,198740450,176720676,179672781,132821767,166712482,160822324,213017017,225109484,231518889,221641141,209632735,174583590,300600000,294600000,280500000,270600000,- -
64,Retained Earnings,250882308,300949824,428283145,196331185,105730227,-47216338,46919373,107905850,57529775,78821958,336819823,356597876,272547810,1151400000,1314500000,1284100000,1062100000,- -
65,Other Comprehensive Income/Loss,-14960872,-18067314,-13126702,-218740704,-95479374,-70177708,-63588097,-153241833,20523262,13027060,12607396,20592898,57495373,-301800000,-423500000,-367100000,-324000000,-396000000
66,Other Total Stockholders Equity,2073231548,631839769,379498834,385919683,285705918,405381369,402827510,1054216867,958290913,1054037564,1010459470,949643698,809253547,3687100000,3653700000,3689000000,3707700000,- -
67,Total Stockholders Equity,2829139174,1113462730,971375953,543182945,428778538,454699804,546981109,1221897901,1261453435,1377405471,1581527830,1536467207,1313880321,4837300000,4839300000,4886500000,4716400000,4663200000
68,Total Liabilities And Stockholders Equity,61742941538,1702801294,1656119590,1550818047,1155417576,1431689924,1535529078,2623742392,2405584913,2374882509,2545293239,2489518363,1973103023,7272700000,6911900000,7621700000,6673400000,6572300000
69,Minority Interest,800406629,0,195921,396629,439322,1616998,771700,621041,969603,824497,2957290,15703936,20974707,- -,- -,- -,17400000,163400000
70,Total Liabilities & Equity,62543348166,1702801294,1656315511,1551214675,1155856898,1433306922,1536300778,2624363433,2406554516,2375707007,2548250529,2505222300,1994077730,7272700000,6911900000,7621700000,6690800000,6735700000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1274173/000104746918001112/0001047469-18-001112-index.html,https://www.sec.gov/Archives/edgar/data/1274173/000155837019001101/0001558370-19-001101-index.html,https://www.sec.gov/Archives/edgar/data/1274173/000155837020001487/0001558370-20-001487-index.html,https://www.sec.gov/Archives/edgar/data/1274173/000155837021001617/0001558370-21-001617-index.htm,https://www.sec.gov/Archives/edgar/data/1274173/000155837022002009/0001558370-22-002009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-422165107,88099663,119707686,261973228,-30606118,22314571,120230893,52788473,161115690,206289267,402347155,238818353,135225170,655500000,523800000,427600000,161600000,622100000
