,https://roic.ai/company/CAPR,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,11484,2184,- -,- -,- -,101400,- -,- -,- -,1354500,195500,503233,4786700,5517648,3998618,2666340,1671356,1005028,310250,245
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,11484,2184,- -,- -,- -,101400,- -,- -,- -,1354500,195500,503233,4786700,5517648,- -,- -,- -,- -,310,- -
4,Gross Profit Ratio,- -,- -,- -,1.0000,1.0000,- -,- -,- -,1.0000,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,0.0010,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,5124292,9477823,4466536,4080884,4136951,1023929,5197178,7787384,13757279,16042082,10766095,12066800,5141805,8457000,13571
6,General and Administrative Exp.,- -,- -,- -,29263,18341,18977,18861,60404,4477567,3922164,3417174,2212669,2116729,1611711,2208955,3017301,4372195,4933054,4762642,4931642,3597111,5543221,7612
7,Selling and Marketing Exp.,- -,10432,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,10432,22220,29263,18341,18977,18861,60404,4477567,3922164,3417174,2212669,2116729,1611711,2208955,3017301,4372195,4933054,4762642,4931642,3597111,5543221,7612
9,Other Expenses,200,26090,83,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,200,36522,22303,29263,18341,18977,18861,60404,9601859,13399987,7883710,6293553,6253680,2635640,7406133,10804685,18129474,20975136,15528737,16998442,8738916,14000221,21183
11,COGS and Expenses,200,36522,22303,29263,18341,18977,18861,60404,9601859,13399987,7883710,6293553,6253680,2635640,7406133,10804685,18129474,20975136,15528737,16998442,8738916,14000221,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,332715,47194,20377,6006,1227,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,950,1090144,137,- -,- -,- -,- -,58134,200505,248626,344665,398807,- -,- -,- -,- -
14,Depreciation and Amortization,200,200,83,- -,- -,- -,- -,- -,26984,113289,159589,12926,7507,6256,26923,41896,110865,125719,144174,157652,171956,143890,- -
15,EBITDA,- -,-36322,-22220,-15587,-16157,-19877,-18861,-60404,-9185667,-13286698,-7724121,-6280627,-4877279,-1886781,-8806867,-5974191,-12497848,-18336392,2974404,-15033443,-7469861,-13513138,-20023
16,EBITDA ratio,- -,-Infinity,-Infinity,-1.3573,-7.3979,-Infinity,-Infinity,-Infinity,-90.5884,-Infinity,-Infinity,-Infinity,-3.6008,-9.6511,-17.5006,-1.2481,-2.2651,-4.5857,1.1155,-8.9948,-7.4325,-43.5556,-81.7586
17,Operating Income,- -,- -,-22303,-17779,-16157,-18977,-18861,-60404,-9500459,-13399987,-7883710,-6293553,-4899180,-2440140,-6902900,-6017985,-12611826,-16976518,-12862397,-15327086,-7733888,-13689971,-20938442
18,Operating Income ratio,- -,- -,-Infinity,-1.5482,-7.3979,-Infinity,-Infinity,-Infinity,-93.6929,-Infinity,-Infinity,-Infinity,-3.6170,-12.4815,-13.7171,-1.2572,-2.2857,-4.2456,-4.8240,-9.1704,-7.6952,-44.1256,-85498.6239
19,Total Other Income Expenses (Gains),- -,- -,- -,2192,- -,900,- -,- -,287808,-64187,-35781,241685,8388,547103,-1989024,-198607,-245513,-1830258,15293820,135991,92071,32943,20918419
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1893037,-8891924,-6216592,-12857339,-18806776,2431423,-15191095,-7641817,-13657028,-20023
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9.6831,-17.6696,-1.2987,-2.3302,-4.7033,0.9119,-9.0891,-7.6036,-44.0194,-81.7586
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-200,-36522,-22303,-15587,-16157,-18077,-18861,-61354,-10302795,-13131596,-7872297,-6031491,-4884786,-1893037,-8891924,-6216592,-12857339,-18806776,2431423,-15191095,-7641817,-13657028,-20023
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-1.3573,-7.3979,-Infinity,-Infinity,-Infinity,-101.6055,-Infinity,-Infinity,-Infinity,-3.6063,-9.6831,-17.6696,-1.2987,-2.3302,-4.7033,0.9119,-9.0891,-7.6036,-44.0194,-81.7586
25,EPS,-0.20,-50.00,-14.77,-10.32,-10.70,-11.97,-12.49,-50.00,-305.00,-270.00,-155.00,-95.00,-65.00,-20.00,-8.50,-5.30,-8.10,-10.10,1.00,-5.20,-2.06,-0.88,-0.00
26,EPS Diluted,-0.20,-50.00,-14.77,-10.32,-10.70,-11.97,-12.49,-50.00,-305.00,-270.00,-155.00,-95.00,-65.00,-20.00,-8.50,-5.30,-8.10,-10.10,0.90,-5.20,-2.06,-0.88,-0.00
27,Weighted Average Shares Outstanding,1000,1375,1510,1510,1510,1510,1510,1510,33884,48252,50933,64336,74657,84403,1050141,1169698,1590213,1855101,2319327,2941097,3711333,15571056,23095375
28,Weighted Average Shares Outstanding Diluted,1000,1375,1510,1510,1510,1510,1510,1510,33884,48252,50933,64336,74657,84403,1050141,1169698,1590213,1855101,2678807,2941097,3711333,15571056,23095375
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1133869/000114420407005646/0001144204-07-005646-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000119312508067071/0001193125-08-067071-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000119312509051159/0001193125-09-051159-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420410011112/0001144204-10-011112-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420411014594/0001144204-11-014594-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420412019563/0001144204-12-019563-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420413036076/0001144204-13-036076-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420414019617/0001144204-14-019617-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420415016469/0001144204-15-016469-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420416091632/0001144204-16-091632-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420417014866/0001144204-17-014866-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420418016468/0001144204-18-016468-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000114420419016787/0001144204-19-016787-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000110465920039272/0001104659-20-039272-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000110465921036410/0001104659-21-036410-index.htm,https://www.sec.gov/Archives/edgar/data/1133869/000155837022003341/0001558370-22-003341-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,13178,156,25,1079,635,281,- -,16233464,5500790,3175718,3378155,1039190,46716,1729537,8034765,5568306,3204378,6140135,4259266,3899328,32665874,34885274
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326494,- -,7999010,12990510,7984800,2997150,5986050,- -,- -
33,Cash and Short-Term Investments,- -,13178,156,25,1079,635,281,- -,16233464,5500790,3175718,3378155,1039190,46716,2056031,8034765,13567316,16194888,14124935,7256416,9885378,32665874,34885274
34,Net Receivables,- -,1000,87,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187,360233,211938,223335,344575,204868,87968,- -,391750
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,526303,544834,257732,219095,271298,124912,1624622,3212547,210603,1690117,1243166,1010015,571382,1011209,1159937
37,Total Current Assets,- -,14178,243,25,1079,635,281,- -,16759767,6045624,3433450,3597250,1310488,171628,3680840,11607545,13989857,18108340,15712676,8471299,10544728,33677083,36436961
