,https://roic.ai/company/CLRI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,140000,430000,1850000,300000,540000,542675,430000,210000,346520,544780,346940,782230,1164190,1752024,1651297
2,COGS,70000,310000,1190000,140000,270000,389429,250000,90000,137970,179770,83540,123640,246120,407136,267298
3,Gross Profit,70000,120000,660000,160000,270000,153246,180000,120000,208550,365010,263400,658590,918070,1344888,1383999
4,Gross Profit Ratio,0.5000,0.2791,0.3568,0.5333,0.5000,0.2824,0.4186,0.5714,0.6018,0.6700,0.7592,0.8419,0.7886,0.7676,0.8381
5,Research and Development Exp.,260000,290000,120000,220000,240000,186208,10000,10000,3910,14640,105770,222260,207710,152602,167661
6,General and Administrative Exp.,322873,- -,718813,648364,674747,710080,2015197,302789,273495,267917,448439,348330,348960,411021,417286
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,168923,- -,- -,- -,- -,- -,- -,- -,530853,571242
8,"Selling, General and Administrative Exp.",322873,- -,718813,648364,674747,879003,2015197,302789,273495,267917,448439,348330,348960,941874,988528
9,Other Expenses,131268,1874023,223659,272255,443519,9858,84474,27171,236972,289599,649436,533639,415584,11480,2129
10,Operating Expenses,714141,2164023,1062472,1140619,1358266,1075069,2109671,339960,514377,572156,1203645,1104229,972254,1105956,1158318
11,COGS and Expenses,780000,2480000,2250000,1320000,1630000,1464498,1890000,430000,1819350,1004920,1191510,1227870,1471850,1513092,1425616
12,Interest Income ,- -,- -,4896,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-30000,-20000,-10000,-60000,-20000,261847,-1410000,-80000,-14910,-45270,- -,- -,- -,8727,1275
14,Depreciation and Amortization,98173,50050,33225,25249,13069,9858,2342,- -,200000,139668,94600,113520,73242,10878,2129
15,EBITDA,-1181827,-2079950,-396775,-1124751,-1206931,-977507,-4267658,-380000,-1868680,-479922,-764580,-419290,-103358,249810,364502
16,EBITDA ratio,-8.4416,-4.8371,-0.2145,-3.7492,-2.2351,-1.8013,-9.9248,-1.8095,-5.3927,-0.8809,-2.2038,-0.5360,-0.0888,0.1426,0.2207
17,Operating Income,- -,-2045300,- -,-980742,- -,-921823,-1931379,-224885,-305832,-460139,-850971,- -,- -,- -,- -
18,Operating Income ratio,- -,-4.7565,- -,-3.2691,- -,-1.6987,-4.4916,-1.0709,-0.8826,-0.8446,-2.4528,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-30000,-34700,-20000,-109258,-110000,-65542,-928621,-75115,-1747938,-114181,-2639,-13330,235610,- -,135417
20,Income Before Tax,-670000,-2080000,-420000,-1090000,-1200000,- -,-2860000,-300000,-2053770,-574320,-853610,-458970,-72050,230205,361098
21,Income Before Tax Ratio,-4.7857,-4.8372,-0.2270,-3.6333,-2.2222,- -,-6.6512,-1.4286,-5.9268,-1.0542,-2.4604,-0.5867,-0.0619,0.1314,0.2187
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1250000,-2110000,-420000,-1090000,-1200000,-1249212,-2860000,-300000,-2053770,-574320,-859180,-532810,-176600,230205,361098
24,Net Income ratio,-8.9286,-4.9070,-0.2270,-3.6333,-2.2222,-2.3020,-6.6512,-1.4286,-5.9268,-1.0542,-2.4765,-0.6811,-0.1517,0.1314,0.2187
25,EPS,-156.16,-171.17,-21.02,-30.03,-27.03,-19.22,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00
26,EPS Diluted,-156.16,-171.17,-21.02,-30.03,-27.03,-19.22,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00
27,Weighted Average Shares Outstanding,8110,12317,19366,35871,43249,65348,1369700683,2110696898,1092768481,197897821,203899190,203899190,206414819,220978242,226520440
28,Weighted Average Shares Outstanding Diluted,8110,12317,19366,35871,43249,65348,1369700683,2110696898,1092768481,197897821,203899190,203899190,206414819,220978242,597882075
