,https://roic.ai/company/SRL,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,75500000,88920658,128637771,122236690,156168266,214145177,284338999,409513075,697763379,954755582,458543802,574761207,776876818,603556817,85443669,531643889,483148143,866656764,1638885896,1579702000,1131657000,274035000,139751000,113267000,59432000
2,COGS,47700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,387008388,489636010,667642549,479411594,49359896,444535232,405518574,756364693,1475522712,1529578000,1061052000,263586000,129522000,96561000,26870000
3,Gross Profit,27800000,- -,128637771,- -,156168266,214145177,284338999,409513075,697763379,954755582,71535414,85125198,109234269,124145223,36083772,87108657,77629569,110292071,163363184,50124000,70605000,10449000,10229000,16706000,32562000
4,Gross Profit Ratio,0.3682,- -,1.0000,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1560,0.1481,0.1406,0.2057,0.4223,0.1638,0.1607,0.1273,0.0997,0.0317,0.0624,0.0381,0.0732,0.1475,0.5479
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,7600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,409416,18390942,48596537,47499153,67178469,99703944,84653000,79164000,48348000,26180000,22071000,19344000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,409416,18390942,48596537,47499153,67178469,99703944,84653000,79164000,48348000,26180000,22071000,19344000
9,Other Expenses,6000000,57898499,91795666,82350984,110098980,164786692,211550205,354736571,651906647,901595981,28599720,32629395,40613724,-64151629,- -,- -,- -,- -,- -,- -,- -,- -,254000,502000,557000
10,Operating Expenses,13600000,57898499,91795666,82350984,110098980,164786692,211550205,354736571,651906647,901595981,28599720,32629395,40613724,-63742213,18390942,48596537,47499153,67178469,99703944,84653000,79164000,48348000,26434000,22573000,19901000
11,COGS and Expenses,61300000,57898499,91795666,82350984,110098980,164786692,211550205,354736571,651906647,901595981,415608108,522265404,708256273,415669381,67750838,493131769,453017727,823543162,1575226655,1614231000,1140216000,311934000,155956000,119134000,46771000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3478565,13027397,22159136,7374725,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2674966,2924550,974156,7349158,12366732,16154690,19197142,20355000,24102000,8415000,2125000,1243000,1881000
14,Depreciation and Amortization,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2933364,3247194,5227015,3614589,11767883,13481284,20206987,29904065,31628792,6450000,11951000,6732000,5712000,8287000,11470000
15,EBITDA,14100000,25732666,32198142,29577547,40838332,44495384,47258420,49952338,32782577,37307652,46776561,57298758,22155485,76460289,50039005,39388138,255542977,63352750,53788448,-458324000,17706000,-24050000,175731000,-7404000,24687000
16,EBITDA ratio,0.1868,0.2894,0.2503,0.2420,0.2615,0.2078,0.1662,0.1220,0.0470,0.0391,0.1020,0.0997,0.0285,0.1267,0.5856,0.0741,0.5289,0.0731,0.0328,-0.2901,0.0156,-0.0878,1.2575,-0.0654,0.4154
17,Operating Income,14100000,31022159,36842105,39885706,46069286,49358485,72788794,54776504,45856731,53159601,42936859,52495803,55038825,74918958,14708353,38512120,-28889863,19937818,10899315,-55129000,-16706000,-37899000,-16205000,-5867000,12661000
18,Operating Income ratio,0.1868,0.3489,0.2864,0.3263,0.2950,0.2305,0.2560,0.1338,0.0657,0.0557,0.0936,0.0913,0.0708,0.1241,0.1721,0.0724,-0.0598,0.0230,0.0067,-0.0349,-0.0148,-0.1383,-0.1160,-0.0518,0.2130
19,Total Other Income Expenses (Gains),- -,-5289493,-4643963,-5499132,-5230954,-4863101,-25530374,-4824166,-13074154,-15851949,9991846,12670889,-39909081,-3898353,37455992,-20970319,252721639,-2817381,-6508942,-288000,- -,-508000,184034000,-10917000,-1482000
20,Income Before Tax,14100000,25732666,32198142,34386574,40838332,44495384,47258420,49952338,32782577,37307652,52928705,65166692,15129744,71020605,52164345,17541801,223831776,17120437,4390373,-55417000,-16706000,-38407000,167829000,-16784000,11179000
21,Income Before Tax Ratio,0.1868,0.2894,0.2503,0.2813,0.2615,0.2078,0.1662,0.1220,0.0470,0.0391,0.1154,0.1134,0.0195,0.1177,0.6105,0.0330,0.4633,0.0198,0.0027,-0.0351,-0.0148,-0.1402,1.2009,-0.1482,0.1881
22,Income Tax expense (Gain),- -,1286633,619195,-989583,1688662,-772047,-3497010,836017,-4168467,3155524,8370224,12318342,22714088,27292662,6976116,6108643,-2612424,7002992,1989714,2501000,7014000,8658000,55618000,1619000,10967000
23,Net Income,13300000,24446033,31578947,30567130,39149670,45267431,50755430,49116321,36951044,34152128,35472973,41733223,-8460584,42628488,30320851,12449053,225581682,10291002,972801,-487630000,-25361000,-47855000,112276000,-18553000,369000
24,Net Income ratio,0.1762,0.2749,0.2455,0.2501,0.2507,0.2114,0.1785,0.1199,0.0530,0.0358,0.0774,0.0726,-0.0109,0.0706,0.3549,0.0234,0.4669,0.0119,0.0006,-0.3087,-0.0224,-0.1746,0.8034,-0.1638,0.0062
25,EPS,3.00,3.94,5.01,5.24,6.55,7.26,7.94,7.60,5.52,5.04,4.75,5.69,5.87,5.67,3.61,0.82,15.30,0.68,0.05,-32.79,-1.70,-3.24,7.61,-1.26,0.03
26,EPS Diluted,3.00,3.62,4.45,4.61,5.62,6.77,7.48,7.26,5.46,5.02,4.71,5.57,5.87,5.67,3.61,0.82,15.30,0.68,0.05,-32.79,-1.70,-3.24,7.61,-1.26,0.03
27,Weighted Average Shares Outstanding,4428000,6056376,6298899,5838128,5977255,6237493,6388644,6461847,6695496,6769857,7460273,7394248,7509189,7507711,8442377,14729460,14728052,14727272,14814552,14866216,14866216,14766962,14755967,14765938,14779511
28,Weighted Average Shares Outstanding Diluted,4428000,6597728,7100577,6631908,6966297,6684359,6785776,6767840,6769891,6796938,7522860,7519565,7575675,7507711,8442622,14729460,14728052,14775458,14822620,14866216,14866216,14766962,14755967,14765938,14779511
