,https://roic.ai/company/CANF,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,745211,468996,- -,- -,- -,165000,170000,847000,3820000,2032000,763000,853000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,745211,468996,- -,- -,- -,165000,170000,847000,3820000,2032000,- -,- -
4,Gross Profit Ratio,1.0000,1.0000,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -
5,Research and Development Exp.,2816524,3407514,3522541,4419239,16200000,3858000,6081000,5285000,6075000,-10976000,11951000,9850000
6,General and Administrative Exp.,- -,- -,- -,4519167,11573000,2725000,2726000,2956000,3159000,-3059000,2951000,3845000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,4519167,11573000,2725000,2726000,2956000,3159000,-3059000,2951000,3845000
9,Other Expenses,1692508,1860483,- -,- -,-20640617,-3277,-3641,-20549,- -,28070000,- -,- -
10,Operating Expenses,4509032,5267998,- -,8938406,7132383,6579723,8803359,8220451,9234000,14035000,14902000,13695000
11,COGS and Expenses,4509032,5267998,6004379,8991242,27773000,6583000,8807000,8241000,9234000,11619000,14902000,13695000
12,Interest Income ,31003,438518,13384,26418,11556,1919225,88910,71642,51000,72000,44000,24000
13,Interest Expense (Gain),7328,- -,7227,16080,- -,- -,- -,- -,- -,- -,363000,- -
14,Depreciation and Amortization,78636,57278,23020,16655,12070,16395,18458,19853,14000,42000,12000,14000
15,EBITDA,-3525376,-6592223,-5836550,-8812347,24536070,5082395,7042458,5012853,6585000,-9545000,-14068000,-12601000
16,EBITDA ratio,-4.7307,-14.0560,-Infinity,-Infinity,Infinity,30.8024,41.4262,5.9184,1.7238,-4.6973,-18.4377,-14.7726
17,Operating Income,-3763821,-4775880,-5993137,-8991242,-7132383,-6415005,-8633858,-7375705,-5414000,-12003000,-14139000,-12842000
18,Operating Income ratio,-5.0507,-10.1832,-Infinity,-Infinity,-Infinity,-38.8788,-50.7874,-8.7080,-1.4173,-5.9070,-18.5308,-15.0551
19,Total Other Income Expenses (Gains),152481,-2642932,137583,146159,31656383,11481005,15657858,12368705,11985000,2416000,-304000,227000
20,Income Before Tax,-3611341,-7418812,-5855554,-8845083,24524000,5066000,7024000,4993000,6571000,-9587000,-14443000,-12615000
21,Income Before Tax Ratio,-4.8461,-15.8185,-Infinity,-Infinity,Infinity,30.7030,41.3176,5.8949,1.7202,-4.7180,-18.9292,-14.7890
22,Income Tax expense (Gain),66235,50184,2944,2584,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-3677575,-6699685,-5572895,-8341421,24524000,5066000,7024000,4993000,6571000,-9587000,-14443000,-12615000
24,Net Income ratio,-4.9349,-14.2852,-Infinity,-Infinity,Infinity,30.7030,41.3176,5.8949,1.7202,-4.7180,-18.9292,-14.7890
25,EPS,-12.68,-23.65,-16.62,-18.26,-10.40,-6.22,-7.49,-4.57,-5.10,-4.20,-1.20,- -
26,EPS Diluted,-12.68,-23.65,-16.62,-18.26,-10.40,-6.22,-7.49,-4.57,-5.10,-4.20,-1.20,- -
27,Weighted Average Shares Outstanding,289567,347448,335033,457067,584867,765100,923667,1086101,1288431,2863662,11947043,- -
28,Weighted Average Shares Outstanding Diluted,289567,347448,335033,457067,584867,765100,923667,1086101,1288431,2863662,11947043,- -
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1536196/000121390015002133/0001213900-15-002133-index.htm,https://www.sec.gov/Archives/edgar/data/1536196/000121390016012161/0001213900-16-012161-index.htm,https://www.sec.gov/Archives/edgar/data/1536196/000121390017003022/0001213900-17-003022-index.htm,https://www.sec.gov/Archives/edgar/data/1536196/000121390018003554/0001213900-18-003554-index.htm,https://www.sec.gov/Archives/edgar/data/1536196/000121390019005251/0001213900-19-005251-index.htm,https://www.sec.gov/Archives/edgar/data/1536196/000121390020007682/0001213900-20-007682-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,3841829,1145093,5963245,9268528,16913871,8111839,3496950,3615000,2697000,8268000,4390000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,273000,64000,75000,14749000
33,Cash and Short-Term Investments,- -,3841829,1145093,5963245,9268528,16913871,8111839,3496950,3888000,2761000,8343000,19139000
34,Net Receivables,- -,987914,32388,620531,69852,619675,21837,65312,41000,651000,18000,48000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,-0,415157,- -,807667,- -,1970571,3304178,3974000,3732000,1039000,881000
37,Total Current Assets,- -,4829743,1592638,6583776,10146048,17533545,10104248,6866440,7903000,7144000,9400000,20068000
38,PP&E,- -,73043,42560,41062,34156,60456,53294,46035,47000,119000,123000,185000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,914662,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,9763,6677,6917,9619,5179,2000,912000,- -,- -
45,Total Non-Current Assets,- -,73043,42560,50826,40833,67373,62913,965876,49000,1031000,123000,185000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4902785,1635198,6634602,10186881,17600918,10167161,7832317,7952000,8175000,9523000,20253000
48,Accounts Payable,- -,1212822,755098,2105384,262973,461874,1248895,425538,1071000,2156000,561000,954000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,36000,43000,53000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,219538,321583,373748,926000,469000,334000,818000
52,Other Current Liabilities,- -,140305,1569886,34171,1219847,1096151,932772,998101,1122000,610000,331000,905000
53,Total Current Liabilities,- -,1353127,2324984,2139555,1482821,1777563,2503250,1797388,3119000,3271000,1269000,2730000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71000
55,Deferred Revenue,- -,- -,- -,- -,- -,932714,1172464,956382,1818000,2422000,2156000,3070000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,258276,18202,37042,1847234,4445828,2617376,2024686,- -,1605000,24000,- -
58,Total Non-Current Liabilities,- -,258276,18202,37042,1847234,5378542,3789840,2981068,1818000,4027000,2180000,3141000
59,Other Liabilities,- -,- -,- -,74085,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,67000,124000
61,Total Liabilities,- -,1611403,2343185,2176597,3330055,7156105,6293090,4778456,4937000,7298000,3449000,5871000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,684708,731810,1159225,1397303,1800874,1829928,2394982,2635000,8225000,33036000,60654000
64,Retained Earnings,- -,-60847084,-67281327,-80514286,-78108749,-82711097,-90977227,-105657153,-100623000,-110210000,-125469000,-140674000
65,Other Comprehensive Income/Loss,- -,3874146,4112218,4482412,4144399,4582110,5083710,6280354,6927000,7197000,1127000,1127000
66,Other Total Stockholders Equity,- -,58996059,61194238,78670495,79048930,86643816,87929080,100035677,94076000,95665000,97380000,93275000
67,Total Stockholders Equity,- -,2707830,-1243061,3797846,6481883,10315704,3865492,3053861,3015000,877000,6074000,14382000
68,Total Liabilities And Stockholders Equity,- -,4319233,1100125,5974444,9811938,17471809,10158582,7832317,7952000,8175000,9523000,20253000
69,Minority Interest,- -,583552,535073,660158,374943,129110,8579,-0,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,4902785,1635198,6634602,10186881,17600918,10167161,7832317,7952000,8175000,9523000,20253000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1536196/000121390015002133/0001213900-15-002133-index.htm,https://www.sec.gov/Archives/edgar/data/1536196/000121390016012161/0001213900-16-012161-index.htm,https://www.sec.gov/Archives/edgar/data/1536196/000121390017003022/0001213900-17-003022-index.htm,https://www.sec.gov/Archives/edgar/data/1536196/000121390018003554/0001213900-18-003554-index.htm,https://www.sec.gov/Archives/edgar/data/1536196/000121390019005251/0001213900-19-005251-index.htm,https://www.sec.gov/Archives/edgar/data/1536196/000121390020007682/0001213900-20-007682-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-3677575,-6699685,-5572895,-8341421,24524000,5066000,7024000,4993000,6571000,-9587000,-14443000,-12615000
74,Depreciation and Amortization,78636,57278,23020,16655,12070,16395,18458,19853,14000,42000,12000,14000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,177002,83815,389728,787940,- -,- -,- -,195074,535000,385000,355000,398000
77,Change in Working Capital,-138388,-666579,1305963,-231156,-961753,1486297,-449488,-2446484,1134000,1190000,2000000,2485000
78,Accounts Receivable,-28749,- -,558895,-159368,-303293,255145,-1366142,-1158937,-853000,270000,2726000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-109640,176826,747068,-71788,-658461,78900,591951,-964150,644000,1085000,-1595000,393000
81,Other Working Capital,- -,- -,- -,- -,- -,1152252,324702,-323397,1218000,146000,-401000,1398000
82,Other Non-Cash Items,-94420,1729375,-493852,-862599,-30901618,-11220481,-15520334,-12284691,-12409000,-2830000,13000,-140000
83,Cash Provided by Operating Activities,-3654745,-5495796,-4348036,-8630581,-7327302,-4651788,-8927364,-9523248,-4155000,-10800000,-12063000,-9858000
84,CAPEX,-30158,-21282,-4550,-12347,-9502,-45342,-10399,-6905,-33000,-3000,-26000,-11000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14500000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,-22730,- -,- -,- -,- -
88,Other Investing Activites,- -,42827,24626,2010,- -,2562,- -,- -,- -,-250000,- -,- -
89,Cash Used for Investing Activites,-30158,21545,20075,-10337,-9502,-42780,-10399,-29635,-33000,-253000,-26000,-14511000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34000,- -,- -
91,Common Stock Issued,3080899,4234104,1159280,10727925,11472985,12381714,- -,4883761,4387000,10167000,17683000,20457000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,302988,410405,339941,2487294,- -,- -,- -,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,3383888,4644509,1499221,13215219,11472985,12381714,- -,4883761,4387000,10133000,17683000,20457000
96,Effect of Forex Changes on Cash,-117531,71992,59958,160517,-200825,-18700,-115167,-811658,-89000,2000,-23000,34000
97,Net Change In Cash,-418547,-757751,-2768781,4734817,3935356,7668444,-9052930,-5480780,110000,-918000,5571000,-3878000
98,Cash at the End of Period,4934061,3841829,1145093,5963245,9268528,16913871,8111839,3496950,3615000,2697000,8268000,4390000
99,Cash at the Beginning of Period,5352608,4599580,3913874,1228428,5333172,9245426,17164769,8977730,3505000,3615000,2697000,8268000
100,Free Cash Flow,-3684903,-5517078,-4352586,-8642929,-7336804,-4697130,-8937763,-9530153,-4188000,-10803000,-12089000,-9869000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1536196/000121390015002133/0001213900-15-002133-index.htm,https://www.sec.gov/Archives/edgar/data/1536196/000121390016012161/0001213900-16-012161-index.htm,https://www.sec.gov/Archives/edgar/data/1536196/000121390017003022/0001213900-17-003022-index.htm,https://www.sec.gov/Archives/edgar/data/1536196/000121390018003554/0001213900-18-003554-index.htm,https://www.sec.gov/Archives/edgar/data/1536196/000121390019005251/0001213900-19-005251-index.htm,https://www.sec.gov/Archives/edgar/data/1536196/000121390020007682/0001213900-20-007682-index.htm,- -,- -
102,false,,,,,,,,,,,,
