,https://roic.ai/company/LSXMA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,2050000000,1409000000,1999000000,4002000000,4450000000,4795000000,5276000000,7594000000,8040000000,10292000000,8040000000,8696000000
2,COGS,1284000000,- -,1201000000,284000000,304000000,262000000,306000000,1219000000,1273000000,1394000000,3941000000,4293000000
3,Gross Profit,766000000,1409000000,798000000,3718000000,4146000000,4533000000,4970000000,6375000000,6767000000,8898000000,4099000000,4403000000
4,Gross Profit Ratio,0.3737,1.0000,0.3992,0.9290,0.9317,0.9454,0.9420,0.8395,0.8417,0.8646,0.5098,0.5063
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,491000000,- -,- -,511000000,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,248905000000,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,491000000,248905000000,- -,511000000,- -,- -,- -,- -,1598000000
9,Other Expenses,619000000,878000000,472000000,872000000,-247369000000,1485000000,644000000,1277000000,1373000000,2312000000,2346000000,868000000
10,Operating Expenses,619000000,878000000,472000000,1363000000,1536000000,1485000000,1155000000,1277000000,1373000000,2312000000,2346000000,2466000000
11,COGS and Expenses,1903000000,878000000,1673000000,3188000000,3609000000,3841000000,3542000000,6200000000,6529000000,8822000000,6287000000,6759000000
12,Interest Income ,88000000,- -,78000000,48000000,27000000,17000000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),65000000,16000000,33000000,132000000,255000000,328000000,362000000,591000000,606000000,657000000,469000000,495000000
14,Depreciation and Amortization,823000000,53000000,817000000,315000000,359000000,362000000,312000000,352000000,369000000,537000000,573000000,603000000
15,EBITDA,1317000000,1070000000,2864000000,9092000000,858000000,964000000,1849000000,1234000000,1682000000,1466000000,401000000,1771000000
16,EBITDA ratio,0.6424,0.7594,1.4327,2.2719,0.1928,0.2010,0.3505,0.1625,0.2092,0.1424,0.0499,0.2037
17,Operating Income,195000000,531000000,326000000,814000000,841000000,954000000,1352000000,1547000000,1620000000,1544000000,749000000,1917000000
18,Operating Income ratio,0.0951,0.3769,0.1631,0.2034,0.1890,0.1990,0.2563,0.2037,0.2015,0.1500,0.0932,0.2204
19,Total Other Income Expenses (Gains),231000000,227000000,1686000000,8042000000,-380000000,-496000000,67000000,-720000000,-579000000,-1031000000,-1362000000,-968000000
20,Income Before Tax,426000000,758000000,2012000000,8856000000,461000000,458000000,1419000000,827000000,1041000000,513000000,-613000000,949000000
21,Income Before Tax Ratio,0.2078,0.5380,1.0065,2.2129,0.1036,0.0955,0.2690,0.1089,0.1295,0.0498,-0.0762,0.1091
22,Income Tax expense (Gain),-571000000,165000000,600000000,-135000000,66000000,210000000,495000000,-1063000000,176000000,166000000,106000000,74000000
23,Net Income,1000000000,836000000,1414000000,8780000000,178000000,64000000,680000000,1354000000,531000000,106000000,-747000000,599000000
24,Net Income ratio,0.4878,0.5933,0.7074,2.1939,0.0400,0.0133,0.1289,0.1783,0.0660,0.0103,-0.0929,0.0689
25,EPS,2.92,1.77,4.13,25.67,0.52,0.19,0.89,3.35,2.05,1.55,-2.24,-1.85
26,EPS Diluted,2.79,1.69,3.94,24.46,0.52,0.18,0.88,3.31,2.05,1.53,-2.24,-1.85
27,Weighted Average Shares Outstanding,342000000,342000000,342000000,342000000,342000000,342000000,335000000,336000000,329293768,319000000,334000000,331113697
28,Weighted Average Shares Outstanding Diluted,359000000,359000000,359000000,359000000,359000000,359000000,337000000,340000000,329293768,323000000,346000000,331113697
