,https://roic.ai/company/ECVT,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,388875000,1064177000,1472101000,1608154000,1567072000,1107363000,611200000
2,COGS,278791000,810085000,1095265000,1226520000,1176550000,834007000,434500000
3,Gross Profit,110084000,254092000,376836000,381634000,390522000,273356000,176700000
4,Gross Profit Ratio,0.2831,0.2388,0.2560,0.2373,0.2492,0.2469,0.2891
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,35203000,111185000,148884000,168628000,166880000,125294000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",35203000,111185000,148884000,168628000,166880000,125294000,97800000
9,Other Expenses,6807000,30046000,38750000,41984000,41075000,50986000,24300000
10,Operating Expenses,42010000,141231000,187634000,210612000,207955000,176280000,122100000
11,COGS and Expenses,320801000,951316000,1282899000,1437132000,1384505000,1010287000,556600000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),44348000,140315000,179044000,113723000,111525000,66979000,37000000
14,Depreciation and Amortization,39000000,128289000,177140000,185234000,182090000,151800000,79800000
15,EBITDA,94775000,198899000,294590000,386252000,413853000,-108114000,130700000
16,EBITDA ratio,0.2437,0.1869,0.2001,0.2402,0.2641,-0.0976,0.2138
17,Operating Income,55775000,84190000,167504000,183556000,187802000,-162924000,54607000
18,Operating Income ratio,0.1434,0.0791,0.1138,0.1141,0.1198,-0.1471,0.0893
19,Total Other Income Expenses (Gains),-44348000,-153307000,-228138000,-94940000,-66793000,-64661000,-40707000
20,Income Before Tax,11427000,-69117000,-60634000,88616000,121009000,-227585000,13900000
21,Income Before Tax Ratio,0.0294,-0.0649,-0.0412,0.0551,0.0772,-0.2055,0.0227
22,Income Tax expense (Gain),- -,10041000,-119197000,28995000,40699000,-48122000,12100000
23,Net Income,11427000,-79746000,57603000,58300000,79539000,-278771000,1800000
24,Net Income ratio,0.0294,-0.0749,0.0391,0.0363,0.0508,-0.2517,0.0029
25,EPS,0.11,-1.02,0.52,0.44,0.59,-2.06,0.01
26,EPS Diluted,0.11,-1.02,0.52,0.43,0.59,-2.06,0.01
27,Weighted Average Shares Outstanding,103981848,78016005,111299670,133380567,134389667,135528977,136129591
28,Weighted Average Shares Outstanding Diluted,103981848,78016005,111669037,134684931,135548694,136450953,137354427
