,https://roic.ai/company/NVGS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,51402140,59681058,72529813,82016530,88874595,146716403,238337610,304874644,315223000,294112000,298595000,310046000,301385000,332495000,403581000
2,COGS,11261817,17646823,20393186,38776598,36682275,63258280,47696734,54919458,53453000,62280000,73588000,76140000,76173000,152471000,312935000
3,Gross Profit,40140323,42034235,52136627,43239932,52192320,83458123,190640876,249955186,261770000,231832000,225007000,233906000,225212000,180024000,90646000
4,Gross Profit Ratio,0.7809,0.7043,0.7188,0.5272,0.5873,0.5688,0.7999,0.8199,0.8304,0.7882,0.7536,0.7544,0.7473,0.5414,0.2246
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1784419,2837927,4623786,4035351,4232103,5273540,6146603,10335424,11011000,6716000,8448000,11204000,15940000,23871000,30089000
7,Selling and Marketing Exp.,1296770,1939019,2690815,2951359,2664461,4233794,5472823,6697412,6995000,5812000,5368000,5142000,4938000,- -,- -
8,"Selling, General and Administrative Exp.",3081189,4776946,7314601,6986710,6896564,9507334,11619426,17032836,18006000,12528000,13816000,16346000,20878000,23871000,30089000
9,Other Expenses,11076710,11926328,15395447,17889097,24104772,34228459,108862268,117460146,115082000,140843000,164009000,176080000,171723000,114399000,4435000
10,Operating Expenses,14157899,16703274,22710048,24875807,31001336,43735793,120481694,134492982,133088000,153371000,177825000,192426000,192601000,138270000,34524000
11,COGS and Expenses,25419716,34350097,43103234,63652405,67683611,106994073,168178428,189412440,186541000,215651000,251413000,268566000,268774000,290741000,347459000
12,Interest Income ,1667677,944703,103794,1483,8978,64590,98775,230234,152000,281000,519000,854000,920000,408000,302000
13,Interest Expense (Gain),- -,999295,2443125,2354421,2442182,8735952,28767858,30321411,28085000,32321000,37691000,44908000,48611000,41080000,38682000
14,Depreciation and Amortization,11076710,11926328,15395447,17889097,18677574,24179633,36608168,45808750,53453000,62280000,73588000,76140000,76173000,76681000,88486000
15,EBITDA,37878819,15303287,44633056,35346887,39877536,63966553,106866125,161501188,180432000,140416000,116986000,115642000,108430000,117935000,91667000
16,EBITDA ratio,0.7369,0.2564,0.6154,0.4310,0.4487,0.4360,0.4484,0.5297,0.5724,0.4774,0.3918,0.3730,0.3598,0.3547,0.2271
17,Operating Income,25134432,19304940,29133815,17456307,21190984,39722330,70159182,115462204,128624000,77957000,47182000,41480000,32611000,41754000,-7531000
18,Operating Income ratio,0.4890,0.3235,0.4017,0.2128,0.2384,0.2707,0.2944,0.3787,0.4080,0.2651,0.1580,0.1338,0.1082,0.1256,-0.0187
19,Total Other Income Expenses (Gains),1667677,-16927276,-2339331,-2352938,-2433204,-8671362,-28669083,-30091177,-29730000,-32142000,-41475000,-46886000,-47740000,-40475000,-37567000
20,Income Before Tax,26802109,2377664,26794484,15103369,18757780,31050968,41490099,85371027,98894000,45815000,5707000,-5406000,-15129000,1279000,-45098000
21,Income Before Tax Ratio,0.5214,0.0398,0.3694,0.1842,0.2111,0.2116,0.1741,0.2800,0.3137,0.1558,0.0191,-0.0174,-0.0502,0.0038,-0.1117
22,Income Tax expense (Gain),52495,149238,82031,99450,107501,515123,506263,903526,800000,1177000,397000,333000,352000,617000,1690000
23,Net Income,26749614,2228426,26712453,15003919,18650279,30535845,40983836,84467501,98094000,44638000,5310000,-5739000,-16706000,-443000,-37191000
24,Net Income ratio,0.5204,0.0373,0.3683,0.1829,0.2098,0.2081,0.1720,0.2771,0.3112,0.1518,0.0178,-0.0185,-0.0554,-0.0013,-0.0922
25,EPS,0.89,0.07,0.86,0.48,0.60,0.82,0.89,1.53,1.77,0.81,0.10,-0.10,-0.30,-0.01,-0.67
26,EPS Diluted,0.89,0.07,0.86,0.48,0.60,0.82,0.89,1.52,1.76,0.80,0.10,-0.10,-0.30,-0.01,-0.67
27,Weighted Average Shares Outstanding,30000000,30000000,30960000,31029000,31195743,37294962,46031386,55336402,55360004,55418626,55508974,55629023,55792711,55885376,55792711
