,https://roic.ai/company/HMC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2910614510150,2870851991614,1580824420945,3502928667614,3829698193542,4316570814180,4395888891866,4132433652732,3865255539228,3958934333991,4282236448515,5279682646660,6044710508910,6155579309260,5903711564204,6579113155701,7343664626870,7960714912380,8154921188100,8654227966300,9906779811600,11087834674560,11968092703520,10011241000000,8579174000000,8936867000000,7948095000000,9877947000000,11842451000000,13328099000000,14601151000000,13999200000000,15361146000000,15888617000000,14931009000000,13170519000000
2,COGS,1816994043625,1948767098883,1071477297125,2422729349272,2583224539275,2952816410040,3011493280912,2813816454988,2678954686716,2755963859418,2990277352836,3547680362360,4019532454080,3993068911470,3904683138183,4638663385809,5023325513050,5402819556340,5604566594450,6041070400960,7009534004850,7865566742880,8518496482880,7419582000000,6414721000000,6496841000000,5919633000000,7345162000000,8761083000000,10330784000000,11332399000000,10865848000000,12000581000000,12580949000000,11851659000000,10439689000000
3,Gross Profit,1093620466525,922084892731,509347123820,1080199318342,1246473654267,1363754404140,1384395610954,1318617197744,1186300852512,1202970474573,1291959095679,1732002284300,2025178054830,2162510397790,1999028426021,1940449769892,2320339113820,2557895356040,2550354593650,2613157565340,2897245806750,3222267931680,3449596220640,2591659000000,2164453000000,2440026000000,2028462000000,2532785000000,3081368000000,2997315000000,3268752000000,3133352000000,3360565000000,3307668000000,3079350000000,2730830000000
4,Gross Profit Ratio,0.3757,0.3212,0.3222,0.3084,0.3255,0.3159,0.3149,0.3191,0.3069,0.3039,0.3017,0.3281,0.3350,0.3513,0.3386,0.2949,0.3160,0.3213,0.3127,0.3020,0.2925,0.2906,0.2882,0.2589,0.2523,0.2730,0.2552,0.2564,0.2602,0.2249,0.2239,0.2238,0.2188,0.2082,0.2062,0.2073
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250482745936,288006868200,307859946765,323348637700,359121909261,394210437140,436264967560,448498772100,467964201040,510357823200,551870378880,586299739200,563197000000,463354000000,487591000000,519818000000,560270000000,634130000000,606162000000,656502000000,691429000000,751856000000,806905000000,804123000000,738894000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,787979812125,752284855858,440884221327,902454226003,1047112091589,1216404248505,1230916388160,1209865619116,1107924804180,1095255831446,1147320424134,1081113535916,1271395938645,1312599724285,1263086700968,1082271397835,1288427504260,1433138676560,1502293655500,1514020750340,1518126200100,1818438818880,1912952465400,1838819000000,1337324000000,1382660000000,1277280000000,1427705000000,1696957000000,1720550000000,2108874000000,1601212000000,1775151000000,1774393000000,1641590000000,1331728000000
10,Operating Expenses,787979812125,752284855858,440884221327,902454226003,1047112091589,1216404248505,1230916388160,1209865619116,1107924804180,1095255831446,1147320424134,1331596281852,1559402806845,1620459671050,1586435338668,1441393307095,1682637941400,1869403644120,1950792427600,1981984951380,2028484023300,2370309197760,2499252204600,2402016000000,1800678000000,1870251000000,1797098000000,1987975000000,2331087000000,2326712000000,2765376000000,2292641000000,2527007000000,2581298000000,2445713000000,2070622000000
11,COGS and Expenses,2604973855750,2701051954741,1512361518452,3325183575275,3630336630864,4169220658545,4242409669072,4023682074104,3786879490896,3851219690864,4137597776970,4879276644212,5578935260925,5613528582520,5491118476851,6080056692904,6705963454450,7272223200460,7555359022050,8023055352340,9038018028150,10235875940640,11017748687480,9821598000000,8215399000000,8367092000000,7716731000000,9333137000000,11092170000000,12657496000000,14097775000000,13158489000000,14527588000000,15162247000000,14297372000000,12510311000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41235000000,18232000000,23577000000,33461000000,25742000000,24026000000,27037000000,28468000000,32389000000,41191000000,48618000000,49412000000,19805000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22543000000,12552000000,8474000000,10378000000,12157000000,12703000000,18194000000,18146000000,12471000000,12970000000,13217000000,24689000000,13877000000
14,Depreciation and Amortization,101063254120,110501134806,100790194375,131430390354,164247635445,191895252000,190842531122,173733776524,143321772372,124890925355,125885445786,140986285640,154490930040,175515063070,166631521800,173380125638,194447022770,220609921400,213198509750,225832403160,262241058600,371487468960,516900994560,637644000000,629674000000,563639000000,530758000000,590469000000,794720000000,625229000000,660714000000,674329000000,713093000000,721695000000,699877000000,624239000000
