,https://roic.ai/company/CRTG,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,42900,45339,106059,89323,63668,48396,85748,5122,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,42900,- -,106059,89323,63668,48396,85748,5122,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,10000,230000,250000,1020888,953802,313082,439357,942240,519435,372984,198550,47738,300985,456360,85066,80229,151864,469996
6,General and Administrative Exp.,600000,370000,1190000,- -,- -,1218798,1114470,- -,1482638,1077106,1065167,800012,383784,936780,751251,1486849,1029136,5615038
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",600000,370000,1190000,- -,- -,1218798,1114470,- -,1482638,1077106,1065167,800012,383784,936780,751251,1486849,1029136,5615038
9,Other Expenses,10000,-10000,- -,2819525,2578357,- -,- -,1430365,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,620000,590000,1440000,3840413,3532159,1531880,1553827,2372605,2002073,1450090,1263717,847750,684769,1393140,836317,1567078,1181000,6085034
11,COGS and Expenses,620000,590000,1440000,3840413,3532159,1531880,1553827,2372605,2002073,1450090,1263717,847750,684769,1393140,836317,1567078,1181000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,-30000,88583,122291,80294,75969,37187,163297,80355,75735,57787,60082,320093,394943,287307,665232,- -
14,Depreciation and Amortization,- -,- -,- -,1734,- -,7052,6165,6230,5529,4280,- -,- -,28395,94009,80986,80985,80355,81429
15,EBITDA,-620000,-590000,-1500000,-3838679,-3489259,-1479489,-1441603,-2277052,-1932876,-1397414,-1177969,-842628,-656374,-1299131,-755331,-1486093,-1100645,81429
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-81.3347,-32.6317,-13.5925,-25.4923,-30.3587,-28.8746,-13.7376,-164.5115,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
17,Operating Income,-620000,-590000,-1440000,3840413,3489259,- -,1447768,- -,1938405,1401694,1177969,842628,684769,- -,- -,- -,- -,- -
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,Infinity,81.3347,- -,13.6506,- -,30.4455,28.9630,13.7376,164.5115,Infinity,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,-30000,- -,- -,- -,-2971505,- -,-4040107,-2883743,-2431673,-1743043,-1429620,-320093,-210154,-287307,-663982,- -
20,Income Before Tax,-620000,-590000,-1470000,- -,- -,- -,-1523737,- -,-2101702,-1482049,-1253704,-900415,-744851,-1713233,-1046471,-1854385,-1844982,-6268939
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,- -,- -,- -,-14.3669,- -,-33.0103,-30.6234,-14.6208,-175.7936,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-620000,-590000,-1470000,-3928996,-3611550,-1566835,-1523737,-2320469,-2101702,-1482049,-1253704,-900415,-744851,-1713233,-1046471,-1854385,-1844982,-6268939
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-84.1853,-34.5582,-14.3669,-25.9784,-33.0103,-30.6234,-14.6208,-175.7936,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.00,-59.00,-147.00,-367.54,-262.53,-73.51,-31.50,-21.00,-15.90,-4.20,-0.90,-0.30,-0.60,-0.07,-0.01,-0.03,-0.01,-0.03
26,EPS Diluted,-0.00,-59.00,-147.00,-367.54,-262.53,-73.51,-31.50,-21.00,-15.90,-4.20,-0.90,-0.30,-0.60,-0.07,-0.01,-0.03,-0.01,-0.03
27,Weighted Average Shares Outstanding,255616000,10000,10000,10805,13586,22724,50697,103471,133176,351417,1314602,2951659,1241418,25461630,67909853,70919722,202680171,202680171
28,Weighted Average Shares Outstanding Diluted,255616000,10000,10000,10805,13586,22724,50697,103471,133176,351417,1314602,2951659,1241418,25461630,67909853,70919722,202680171,202680171
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1375195/000114420408019374/0001144204-08-019374-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1375195/000114420410017666/0001144204-10-017666-index.html,https://www.sec.gov/Archives/edgar/data/1375195/000114420411019278/0001144204-11-019278-index.html,https://www.sec.gov/Archives/edgar/data/1375195/000114420412020555/0001144204-12-020555-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000114420413018259/0001144204-13-018259-index.html,https://www.sec.gov/Archives/edgar/data/1375195/000114420414019106/0001144204-14-019106-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1375195/000114420416091408/0001144204-16-091408-index.html,https://www.sec.gov/Archives/edgar/data/1375195/000114420417020528/0001144204-17-020528-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000143774918006075/0001437749-18-006075-index.html,https://www.sec.gov/Archives/edgar/data/1375195/000143774919007111/0001437749-19-007111-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000143774920006868/0001437749-20-006868-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000143774921005962/0001437749-21-005962-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000143774922006796/0001437749-22-006796-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10000,150000,200000,705519,48400,1118,367101,17666,1350,70769,34485,11121,594,470630,4001,58149,22219,4053
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10000,150000,200000,705519,48400,1118,367101,17666,1350,70769,34485,11121,594,470630,4001,58149,22219,4053
34,Net Receivables,- -,- -,- -,- -,- -,- -,7092,17000,78428,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,15944,16113,11304,21771,35435,12610,13919,17149,21321,57632,35358,37237,88821,179963,133
37,Total Current Assets,10000,150000,200000,721463,64513,12422,395964,70101,92388,84688,51634,32442,58226,505988,41238,146970,202182,4187
38,PP&E,- -,- -,10000,11832,31537,18624,15709,9809,4280,- -,- -,- -,6131,1638,882,126,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166000,166000,166000,166000,166000,166
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1379943,1299714,1219484,1139255,1059026,990
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1545943,1465714,1385484,1305255,1225026,1156
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,100000,97249,74293,34021,2315,2315,2315,27770,5440,2315,2315,2315,2315,3575,18946,16
45,Total Non-Current Assets,- -,- -,110000,109081,105830,52645,18024,12124,6595,27770,5440,2315,1554389,1469667,1388681,1308956,1243972,1172
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10000,150000,310000,830544,170343,65067,413988,82225,98983,112458,57074,34757,1612615,1975655,1429919,1455926,1446154,5359
48,Accounts Payable,- -,- -,- -,484513,1135887,844530,203590,698131,324473,140410,384639,823695,351143,- -,597843,615815,- -,- -
49,Short-Term Debt,- -,- -,- -,700000,504500,564261,403445,- -,660840,612744,405791,183402,114259,1373222,1797064,39138,46580,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,380000,380000,970000,8854,66423,355265,542536,31530,23205,210135,216470,366451,88924,1037280,494311,- -,396019,307
53,Total Current Liabilities,380000,380000,970000,1193367,1706810,1764056,1149571,729661,1008518,963289,1006900,1373548,554326,2410502,2889218,654953,442599,307
54,Long-Term Debt,- -,160000,230000,558375,675279,93168,400878,113444,73665,- -,- -,- -,1054325,124422,- -,120508,266598,1188
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-10000,- -,- -,- -,489769,485649,485649,485649,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,160000,220000,558375,675279,93168,890647,599093,559314,485649,- -,- -,1054325,124422,- -,120508,266598,1188
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,380000,540000,1190000,1751742,2382089,1857224,2040218,1328754,1567832,1448938,1006900,1373548,1608651,2534924,2889218,775461,709197,1495
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,39,71,69,1381,69,69,69,69,- -
63,Common Stock,10000,20000,20000,25425,31503,68738,151508,230501,9187,49638,107935,274191,296351,13357,13695,38704,42750,51
64,Retained Earnings,-1410000,-2000000,-3470000,-7398529,-11010079,-12576914,-14100651,-16421120,-18522822,-20004871,-21258575,-22158990,-880104,-2593337,-3639808,-5494193,-7339175,-13482
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1674,-11648,-12404,-13160,- -,- -
66,Other Total Stockholders Equity,1030000,1590000,2570000,6451906,8766830,10716019,12322913,14944090,17044786,18618714,20200743,20545939,588010,2032290,2179149,6149045,8033313,17295
67,Total Stockholders Equity,-370000,-390000,-880000,-921198,-2211746,-1792157,-1626230,-1246529,-1468849,-1336480,-949826,-1338791,3964,-559269,-1459299,680465,736957,3864
68,Total Liabilities And Stockholders Equity,10000,150000,310000,830544,170343,65067,413988,82225,98983,112458,57074,34757,1612615,1975655,1429919,1455926,1446154,5359
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0
70,Total Liabilities & Equity,10000,150000,310000,830544,170343,65067,413988,82225,98983,112458,57074,34757,1612615,1975655,1429919,1455926,1446154,5359
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1375195/000114420408019374/0001144204-08-019374-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1375195/000114420410017666/0001144204-10-017666-index.html,https://www.sec.gov/Archives/edgar/data/1375195/000114420411019278/0001144204-11-019278-index.html,https://www.sec.gov/Archives/edgar/data/1375195/000114420412020555/0001144204-12-020555-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000114420413018259/0001144204-13-018259-index.html,https://www.sec.gov/Archives/edgar/data/1375195/000114420414019106/0001144204-14-019106-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1375195/000114420416091408/0001144204-16-091408-index.html,https://www.sec.gov/Archives/edgar/data/1375195/000114420417020528/0001144204-17-020528-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000143774918006075/0001437749-18-006075-index.html,https://www.sec.gov/Archives/edgar/data/1375195/000143774919007111/0001437749-19-007111-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000143774920006868/0001437749-20-006868-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000143774921005962/0001437749-21-005962-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000143774922006796/0001437749-22-006796-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-620000,-590000,-1470000,-3928996,-3611550,-1566835,-1523737,-2320469,-2101702,-1482049,-1253704,-900415,-744851,-1713233,-1046471,-1854385,-1844982,-6268939
74,Depreciation and Amortization,- -,- -,- -,1734,- -,7052,6165,6230,5529,4280,- -,- -,28395,94009,80986,80985,80355,81429
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,249947,285600,248147,295350,108500,60001,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,400000,140000,-540000,298096,-1170393,-109337,998027,94047,-256570,37529,-76665,-385840,845006,-1408414,-943466,2339997,267566,244297
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-9908,3972,13028,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5930
81,Other Working Capital,-370000,-230000,-770000,-471904,-1642297,-1751634,-753607,-659560,-916130,-878601,-955266,-1341106,-496100,-1904514,-2847980,-507983,-240417,3880
82,Other Non-Cash Items,80000,-20000,670000,1174590,2875780,1129237,-241537,816155,746169,81951,571455,1083763,-701350,2192804,1273790,-1179056,144159,4828983
83,Cash Provided by Operating Activities,-140000,-470000,-1340000,-2454576,-1906163,-539883,-511135,-1118437,-1358427,-1062939,-650414,-142491,-572800,-834834,-635161,-612459,-1352902,-1114230
84,CAPEX,- -,- -,-10000,-8756,-25363,- -,-3250,-998,- -,- -,- -,- -,-20000,-2268,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75687,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000,2500,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-10000,-8756,-25363,- -,-3250,-998,- -,- -,- -,- -,60687,232,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-120520,-140680,-57347,- -,- -,- -,-117129,-69709,-90505
91,Common Stock Issued,- -,- -,- -,743920,528194,492601,479490,770000,789111,969810,539310,54710,- -,- -,- -,- -,- -,323223
92,Common Stock Repurchased,150000,450000,620000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,160000,780000,2222500,746213,- -,400878,- -,553000,283068,215500,121764,503896,1304638,168532,783736,1386681,4924627
95,Cash Used/Provided by Financing Activities,150000,610000,1400000,2966420,1274407,492601,880368,770000,1342111,1132358,614130,119127,503896,1304638,168532,666607,1316972,5157345
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,10000,140000,60000,503088,-657119,-47282,365983,-349435,-16316,69419,-36284,-23364,-8217,470036,-466629,54148,-35930,4031108
98,Cash at the End of Period,10000,150000,210000,705519,48400,1118,367101,17666,1350,70769,34485,11121,594,470630,4001,58149,22219,4053327
99,Cash at the Beginning of Period,- -,10000,150000,202431,705519,48400,1118,367101,17666,1350,70769,34485,8811,594,470630,4001,58149,22219
100,Free Cash Flow,-140000,-470000,-1350000,-2463332,-1931526,-539883,-514385,-1119435,-1358427,-1062939,-650414,-142491,-592800,-837102,-635161,-612459,-1352902,-1114230
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1375195/000114420408019374/0001144204-08-019374-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1375195/000114420410017666/0001144204-10-017666-index.html,https://www.sec.gov/Archives/edgar/data/1375195/000114420411019278/0001144204-11-019278-index.html,https://www.sec.gov/Archives/edgar/data/1375195/000114420412020555/0001144204-12-020555-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000114420413018259/0001144204-13-018259-index.html,https://www.sec.gov/Archives/edgar/data/1375195/000114420414019106/0001144204-14-019106-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1375195/000114420416091408/0001144204-16-091408-index.html,https://www.sec.gov/Archives/edgar/data/1375195/000114420417020528/0001144204-17-020528-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000143774918006075/0001437749-18-006075-index.html,https://www.sec.gov/Archives/edgar/data/1375195/000143774919007111/0001437749-19-007111-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000143774920006868/0001437749-20-006868-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000143774921005962/0001437749-21-005962-index.htm,https://www.sec.gov/Archives/edgar/data/1375195/000143774922006796/0001437749-22-006796-index.htm
102,false,,,,,,,,,,,,,,,,,,
