,https://roic.ai/company/PETQ,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,205687000,200162000,266687000,528614000,709431000,780051000,932528000
2,COGS,166529000,167615000,215493000,445326000,602048000,644863000,746135000
3,Gross Profit,39158000,32547000,51194000,83288000,107383000,135188000,186393000
4,Gross Profit Ratio,0.1904,0.1626,0.1920,0.1576,0.1514,0.1733,0.1999
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,35588000,31845000,37905000,72260000,103200000,138375000,170521000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",35588000,31845000,37905000,72260000,103200000,138375000,170521000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,35588000,31845000,37905000,72260000,103200000,138375000,170521000
11,COGS and Expenses,202117000,199460000,253398000,517586000,705248000,783238000,916656000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),3545000,3058000,1563000,8022000,14495000,26299000,24696000
14,Depreciation and Amortization,3140000,4074000,3614000,12467000,16509000,30975000,39300000
15,EBITDA,6710000,3734000,5654000,19046000,16242000,32016000,51898000
16,EBITDA ratio,0.0326,0.0187,0.0212,0.0360,0.0229,0.0410,0.0557
17,Operating Income,3570000,702000,13289000,7748000,-3137000,-3187000,15872000
18,Operating Income ratio,0.0174,0.0035,0.0498,0.0147,-0.0044,-0.0041,0.0170
19,Total Other Income Expenses (Gains),-4919000,-4097000,-1502000,-8322000,-14474000,-25619000,-28386000
20,Income Before Tax,-1349000,-3395000,11787000,-574000,-17611000,-28806000,-12514000
21,Income Before Tax Ratio,-0.0066,-0.0170,0.0442,-0.0011,-0.0248,-0.0369,-0.0134
22,Income Tax expense (Gain),- -,- -,3970000,-661000,-3309000,52216000,3869000
23,Net Income,- -,-3398000,-3493000,-782000,-11453000,-77474000,-15967000
24,Net Income ratio,- -,-0.0170,-0.0131,-0.0015,-0.0161,-0.0993,-0.0171
25,EPS,- -,-0.10,-0.26,-0.05,-0.51,-3.15,-0.57
26,EPS Diluted,- -,-0.10,-0.26,-0.05,-0.51,-3.15,-0.57
27,Weighted Average Shares Outstanding,12285083,12285083,13222583,17215978,22652000,24629000,28242000
28,Weighted Average Shares Outstanding Diluted,12285083,12285083,13222583,17215978,22652000,24629000,28242000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1668673/000155837018002008/0001558370-18-002008-index.htm,https://www.sec.gov/Archives/edgar/data/1668673/000155837019001855/0001558370-19-001855-index.htm,https://www.sec.gov/Archives/edgar/data/1668673/000155837020002428/0001558370-20-002428-index.htm,https://www.sec.gov/Archives/edgar/data/1668673/000155837021002058/0001558370-21-002058-index.htm,https://www.sec.gov/Archives/edgar/data/1668673/000155837022002584/0001558370-22-002584-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,3250000,767000,37896000,66360000,27272000,33456000,79406000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3250000,767000,37896000,66360000,27272000,33456000,79406000
34,Net Receivables,14512000,17195000,21759000,45007000,71377000,102755000,113947000
35,Inventory,33685000,34232000,44056000,92142000,79703000,97773000,96440000
36,Other Current Assets,8871000,4343000,5164000,4212000,7071000,8312000,8896000
37,Total Current Assets,60318000,56537000,108875000,207721000,185423000,242296000,298689000
38,PP&E,12960000,13044000,15000000,27335000,73310000,83268000,97102000
39,Goodwill,5580000,4619000,5064000,125029000,231045000,231158000,231110000
40,Intangible Assets,5576000,4054000,3266000,88546000,119956000,213000000,190662000
41,Intangible Assets,11156000,8673000,8330000,213575000,351001000,444158000,421772000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,5994000,43946000,59780000,- -,- -
44,Other Non-Current Assets,7901000,3076000,2646000,2857000,3214000,1870000,2024000
45,Total Non-Current Assets,32017000,24793000,31970000,287713000,487305000,529296000,520898000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,92335000,81330000,140845000,495434000,672728000,771592000,819587000
48,Accounts Payable,9210000,9333000,14234000,54768000,51538000,68131000,55057000
49,Short-Term Debt,- -,- -,151000,2251000,3821000,7794000,14850000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1955000,3742000,3806000,7177000,17655000,25173000,28195000
53,Total Current Liabilities,11165000,13075000,18191000,64196000,73014000,101098000,98102000
54,Long-Term Debt,32052000,25158000,17183000,107418000,251376000,355948000,465806000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2843000,2115000,627000,2842000,20028000,20524000,459000
58,Total Non-Current Liabilities,34895000,27273000,17810000,110260000,271404000,376472000,466265000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,395000,434000,389000,2319000,24530000,24042000,23836000
61,Total Liabilities,46060000,40348000,36001000,174456000,344418000,477570000,564367000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,21000,29000,28000,29000,29000
64,Retained Earnings,- -,- -,-3493000,-4450000,-15903000,-93377000,-114525000
65,Other Comprehensive Income/Loss,-3657000,-5146000,-1000000,-1000000,-1000000,-686,-684000
66,Other Total Stockholders Equity,- -,- -,71186000,261903000,299989000,355756686,- -
67,Total Stockholders Equity,- -,- -,66714000,256482000,283114000,262408000,252826000
68,Total Liabilities And Stockholders Equity,46060000,40348000,102715000,430938000,627532000,739978000,817193000
69,Minority Interest,46275000,40982000,38130000,64496000,45196000,31614000,2394000
70,Total Liabilities & Equity,92335000,81330000,140845000,495434000,672728000,771592000,819587000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1668673/000155837018002008/0001558370-18-002008-index.htm,https://www.sec.gov/Archives/edgar/data/1668673/000155837019001855/0001558370-19-001855-index.htm,https://www.sec.gov/Archives/edgar/data/1668673/000155837020002428/0001558370-20-002428-index.htm,https://www.sec.gov/Archives/edgar/data/1668673/000155837021002058/0001558370-21-002058-index.htm,https://www.sec.gov/Archives/edgar/data/1668673/000155837022002584/0001558370-22-002584-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,- -,-3398000,-3493000,-782000,-11453000,-77474000,-15967000
74,Depreciation and Amortization,3140000,4074000,3614000,12467000,16509000,30975000,39300000
75,Deferred Income Tax,- -,- -,3690000,-843000,-3458000,51511000,3487000
76,Stock Based Compensation,- -,- -,447000,3812000,7355000,9170000,9428000
77,Change in Working Capital,-9383000,-5691000,47222000,52841000,-31116000,28789000,-16568000
78,Accounts Receivable,-1907000,-2216000,-4313000,-14209000,-14123000,-31652000,-11197000
79,Inventory,-10399000,-542000,-9718000,-36610000,30448000,-17846000,1283000
80,Accounts Payable,6114000,104000,4152000,15701000,-7595000,17435000,-12131000
81,Other Working Capital,49153000,43462000,90684000,143525000,112409000,141198000,- -
82,Other Non-Cash Items,-172000,4089000,-45598000,-79908000,42996000,-47572000,4087000
83,Cash Provided by Operating Activities,-6415000,-926000,5882000,-12413000,20833000,-4601000,23767000
84,CAPEX,-1550000,-2041000,-4131000,-7178000,-10276000,-118464000,-31270000
85,Acquisitions Net,- -,- -,- -,-93000000,-185000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,12000,1000,- -,177000,250000,-95630000,5132000
89,Cash Used for Investing Activites,-1538000,-2040000,-4131000,-100001000,-195026000,-118022000,-26138000
90,Debt Repayment,-218914000,-243945000,-326534000,-468166000,-678056000,-840038000,-598997000
91,Common Stock Issued,- -,- -,104010000,73914000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-55960000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,228721000,244637000,313855000,535222000,813115000,968802000,647331000
95,Cash Used/Provided by Financing Activities,9807000,692000,35371000,140970000,135059000,128764000,48334000
96,Effect of Forex Changes on Cash,26000,-209000,7000,-92000,46000,43000,-13000
97,Net Change In Cash,1880000,-2483000,37129000,28464000,-39088000,6184000,45950000
98,Cash at the End of Period,3250000,767000,37896000,66360000,27272000,33456000,79406000
99,Cash at the Beginning of Period,1370000,3250000,767000,37896000,66360000,27272000,33456000
100,Free Cash Flow,-7965000,-2967000,1751000,-19591000,10557000,-123065000,-7503000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1668673/000155837018002008/0001558370-18-002008-index.htm,https://www.sec.gov/Archives/edgar/data/1668673/000155837019001855/0001558370-19-001855-index.htm,https://www.sec.gov/Archives/edgar/data/1668673/000155837020002428/0001558370-20-002428-index.htm,https://www.sec.gov/Archives/edgar/data/1668673/000155837021002058/0001558370-21-002058-index.htm,https://www.sec.gov/Archives/edgar/data/1668673/000155837022002584/0001558370-22-002584-index.htm
102,false,,,,,,,
