,https://roic.ai/company/HPE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,61042000000,57371000000,55123000000,52107000000,50123000000,28871000000,30852000000,29135000000,26982000000,27784000000
2,COGS,44143000000,41630000000,39486000000,37168000000,35507000000,20177000000,21560000000,19642000000,18513000000,18408000000
3,Gross Profit,16899000000,15741000000,15637000000,14939000000,14616000000,8694000000,9292000000,9493000000,8469000000,9376000000
4,Gross Profit Ratio,0.2768,0.2744,0.2837,0.2867,0.2916,0.3011,0.3012,0.3258,0.3139,0.3375
5,Research and Development Exp.,2120000000,1956000000,2197000000,2338000000,2298000000,1486000000,1663000000,1842000000,1874000000,1979000000
6,General and Administrative Exp.,- -,- -,- -,8025000000,7821000000,5063000000,4946000000,4936000000,4624000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,8025000000,7821000000,5063000000,4946000000,4936000000,4624000000,4929000000
9,Other Expenses,10319000000,9829000000,9623000000,852000000,438000000,324000000,1648000000,-110000000,480000000,289000000
10,Operating Expenses,12439000000,11785000000,11820000000,11215000000,10557000000,6873000000,8257000000,6668000000,6978000000,7197000000
11,COGS and Expenses,56582000000,53415000000,51306000000,48383000000,46064000000,27050000000,29817000000,26310000000,25491000000,25605000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,211000000
14,Depreciation and Amortization,4858000000,4396000000,4144000000,3947000000,3775000000,3051000000,2576000000,2535000000,2625000000,2597000000
15,EBITDA,-9456000000,7267000000,6388000000,5417000000,7854000000,3231000000,2740000000,4088000000,2183000000,6395000000
16,EBITDA ratio,-0.1549,0.1267,0.1159,0.1040,0.1567,0.1119,0.0888,0.1403,0.0809,0.2302
17,Operating Income,-14139000000,2952000000,2335000000,1523000000,4150000000,625000000,1858000000,1274000000,-329000000,1132000000
18,Operating Income ratio,-0.2316,0.0515,0.0424,0.0292,0.0828,0.0216,0.0602,0.0437,-0.0122,0.0407
19,Total Other Income Expenses (Gains),-175000000,-81000000,-91000000,-53000000,-71000000,-353000000,-1590000000,279000000,-113000000,2455000000
20,Income Before Tax,-14314000000,2871000000,2244000000,1470000000,4079000000,272000000,268000000,1553000000,-442000000,3587000000
21,Income Before Tax Ratio,-0.2345,0.0500,0.0407,0.0282,0.0814,0.0094,0.0087,0.0533,-0.0164,0.1291
22,Income Tax expense (Gain),447000000,820000000,596000000,-991000000,918000000,-164000000,-1744000000,504000000,-120000000,160000000
23,Net Income,-14761000000,2051000000,1648000000,2461000000,3161000000,344000000,1908000000,1049000000,-322000000,3427000000
24,Net Income ratio,-0.2418,0.0357,0.0299,0.0472,0.0631,0.0119,0.0618,0.0360,-0.0119,0.1233
25,EPS,-8.03,1.14,0.76,1.36,1.84,0.21,1.25,0.78,-0.25,2.74
