,https://roic.ai/company/PGNY,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,48584000,105400000,229683000,344858000,500621000
2,COGS,41184000,85966000,184178000,274799000,388486000
3,Gross Profit,7400000,19434000,45505000,70059000,112135000
4,Gross Profit Ratio,0.1523,0.1844,0.1981,0.2032,0.2240
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,14147000,15601000,23927000,46705000,59616000
7,Selling and Marketing Exp.,4258000,7285000,11901000,15006000,20179000
8,"Selling, General and Administrative Exp.",18405000,22886000,35828000,61711000,79795000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,18405000,22886000,35828000,61711000,79795000
11,COGS and Expenses,59589000,108852000,220006000,336510000,468281000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,-58000,121000,461000
14,Depreciation and Amortization,1559000,1883000,2133000,1906000,1301000
15,EBITDA,-10896000,767000,-6482000,10706000,34197000
16,EBITDA ratio,-0.2243,0.0073,-0.0282,0.0310,0.0683
17,Operating Income,-11005000,-3452000,9677000,8348000,32340000
18,Operating Income ratio,-0.2265,-0.0328,0.0421,0.0242,0.0646
19,Total Other Income Expenses (Gains),-1454000,-3441000,-18234000,331000,95000
20,Income Before Tax,-12459000,-6893000,-8557000,8679000,32435000
21,Income Before Tax Ratio,-0.2564,-0.0654,-0.0373,0.0252,0.0648
22,Income Tax expense (Gain),-3000,-1777000,12000,-37780000,-33334000
23,Net Income,-12452000,661000,-8569000,46459000,65769000
24,Net Income ratio,-0.2563,0.0063,-0.0373,0.1347,0.1314
25,EPS,-0.19,-0.08,-0.41,0.54,0.73
26,EPS Diluted,-0.19,-0.08,-0.41,0.47,0.66
27,Weighted Average Shares Outstanding,70592652,71499944,20735202,85722670,89571226
28,Weighted Average Shares Outstanding Diluted,81561714,71499944,20735202,99055526,100370331
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1551306/000155837020002258/0001558370-20-002258-index.htm,https://www.sec.gov/Archives/edgar/data/1551306/000155837021002082/0001558370-21-002082-index.htm,https://www.sec.gov/Archives/edgar/data/1551306/000155837022002466/0001558370-22-002466-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,4691000,127000,80382000,70305000,91413000
32,Short-Term Investments,- -,- -,- -,38994000,28005000
33,Cash and Short-Term Investments,4691000,127000,80382000,109299000,119418000
34,Net Receivables,11373000,23325000,47059000,75664000,134557000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,706000,1085000,5003000,5259000,4564000
37,Total Current Assets,16770000,24537000,132444000,190222000,258539000
38,PP&E,597000,776000,3083000,12068000,12832000
39,Goodwill,11880000,11880000,11880000,11880000,11880000
40,Intangible Assets,5342000,3859000,2375000,1213000,599000
41,Intangible Assets,17222000,15739000,14255000,13093000,12479000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,37971000,71274000
44,Other Non-Current Assets,372000,272000,652000,573000,2941000
45,Total Non-Current Assets,18191000,16787000,17990000,63705000,99526000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,34961000,41324000,150434000,253927000,358065000
48,Accounts Payable,5130000,15578000,19388000,43514000,61399000
49,Short-Term Debt,- -,- -,- -,- -,1231000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,12640000,14624000,16775000,34272000,36194000
53,Total Current Liabilities,17770000,30202000,36163000,77786000,98824000
54,Long-Term Debt,1632000,- -,- -,8318000,7419000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,4869000,- -,- -,876000,- -
58,Total Non-Current Liabilities,6501000,- -,- -,9194000,7419000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,8318000,8650000
61,Total Liabilities,24271000,30202000,36163000,86980000,106243000
62,Preferred Stock,108312000,106237000,- -,- -,- -
63,Common Stock,1000,1000,8000,9000,9000
64,Retained Earnings,-104556000,-104854000,-113483000,-68193000,-2424000
65,Other Comprehensive Income/Loss,-83000,-483000,-1133000,1000,-93000
66,Other Total Stockholders Equity,7016000,10221000,228879000,235130000,- -
67,Total Stockholders Equity,10690000,11122000,114271000,166947000,251822000
68,Total Liabilities And Stockholders Equity,34961000,41324000,150434000,253927000,358065000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,34961000,41324000,150434000,253927000,358065000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1551306/000155837020002258/0001558370-20-002258-index.htm,https://www.sec.gov/Archives/edgar/data/1551306/000155837021002082/0001558370-21-002082-index.htm,https://www.sec.gov/Archives/edgar/data/1551306/000155837022002466/0001558370-22-002466-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-12452000,661000,-8569000,46459000,65769000
74,Depreciation and Amortization,1559000,1883000,2133000,1906000,1301000
75,Deferred Income Tax,-3000,-1777000,12000,-37971000,-33303000
76,Stock Based Compensation,1559000,2997000,5061000,12821000,33706000
77,Change in Working Capital,-1425000,-4665000,-19954000,7351000,-51257000
78,Accounts Receivable,-2044000,-12776000,-25342000,-35336000,-68676000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-909000,10448000,3501000,25008000,17840000
81,Other Working Capital,-1000000,-5665000,-380000,605000,-3280000
82,Other Non-Cash Items,1288000,3173000,19783000,5637000,9821000
83,Cash Provided by Operating Activities,-9474000,2272000,-1534000,36203000,26037000
84,CAPEX,-612000,-579000,-2956000,-1037000,-2129000
85,Acquisitions Net,- -,- -,- -,- -,- -
