,https://roic.ai/company/VAC,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,1596000000,1584000000,1624000000,1639000000,- -,1750000000,1736000000,2000000000,1951945000,2968000000,4355000000,2886000000,3890000000
2,COGS,1043000000,999000000,827000000,804000000,- -,830000000,817000000,1075000000,1172275000,1868000000,2588000000,2157000000,2437000000
3,Gross Profit,553000000,585000000,797000000,835000000,- -,920000000,919000000,925000000,779670000,1100000000,1767000000,729000000,1453000000
4,Gross Profit Ratio,0.3465,0.3693,0.4908,0.5095,- -,0.5257,0.5294,0.4625,0.3994,0.3706,0.4057,0.2526,0.3735
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,88000000,82000000,304000000,371000000,- -,412000000,397000000,351705000,110225000,198000000,300000000,154000000,227000000
7,Selling and Marketing Exp.,413000000,344000000,342000000,330000000,- -,316000000,315000000,353295000,408715000,527000000,762000000,419000000,617000000
8,"Selling, General and Administrative Exp.",501000000,426000000,646000000,701000000,- -,728000000,712000000,705000000,518940000,725000000,1062000000,573000000,844000000
9,Other Expenses,623000000,15000000,370000000,96000000,- -,49000000,49000000,20000000,- -,62000000,141000000,123000000,146000000
10,Operating Expenses,1124000000,441000000,1016000000,797000000,- -,777000000,761000000,725000000,518940000,787000000,1203000000,696000000,990000000
11,COGS and Expenses,2167000000,1440000000,1843000000,1601000000,- -,1607000000,1578000000,1800000000,1691215000,2655000000,3791000000,2853000000,3427000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,56000000,47000000,58000000,- -,-13000000,-12000000,-9000000,34789000,54000000,132000000,150000000,164000000
14,Depreciation and Amortization,42000000,35000000,33000000,30000000,- -,23000000,19000000,21044000,21494000,62000000,141000000,123000000,146000000
15,EBITDA,-710000000,203000000,-137000000,119000000,- -,141000000,158000000,210044000,282166000,222000000,494000000,-86000000,433000000
16,EBITDA ratio,-0.4449,0.1282,-0.0844,0.0726,- -,0.0806,0.0910,0.1050,0.1446,0.0748,0.1134,-0.0298,0.1113
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-192000000,-32000000,2000000,-7000000,- -,-12000000,-7000000,-2000000,-34847000,-210000000,-339000000,-373000000,-662000000
20,Income Before Tax,-763000000,112000000,-217000000,31000000,- -,131000000,151000000,198000000,225883000,103000000,225000000,-340000000,127000000
