,https://roic.ai/company/SYNL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,49900000,49100000,50100000,77900000,89900000,100000000,90300000,101800000,103400000,114500000,147300000,126800000,- -,126700000,107300000,114000000,91100000,85500000,- -,80400000,128926790,152047386,155700000,- -,167300000,103600000,170575298,166200000,196800000,- -,175460438,138565782,201147682,280841419,305168000,256000000,334715000
2,COGS,44200000,43400000,43000000,62300000,71000000,81200000,74800000,82800000,85600000,92500000,109700000,105700000,- -,107000000,95100000,100900000,78700000,77300000,- -,72000000,112145371,129323082,130100000,- -,148700000,94200000,149485455,146400000,177000000,- -,150141663,121661303,173066732,229604080,274395000,233348000,273949000
3,Gross Profit,5700000,5700000,7100000,15600000,18900000,18800000,15500000,19000000,17800000,22000000,37600000,21100000,- -,19700000,12200000,13100000,12400000,8200000,- -,8400000,16781419,22724304,25600000,- -,18600000,9400000,21089843,19800000,19800000,- -,25318775,16904479,28080950,51237339,30773000,22652000,60766000
4,Gross Profit Ratio,0.1142,0.1161,0.1417,0.2003,0.2102,0.1880,0.1717,0.1866,0.1721,0.1921,0.2553,0.1664,- -,0.1555,0.1137,0.1149,0.1361,0.0959,- -,0.1045,0.1302,0.1495,0.1644,- -,0.1112,0.0907,0.1236,0.1191,0.1006,- -,0.1443,0.1220,0.1396,0.1824,0.1008,0.0885,0.1815
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11100000,9100000,- -,10000000,10100000,11200000,10600000,10200000,- -,8200000,- -,- -,10100000,- -,9700000,8800000,- -,12400000,16000000,- -,5226000,- -,- -,445000,- -,28718000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27691874,- -,- -,- -
8,"Selling, General and Administrative Exp.",5900000,6200000,5000000,6500000,6700000,7100000,6900000,7700000,7600000,8300000,11100000,9100000,- -,10000000,10100000,11182420,10572009,10176414,- -,12131785,10369188,10562498,11706485,- -,10933874,8786544,12284478,14140355,17387857,- -,22058509,22672872,24874589,28136874,32627000,28718000,30144000
9,Other Expenses,1300000,1500000,1500000,1400000,1400000,1500000,1500000,1600000,1700000,2000000,2300000,-0,- -,- -,1400000,2417580,1827991,4923586,- -,-3431785,1701950,-595600,-1606485,- -,-1233874,-86544,- -,-840355,-2187857,- -,- -,2371778,-334273,-779273,- -,3105000,- -
10,Operating Expenses,7200000,7700000,6500000,7900000,8100000,8600000,8400000,9300000,9300000,10300000,13400000,9100000,- -,10000000,11500000,13600000,12400000,15100000,- -,8700000,12071138,9966898,10100000,- -,9700000,8700000,12284478,13300000,15200000,- -,22058509,25044650,24540316,27357601,32627000,31823000,30144000
11,COGS and Expenses,51400000,51100000,49500000,70200000,79100000,89800000,83200000,92100000,94900000,102800000,123100000,114800000,- -,117000000,106600000,114500000,91100000,92400000,- -,80700000,124216509,139289980,140200000,- -,158400000,102900000,161769933,159700000,192200000,- -,172200172,146705953,197607048,256961681,307022000,265171000,304093000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),600000,600000,- -,700000,600000,800000,600000,600000,500000,600000,900000,800000,- -,- -,700000,1184208,918035,846188,- -,996003,919812,793884,1153413,- -,684943,350400,140784,600893,1357328,- -,1232285,932572,985366,2210506,3818000,2110000,- -
14,Depreciation and Amortization,1300000,1500000,1500000,1400000,1400000,1500000,1500000,1600000,1700000,2000000,2300000,2700000,- -,3500000,3500000,4068937,3378362,3379581,- -,3072098,2861923,2671864,2634066,- -,2745738,2331531,2631864,2831718,5113952,- -,6754912,6611421,7403539,8440904,11064000,10600000,7547000
15,EBITDA,500000,-3500000,1600000,9100000,12300000,11700000,8500000,11100000,9800000,11400000,26500000,15400000,- -,12500000,4300000,3553145,3796397,-3074231,- -,1205668101,11008686,15429902,5212887479,- -,2505430681,135881931,11522808,9738611,8669280,- -,-1734139,-1747308,9867406,27125049,11119000,-19263000,25721000
16,EBITDA ratio,0.0100,-0.0713,0.0319,0.1168,0.1368,0.1170,0.0941,0.1090,0.0948,0.0996,0.1799,0.1215,- -,0.0987,0.0401,0.0312,0.0417,-0.0360,- -,14.9959,0.0854,0.1015,33.4803,- -,14.9757,1.3116,0.0676,0.0586,0.0441,- -,-0.0099,-0.0126,0.0491,0.0966,0.0364,-0.0752,0.0768
17,Operating Income,-1500000,-2000000,600000,7700000,10800000,10200000,7100000,9700000,8500000,11700000,24200000,12000000,- -,9700000,800000,-543427,11885,-6899766,- -,-1744646,6412231,12757406,16456966,- -,8943367,702235,8805365,7788008,1814227,- -,-13151720,-8246398,2745651,21237259,-1708000,-31067000,27348000
18,Operating Income ratio,-0.0301,-0.0407,0.0120,0.0988,0.1201,0.1020,0.0786,0.0953,0.0822,0.1022,0.1643,0.0946,- -,0.0766,0.0075,-0.0048,0.0001,-0.0807,- -,-0.0217,0.0497,0.0839,0.1057,- -,0.0535,0.0068,0.0516,0.0469,0.0092,- -,-0.0750,-0.0595,0.0136,0.0756,-0.0056,-0.1214,0.0817
19,Total Other Income Expenses (Gains),100000,-3800000,- -,-700000,-500000,-800000,-700000,-800000,-900000,-2900000,-900000,-100000,- -,-700000,-700000,-1156573,-511885,-200234,- -,844646,866133,-793252,-2056966,- -,-943367,-302235,-55205,-1888008,2285773,- -,4681442,-945569,-1267150,-4763620,-2055000,-906000,-29419000
20,Income Before Tax,-1400000,-5800000,- -,7000000,10300000,9400000,6400000,8900000,7600000,8800000,23300000,11900000,- -,9000000,100000,-1700000,-500000,-7100000,- -,-900000,7278364,11964154,14400000,- -,8000000,400000,8750160,5900000,4100000,- -,-8470278,-9191967,1478501,16473639,-3763000,-31973000,-2071000
21,Income Before Tax Ratio,-0.0281,-0.1181,- -,0.0899,0.1146,0.0940,0.0709,0.0874,0.0735,0.0769,0.1582,0.0938,- -,0.0710,0.0009,-0.0149,-0.0055,-0.0830,- -,-0.0112,0.0565,0.0787,0.0925,- -,0.0478,0.0039,0.0513,0.0355,0.0208,- -,-0.0483,-0.0663,0.0074,0.0587,-0.0123,-0.1249,-0.0062
22,Income Tax expense (Gain),-300000,-1100000,- -,2200000,3900000,3600000,2400000,3300000,2800000,3100000,8800000,4200000,- -,3200000,- -,-600000,-200000,-2500000,- -,1203000000,2131000,4356000,5199000000,- -,2496000000,133000000,2953000,2106000,398000,- -,1799000,-2198000,137139,3376210,-727000,-4706000,-2071000
23,Net Income,-1100000,-4500000,100000,4800000,6400000,5800000,4000000,5600000,4800000,5700000,14500000,7700000,- -,5800000,100000,-1100000,-300000,-4800000,- -,-1400000,5095951,7608154,10100000,- -,6000000,200000,5797160,4200000,1800000,- -,-11520336,-7093301,1341362,13097429,-3036000,-27267000,20245000
24,Net Income ratio,-0.0220,-0.0916,0.0020,0.0616,0.0712,0.0580,0.0443,0.0550,0.0464,0.0498,0.0984,0.0607,- -,0.0458,0.0009,-0.0096,-0.0033,-0.0561,- -,-0.0174,0.0395,0.0500,0.0649,- -,0.0359,0.0019,0.0340,0.0253,0.0091,- -,-0.0657,-0.0512,0.0067,0.0466,-0.0099,-0.1065,0.0605
25,EPS,-0.06,-0.23,0.00,0.31,0.30,0.30,0.24,0.51,0.44,0.52,1.98,1.09,- -,0.84,0.01,-0.18,-0.05,-0.81,- -,-0.24,0.84,1.24,1.63,- -,0.96,0.03,0.92,6342000.67,0.27,- -,-1.18,-0.82,0.15,1.49,-0.34,-3.00,2.22
26,EPS Diluted,-0.06,-0.23,0.00,0.31,0.30,0.30,0.24,0.51,0.44,0.52,1.98,1.09,- -,0.83,0.01,-0.18,-0.05,-0.81,- -,-0.24,0.83,1.22,1.60,- -,0.95,0.03,0.91,6342000.67,0.27,- -,-1.18,-0.82,0.15,1.48,-0.34,-3.00,2.22
27,Weighted Average Shares Outstanding,8630000,8586000,8639000,8658000,8673000,7573000,7009000,10789474,10909091,10961538,7323232,7064220,- -,6904762,7058824,6018522,6362680,5979122,- -,5919367,6066608,6135608,6211512,- -,6245344,6261805,6313418,6356733,6942000,- -,8710000,8649745,8704730,8807000,8983000,9099000,9099000
28,Weighted Average Shares Outstanding Diluted,8630000,8586000,8639000,8658000,8673000,7573000,7009000,10789474,10909091,10961538,7337662,7078652,- -,6987952,7058824,6018522,6362680,5979122,- -,5980528,6139700,6236192,6327978,- -,6281124,6269430,6362088,6356733,6947000,- -,8710000,8649745,8727487,8878000,8983000,9099000,9099000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/95953/000009595399000008/0000095953-99-000008-index.html,- -,https://www.sec.gov/Archives/edgar/data/95953/000009595302000008/edgar2001-10ktest1.htm,https://www.sec.gov/Archives/edgar/data/95953/000009595303000003/edgar2002-10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/95953/000009595304000007/edgar2003-10k.htm,https://www.sec.gov/Archives/edgar/data/95953/000009595306000009/synl10-k2005.htm,- -,https://www.sec.gov/Archives/edgar/data/95953/000009595308000010/body.htm,undefined,https://www.sec.gov/Archives/edgar/data/95953/000009595309000008/0000095953-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595310000005/0000095953-10-000005-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595312000007/0000095953-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595313000008/0000095953-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595314000014/syn-20131228x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/95953/000009595316000165/0000095953-16-000165-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595317000027/0000095953-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595318000031/0000095953-18-000031-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595319000043/0000095953-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595320000021/0000095953-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/95953/000009595321000032/0000095953-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/95953/000009595322000037/0000095953-22-000037-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,800000,1000000,300000,200000,400000,100000,100000,500000,- -,300000,100000,- -,1600000,100000,- -,- -,- -,- -,- -,2379,21413,- -,- -,100000,14100000,110138,1100000,1800000,- -,391424,62873,14706,2220272,626000,236000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,800000,1000000,300000,200000,400000,100000,100000,500000,- -,300000,100000,- -,1600000,100000,- -,- -,- -,- -,- -,2379,21413,- -,- -,100000,14100000,110138,1100000,1800000,- -,391424,62873,14706,2220272,626000,236000,- -
34,Net Receivables,7000000,6500000,9500000,7900000,10700000,12500000,9700000,11800000,13800000,14800000,17600000,17300000,- -,15200000,12600000,13500000,11400000,12800000,- -,11800000,21862852,22428829,19900000,- -,17800000,14000000,26582279,31200000,29900000,- -,17788131,18028946,28704481,41065251,35074000,28183000,50126000
35,Inventory,10100000,8600000,13400000,19100000,20700000,20400000,21800000,23600000,24300000,28000000,38500000,29900000,- -,27400000,26100000,28900000,25300000,19800000,- -,18500000,24482327,41545462,48800000,- -,39000000,25500000,43062738,50200000,51500000,- -,63815635,60799509,72125181,114201386,98186000,85080000,103249000
36,Other Current Assets,500000,200000,100000,200000,1200000,600000,900000,700000,800000,600000,400000,300000,- -,900000,900000,1900000,1500000,1000000,- -,9900000,1646728,2100740,2700000,- -,11300000,3300000,4882880,8400000,16400000,- -,2943236,18612457,6802072,9983416,13229000,13384000,6604000
37,Total Current Assets,17600000,16100000,24000000,27500000,32800000,33900000,32500000,36200000,39400000,43400000,56800000,47600000,- -,45100000,39700000,44300000,38200000,33600000,- -,40200000,47994286,66096444,71400000,- -,68200000,56900000,74638035,90900000,99600000,- -,84938426,97503785,107646440,167470325,147115000,126883000,159979000
38,PP&E,9200000,8100000,7400000,6700000,8400000,10300000,11500000,12600000,14000000,16200000,20300000,23600000,- -,23100000,25500000,22600000,25500000,21200000,- -,18400000,18697760,18951820,20900000,- -,15200000,15800000,18713524,28000000,32700000,- -,46294271,27324092,35080009,40924455,76462000,66865000,74531000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,2400000,2354730,18300000,17300000,- -,1354730,1354730,6003525,9799992,17558000,1355000,12637000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8500000,6900000,- -,14745825,12308838,10880521,9696112,15714000,11426000,14382000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,2400000,2354730,26800000,24200000,- -,16100555,13663568,16884046,19496104,33272000,12781000,27019000
