,https://roic.ai/company/SYNH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,655986000,868600000,995090000,1178799000,1399239000,1610596000,2672064000,4390116000,4675815000,4415777000,5212970000
2,COGS,498821000,678511000,774933000,884130000,1026903000,1206892000,2051244000,3434310000,3645905000,- -,3994484000
3,Gross Profit,157165000,190089000,220157000,294669000,372336000,403704000,620820000,955806000,1029910000,4415777000,1218486000
4,Gross Profit Ratio,0.2396,0.2188,0.2212,0.2500,0.2661,0.2507,0.2323,0.2177,0.2203,1.0000,0.2337
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,156609000,172386000,282620000,406305000,446281000,442484000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,156609000,172386000,282620000,406305000,446281000,442484000,570765000
9,Other Expenses,159199000,188239000,176363000,199686000,56014000,59204000,179936000,273685000,242465000,3680150000,235625000
10,Operating Expenses,159199000,188239000,176363000,199686000,212623000,231590000,462556000,679990000,688746000,4122634000,806390000
11,COGS and Expenses,658020000,866750000,951296000,1083816000,1239526000,1438482000,2513800000,4114300000,4334651000,4122634000,4800874000
12,Interest Income ,151000,239000,310000,249000,192000,216000,1182000,3686000,7542000,265000,111000
13,Interest Expense (Gain),65633000,62246000,60799000,53036000,15640000,12016000,63725000,130701000,129820000,-91145000,79252000
14,Depreciation and Amortization,64136000,78811000,58473000,54543000,56014000,59204000,179936000,273685000,242465000,222352000,235625000
15,EBITDA,35611000,46199000,88592000,79375000,202628000,205338000,131784000,461644000,473994000,334865000,630037000
16,EBITDA ratio,0.0543,0.0532,0.0890,0.0673,0.1448,0.1275,0.0493,0.1052,0.1014,0.0758,0.1209
17,Operating Income,-40195000,-37530000,31458000,63644000,152360000,155359000,-28866000,160182000,237754000,293143000,389280000
18,Operating Income ratio,-0.0613,-0.0432,0.0316,0.0540,0.1089,0.0965,-0.0108,0.0365,0.0508,0.0664,0.0747
19,Total Other Income Expenses (Gains),-53963000,-57328000,-62138000,-91848000,-21386000,-21241000,-83011000,-102924000,-136045000,-89485000,-74120000
20,Income Before Tax,-94158000,-94858000,-30680000,-28204000,130974000,134118000,-111877000,57258000,101709000,203658000,315160000
21,Income Before Tax Ratio,-0.1435,-0.1092,-0.0308,-0.0239,0.0936,0.0833,-0.0419,0.0130,0.0218,0.0461,0.0605
22,Income Tax expense (Gain),-34611000,-35744000,10849000,-4734000,13927000,21488000,26592000,32974000,-29549000,10871000,80329000
23,Net Income,-59547000,-59114000,-41529000,-23470000,117047000,112630000,-138469000,24284000,131258000,192787000,234831000
24,Net Income ratio,-0.0908,-0.0681,-0.0417,-0.0199,0.0837,0.0699,-0.0518,0.0055,0.0281,0.0437,0.0450
25,EPS,-1.23,-1.15,-0.09,-0.51,2.02,2.08,-1.85,0.23,1.27,1.85,2.25
