,https://roic.ai/company/DHT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,36601000,38837000,31733000,66192000,135966249,103535000,86793000,81427000,114603000,102576000,89681000,100123000,97194000,87012000,150789000,365114000,356009000,355052000,375942000,535067000,691039000,295853000
2,COGS,- -,- -,- -,- -,- -,15600914,18108000,18690000,19423000,21409000,30034000,30221000,38247000,74178000,76509000,137218000,207357000,211544000,282490000,341167000,381411000,346997000,298851000
3,Gross Profit,- -,- -,- -,- -,- -,120365335,85427000,68103000,62004000,93194000,72542000,59460000,61876000,23016000,10503000,13571000,157757000,144465000,72562000,34775000,153656000,344042000,-2998000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.8853,0.8251,0.7847,0.7615,0.8132,0.7072,0.6630,0.6180,0.2368,0.1207,0.0900,0.4321,0.4058,0.2044,0.0925,0.2872,0.4979,-0.0101
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,6505000,2389000,3775000,4766000,4588000,7869000,9152000,9788000,8827000,18062000,21606000,19391000,17179000,15052000,14790000,17890000,16565000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,6505000,2389000,3775000,4766000,4588000,7869000,9152000,9788000,8827000,18062000,21606000,19391000,17179000,15052000,14790000,17890000,16565000
9,Other Expenses,- -,- -,- -,- -,- -,25030692,17940000,16915000,17271000,25948000,26762000,28392000,30278000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4612000
10,Operating Expenses,- -,- -,- -,- -,- -,25030692,24445000,19304000,21046000,30714000,31350000,36261000,39430000,9788000,8827000,18062000,21606000,19391000,17179000,15052000,14790000,17890000,11953000
11,COGS and Expenses,- -,- -,- -,- -,- -,40631606,42553000,37994000,40469000,52123000,61384000,66482000,77677000,83966000,85336000,155280000,228963000,230935000,299669000,356219000,396201000,364887000,310804000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,1572000,298000,131000,91000,272000,182000,409000,141000,66000,140000,345000,1077000,212000,6000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,21904000,18130000,13478000,7347000,7330000,4784000,14286000,33637000,35070000,40109000,54211000,55332000,38408000,25727000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,17808131,18414000,17074000,17437000,26137000,26762000,28391000,30527000,32404000,26939000,45124000,78698000,84340000,96758000,103476000,115584000,124245000,128639000
15,EBITDA,- -,6115000,8444000,-4763000,29431000,104498149,71524000,52824000,44900000,90189000,61738000,48279000,-2217000,-54159000,27804000,72383000,217765000,128765000,143600000,110843000,244726000,429819000,143205000
16,EBITDA ratio,- -,0.1671,0.2174,-0.1501,0.4446,0.7686,0.6908,0.6086,0.5514,0.7870,0.6019,0.5383,-0.0221,-0.5572,0.3195,0.4800,0.5964,0.3617,0.4044,0.2948,0.4574,0.6220,0.4840
17,Operating Income,- -,17662000,17292000,3017000,35364000,95334643,60982000,48799000,40958000,62480000,41192000,23199000,-33554000,-89504000,1007000,27408000,135343000,40514000,43303000,16297000,138867000,313591000,202000
18,Operating Income ratio,- -,0.4826,0.4452,0.0951,0.5343,0.7012,0.5890,0.5622,0.5030,0.5452,0.4016,0.2587,-0.3351,-0.9209,0.0116,0.1818,0.3707,0.1138,0.1220,0.0433,0.2595,0.4538,0.0007
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-8644625,-7872000,-13049000,-13495000,-20332000,-6514000,-16789000,-6537000,-4388000,-4926000,-14435000,-29913000,-31160000,-36570000,-63142000,-65055000,-46410000,-11349000
20,Income Before Tax,- -,- -,- -,- -,- -,86690018,53110000,35750000,27463000,42148000,- -,6410000,-40091000,-93892000,-3919000,12973000,105430000,9354000,6733000,-46845000,73812000,267181000,-11147000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,0.6376,0.5130,0.4119,0.3373,0.3678,- -,0.0715,-0.4004,-0.9660,-0.0450,0.0860,0.2888,0.0263,0.0190,-0.1246,0.1379,0.3866,-0.0377
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33000,181000,161000,207000,86000,128000,95000,131000,83000,131000,900000,360000
23,Net Income,- -,6115000,8444000,-4763000,29431000,86690018,53110000,35750000,27463000,42148000,16846000,6377000,-40272000,-94054000,-4126000,12887000,105302000,9260000,6602000,-46927000,73679000,266266000,-11521000
