,https://roic.ai/company/FULO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1915638,2301012,2425016,2121882,2260768,2378805,1769071,1895568,1886551,1804358,1687945,1873874,1594232,1626860,1754251,1878437,1947451,1889613,2070480,2420924,3502499,4135516
2,COGS,755117,946642,932709,627963,345791,468680,482869,556853,556834,590087,573011,538864,483184,437012,460876,391418,352163,169656,247679,320609,502504,741127
3,Gross Profit,1160521,1354370,1492307,1493919,1914977,1910125,1286202,1338715,1329717,1214271,1114934,1335010,1111048,1189848,1293375,1487019,1595288,1719957,1822801,2100315,2999995,3394389
4,Gross Profit Ratio,0.6058,0.5886,0.6154,0.7041,0.8470,0.8030,0.7270,0.7062,0.7048,0.6730,0.6605,0.7124,0.6969,0.7314,0.7373,0.7916,0.8192,0.9102,0.8804,0.8676,0.8565,0.8208
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,1279779,1320215,1369228,1334285,1371259,1321857,1381572,1228533,1246363,1318810,1394203,1492413,1557489,1623242,1820736,1882443,2260891,1723131
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,488065
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,1279779,1320215,1369228,1334285,1371259,1321857,1381572,1228533,1246363,1318810,1394203,1492413,1557489,1623242,1820736,1882443,2260891,2211196
9,Other Expenses,3319411,3741729,1942870,1578170,407462,431315,309193,310208,252338,217842,62317,54267,31694,29087,40165,32876,28530,17783,16836,15788,511473,10213
10,Operating Expenses,3319411,3741729,1942870,1578170,1687241,1751530,1678421,1644493,1623597,1539699,1443889,1282800,1278057,1347897,1434368,1525289,1586019,1641025,1837572,1898231,2772364,2221409
11,COGS and Expenses,4074528,4688371,2875579,2206133,2033032,2220210,2161290,2201346,2180431,2129786,2016900,1821664,1761241,1784909,1895244,1916707,1938182,1810681,2085251,2218840,2772364,2221409
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
