,https://roic.ai/company/MOGO,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,23400269,43531699,49869746,48681000,61277000,59805000,44245000,57519000
2,COGS,8575641,16405960,19160798,15872000,22426000,18787000,8748000,11480000
3,Gross Profit,14824628,27125739,30708948,32809000,38851000,41018000,35497000,46039000
4,Gross Profit Ratio,0.6335,0.6231,0.6158,0.6740,0.6340,0.6859,0.8023,0.8004
5,Research and Development Exp.,3903746,7595776,10114373,11373000,14747000,14989000,12989000,10667000
6,General and Administrative Exp.,10752348,19311091,17564758,17554000,19560000,20271000,16538000,28480000
7,Selling and Marketing Exp.,4641933,10792022,6723914,6854000,8772000,9412000,4831000,16474000
8,"Selling, General and Administrative Exp.",15394281,30103113,24288672,24408000,28332000,29683000,21369000,44954000
9,Other Expenses,- -,- -,- -,- -,- -,- -,-3201000,24353000
10,Operating Expenses,19298027,37698889,34403045,35781000,43079000,44672000,31157000,79974000
11,COGS and Expenses,27873668,54104849,53563843,51653000,65505000,63459000,39905000,91454000
12,Interest Income ,1318007,8064212,15593366,18187000,- -,- -,- -,- -
13,Interest Expense (Gain),7428572,9726809,12380059,14681000,17389000,19787000,13327000,9202000
14,Depreciation and Amortization,1404083,1693195,2043387,3488000,7062000,8049000,8414000,12736000
15,EBITDA,-4235020,-9928112,-2668056,-1561000,2429000,17011000,8296000,-11503000
16,EBITDA ratio,-0.1810,-0.2281,-0.0535,-0.0321,0.0396,0.2844,0.1875,-0.2000
17,Operating Income,-4473399,-10573150,-3694097,-2972000,-4228000,-3654000,1139000,-35532000
18,Operating Income ratio,-0.1912,-0.2429,-0.0741,-0.0611,-0.0690,-0.0611,0.0257,-0.6177
19,Total Other Income Expenses (Gains),-8594276,-10774966,-13397405,-16758000,-17794000,-7171000,-14584000,2091000
20,Income Before Tax,-13067675,-21348116,-17091502,-19730000,-22022000,-10825000,-13445000,-33441000
21,Income Before Tax Ratio,-0.5584,-0.4904,-0.3427,-0.4053,-0.3594,-0.1810,-0.3039,-0.5814
22,Income Tax expense (Gain),5252,3352,515,-1000,- -,- -,- -,-232000
23,Net Income,-13072927,-21351468,-17092017,-19729000,-22022000,-10825000,-13445000,-33209000
24,Net Income ratio,-0.5587,-0.4905,-0.3427,-0.4053,-0.3594,-0.1810,-0.3039,-0.5774
25,EPS,-0.72,-1.63,-0.94,-1.07,-0.97,-0.42,-0.47,-0.53
26,EPS Diluted,-0.72,-1.63,-0.94,-1.07,-0.97,-0.42,-0.47,-0.53
27,Weighted Average Shares Outstanding,18162432,13132745,18251248,18381000,22714000,25773810,28873000,63005000
28,Weighted Average Shares Outstanding Diluted,18162432,13132745,18251248,18381000,22714000,25773810,28873000,63005000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,23598672,31723854,18624141,40560000,20439000,10417000,12119000,69208000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,23598672,31723854,18624141,40560000,20439000,10417000,12119000,69208000
34,Net Receivables,20630190,63384719,62032960,73803000,86347000,88655000,47227000,61220000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1126467,1143387,1379790,1827000,3501000,3248000,2994000,4914000
37,Total Current Assets,45355329,96251960,82036891,116190000,110287000,102320000,62340000,135342000
38,PP&E,598323,4239017,3921686,3206000,3016000,6594000,4771000,4616000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,70112000
40,Intangible Assets,3455900,6851448,12248522,14897000,18658000,21257000,18912000,52304000
41,Intangible Assets,3455900,6851448,12248522,14897000,18658000,21257000,18912000,122416000
42,Investments,1453516,1616353,157500,343000,- -,20790000,18445000,123627000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-1453516,-1616353,662202,67000,273000,137000,- -,7866000
45,Total Non-Current Assets,4054223,11090465,16989910,18513000,21947000,48778000,42128000,258525000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,49409552,107342425,99026801,134703000,132234000,151098000,104468000,393867000
48,Accounts Payable,- -,- -,- -,- -,9651000,7128000,3291000,4960000
49,Short-Term Debt,12818716,40384293,45943335,57110000,75934000,76472000,37644000,44983000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3625956,5057202,5594432,7468000,- -,4126000,4552000,15823000
53,Total Current Liabilities,16444672,45441495,51537767,64578000,85585000,87726000,45487000,65766000
54,Long-Term Debt,39185245,40326022,40092033,52544000,53406000,61620000,53745000,43742000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,1894000
