,https://roic.ai/company/IIN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,29200000,28600000,38800000,41000000,51400000,54600000,40300000,27600000,52300000,73700000,71200000,103400000,111200000,99600000,102800000,116287345,86309803,64591800,36202164,35182612,44455251,51725952,68983380,65555056,51675653,58697000,56058000,63933000,52961000,68303000,69739000,68009000,88310000,116462000,113493000,102773000,125206000
2,COGS,24900000,20700000,27400000,31300000,39000000,40100000,27800000,20000000,38700000,50100000,49300000,78100000,84200000,73000000,77300000,88702717,66973503,52451768,27985314,27313566,32853426,39304003,51738573,49509290,40624599,43684000,43392000,48957000,40792000,49819000,50736000,50937000,61819000,79299000,82507000,76598000,93821000
3,Gross Profit,4300000,7900000,11400000,9700000,12400000,14500000,12500000,7600000,13600000,23600000,21900000,25300000,27000000,26600000,25500000,27584628,19336300,12140032,8216850,7869046,11601825,12421949,17244807,16045766,11051054,15013000,12666000,14976000,12169000,18484000,19003000,17072000,26491000,37163000,30986000,26175000,31385000
4,Gross Profit Ratio,0.1473,0.2762,0.2938,0.2366,0.2412,0.2656,0.3102,0.2754,0.2600,0.3202,0.3076,0.2447,0.2428,0.2671,0.2481,0.2372,0.2240,0.1880,0.2270,0.2237,0.2610,0.2401,0.2500,0.2448,0.2139,0.2558,0.2259,0.2342,0.2298,0.2706,0.2725,0.2510,0.3000,0.3191,0.2730,0.2547,0.2507
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1762466,1486743,1817384,2122594,3088770,3247767,3344939,4485000,4876000,4694000,4181000,4832000,5214000,4688000,4458000,4671000,3830000,5248000,5315000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14400000,15000000,16300000,17900000,17400000,18047470,17143105,- -,- -,- -,- -,- -,- -,6795607,5374126,5801000,5797000,5958000,5789000,6462000,7104000,9154000,10339000,13009000,13933000,15007000,16579000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3958758,2961720,3133000,3185000,3324000,3308000,3699000,3919000,4700000,9447000,12369000,11498000,6671000,8275000
8,"Selling, General and Administrative Exp.",4900000,6900000,6800000,7400000,6700000,8100000,8500000,8600000,9700000,14700000,14400000,15000000,16300000,17900000,17400000,18047470,17143105,16828247,8871145,9415937,8363187,8332044,10892717,10754365,8335846,8934000,8982000,9282000,9097000,10161000,11023000,13854000,19786000,25378000,25431000,21678000,24854000
9,Other Expenses,300000,400000,600000,600000,600000,700000,700000,900000,1300000,2700000,2800000,2800000,3500000,3800000,4000000,3983505,- -,3,378864,-2621413,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1153000,729000
10,Operating Expenses,5200000,7300000,7400000,8000000,7300000,8800000,9200000,9500000,11000000,17400000,17200000,17800000,19800000,21700000,21400000,22030975,17143105,16828250,11012475,8281267,10180571,10454638,13981487,14002132,11680785,13419000,13858000,13976000,13278000,14993000,16237000,18542000,24244000,30049000,29261000,28079000,30898000
11,COGS and Expenses,30100000,28000000,34800000,39300000,46300000,48900000,37000000,29500000,49700000,67500000,66500000,95900000,104000000,94700000,98700000,110733692,84116608,69280018,38997789,35594833,43033997,49758641,65720060,63511422,52305384,57103000,57250000,62933000,54070000,64812000,66973000,69479000,86063000,109348000,111768000,104677000,124719000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19889,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,702217,836592,655000,609000,755000,600000,461000,369000,553000,716000,314000,- -,- -,21000
14,Depreciation and Amortization,300000,400000,600000,600000,600000,700000,700000,900000,1300000,2700000,2800000,2800000,3500000,3800000,4000000,3983505,4025394,2945699,2708010,2455757,2069170,1849354,2127568,2425704,2470156,2601000,2258000,2150000,2450000,2182000,1755000,2041000,2194000,2943000,3277000,4622000,5541000
15,EBITDA,-400000,600000,1900000,2000000,5600000,7500000,6700000,-4500000,3600000,7700000,6500000,9300000,9900000,7700000,6700000,8746669,381840,-19361829,-1755267,3694571,4007280,3186326,4175479,4429589,-647592,3762000,1282000,3778000,-2895000,5319000,4371000,-1776000,4720000,9288000,-299000,2159000,5591000
16,EBITDA ratio,-0.0137,0.0210,0.0490,0.0488,0.1089,0.1374,0.1663,-0.1630,0.0688,0.1045,0.0913,0.0899,0.0890,0.0773,0.0652,0.0752,0.0044,-0.2998,-0.0485,0.1050,0.0901,0.0616,0.0605,0.0676,-0.0125,0.0641,0.0229,0.0591,-0.0547,0.0779,0.0627,-0.0261,0.0534,0.0798,-0.0026,0.0210,0.0447
17,Operating Income,-900000,600000,4000000,1700000,5100000,5700000,3300000,-1900000,2600000,6200000,4700000,7500000,7200000,4900000,4100000,5553653,2193195,-4688218,-2795625,-412221,1421254,1967311,3263320,2043634,-629731,1594000,-1192000,1000000,-1338000,3408000,2766000,-1602000,2247000,7114000,-2040000,-3075000,487000
18,Operating Income ratio,-0.0308,0.0210,0.1031,0.0415,0.0992,0.1044,0.0819,-0.0688,0.0497,0.0841,0.0660,0.0725,0.0647,0.0492,0.0399,0.0478,0.0254,-0.0726,-0.0772,-0.0117,0.0320,0.0380,0.0473,0.0312,-0.0122,0.0272,-0.0213,0.0156,-0.0253,0.0499,0.0397,-0.0236,0.0254,0.0611,-0.0180,-0.0299,0.0039
19,Total Other Income Expenses (Gains),200000,-400000,-2700000,-300000,-100000,1100000,2700000,100000,-300000,-1200000,-1000000,-1000000,-800000,-1000000,-1400000,-790489,-561819,-233826,-654715,-402028,-250374,-552349,-1215409,-741966,-1206071,-794000,-393000,-127000,-735000,-462000,-630000,-1155000,-1083000,-1083000,177000,647000,-416000
20,Income Before Tax,- -,200000,1300000,1400000,5000000,6800000,6000000,-1800000,2300000,5000000,3700000,6500000,6400000,3900000,2700000,4763164,1631376,-4922044,-3450340,-814249,1170880,1414962,2047911,1301668,-1835802,800000,-1585000,873000,-2073000,2946000,2136000,-2757000,1164000,6031000,-1863000,-2428000,71000
21,Income Before Tax Ratio,- -,0.0070,0.0335,0.0341,0.0973,0.1245,0.1489,-0.0652,0.0440,0.0678,0.0520,0.0629,0.0576,0.0392,0.0263,0.0410,0.0189,-0.0762,-0.0953,-0.0231,0.0263,0.0274,0.0297,0.0199,-0.0355,0.0136,-0.0283,0.0137,-0.0391,0.0431,0.0306,-0.0405,0.0132,0.0518,-0.0164,-0.0236,0.0006
22,Income Tax expense (Gain),- -,300000,600000,1000000,2100000,2500000,1600000,-400000,1000000,1900000,1400000,2400000,2000000,300000,1000000,1827378,973761,-753037,510988,1143948,409423,174460,180673,264067,-33819,145000,-160000,164000,217000,428000,19000,217000,8000,484000,201000,61000,135000
23,Net Income,-700000,-100000,700000,400000,2900000,4300000,4400000,-5000000,1300000,3100000,2300000,4100000,4400000,3600000,1700000,2935786,-4617315,-21554491,-4974265,94866,1528687,1162512,1867238,1037601,-3920521,361000,-1425000,709000,-6162000,2248000,2228000,-4587000,1802000,5547000,-3777000,-2524000,-106000
24,Net Income ratio,-0.0240,-0.0035,0.0180,0.0098,0.0564,0.0788,0.1092,-0.1812,0.0249,0.0421,0.0323,0.0397,0.0396,0.0361,0.0165,0.0252,-0.0535,-0.3337,-0.1374,0.0027,0.0344,0.0225,0.0271,0.0158,-0.0759,0.0062,-0.0254,0.0111,-0.1163,0.0329,0.0319,-0.0674,0.0204,0.0476,-0.0333,-0.0246,-0.0008
25,EPS,-0.07,-0.01,0.07,0.04,0.29,0.73,0.63,-0.69,0.19,0.40,0.29,0.78,0.84,0.69,0.33,0.57,-0.90,-4.21,-0.97,0.02,0.30,0.23,0.36,0.20,-0.73,0.07,-0.25,0.13,-1.08,0.39,0.38,-0.71,0.26,0.73,-0.43,-0.28,-0.01
26,EPS Diluted,-0.07,-0.01,0.07,0.04,0.29,0.73,0.63,-0.69,0.19,0.40,0.29,0.77,0.82,0.68,0.33,0.57,-0.90,-4.21,-0.97,0.02,0.29,0.22,0.34,0.19,-0.73,0.07,-0.25,0.12,-1.08,0.37,0.36,-0.71,0.25,0.64,-0.43,-0.28,-0.01
27,Weighted Average Shares Outstanding,9545455,10000000,10000000,10000000,10000000,5863636,7021277,7211538,6666667,5189593,5189593,5256410,5238095,5217391,5151515,5150502,5130350,5119832,5128108,4743300,5095623,5054400,5186772,5314387,5394125,5484000,5599000,5669000,5699000,5791000,5907000,6497000,6852000,7599000,8748000,8894000,9082000
28,Weighted Average Shares Outstanding Diluted,9545455,10000000,10000000,10000000,10000000,5863636,7021277,7211538,6666667,5189593,5189593,5301724,5365854,5294118,5151515,5150502,5130350,5119832,5128108,4743300,5271334,5284145,5491876,5539456,5394125,5535000,5599000,5888000,5699000,6038000,6241000,6497000,7307000,8630000,8748000,8894000,9082000
