,https://roic.ai/company/MDIA,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,44557000,40800000,39261000,55493000
2,COGS,- -,33094000,4303000,- -,3925000
3,Gross Profit,- -,11463000,36497000,39261000,51568000
4,Gross Profit Ratio,- -,0.2573,0.8945,1.0000,0.9293
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,31126000,4338000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,31126000,4338000,- -
9,Other Expenses,- -,1117000,1080000,36622000,46111000
10,Operating Expenses,- -,1117000,32206000,40960000,46111000
11,COGS and Expenses,- -,34211000,36509000,40960000,50036000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,821000,9493000,-11100000
14,Depreciation and Amortization,- -,1117000,1080000,4081000,3925000
15,EBITDA,- -,11448000,5371000,2382000,-12899000
16,EBITDA ratio,- -,0.2569,0.1316,0.0607,-0.2324
17,Operating Income,- -,10346000,4291000,-1699000,5457000
18,Operating Income ratio,- -,0.2322,0.1052,-0.0433,0.0983
19,Total Other Income Expenses (Gains),- -,-15000,-821000,-9493000,-11181000
20,Income Before Tax,- -,10331000,3470000,-11192000,-5724000
21,Income Before Tax Ratio,- -,0.2319,0.0850,-0.2851,-0.1031
22,Income Tax expense (Gain),- -,8331000,1522000,15561000,358000
23,Net Income,- -,2000000,1948000,-26753000,-6082000
24,Net Income ratio,- -,0.0449,0.0477,-0.6814,-0.1096
25,EPS,- -,0.28,0.27,-4.07,-0.86
26,EPS Diluted,- -,0.28,0.27,-4.07,-0.86
27,Weighted Average Shares Outstanding,- -,7026420,7096460,7094000,7094000
28,Weighted Average Shares Outstanding Diluted,- -,7026420,7096460,7094000,7094000
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1784254/000156459020013603/0001564590-20-013603-index.htm,https://www.sec.gov/Archives/edgar/data/1784254/000156459021016257/0001564590-21-016257-index.htm,https://www.sec.gov/Archives/edgar/data/1784254/000156459022011571/0001564590-22-011571-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,- -,2083000,4171000,6121000
32,Short-Term Investments,- -,- -,77478000,- -,- -
33,Cash and Short-Term Investments,- -,- -,79561000,4171000,6121000
34,Net Receivables,- -,7916000,11101000,8508000,13756000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1172000,-74569000,2521000,1764000
37,Total Current Assets,- -,9088000,16093000,15200000,21641000
38,PP&E,- -,3311000,57902000,27650000,48196000
39,Goodwill,- -,- -,11424000,13102000,13102000
40,Intangible Assets,- -,64318000,67525000,63999000,142029000
41,Intangible Assets,- -,64318000,78949000,77101000,155131000
42,Investments,- -,- -,-77400522,- -,- -
43,Tax Assets,- -,9271000,- -,- -,2069000
44,Other Non-Current Assets,- -,243000,91622522,- -,-149007000
45,Total Non-Current Assets,- -,77143000,151073000,104751000,56389000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,86231000,167166000,119951000,78030000
48,Accounts Payable,- -,1117000,809000,2557000,- -
49,Short-Term Debt,- -,- -,- -,26935000,6555000
50,Tax Payable,- -,- -,850,- -,- -
51,Deferred Revenue,- -,723000,1688000,1535000,- -
52,Other Current Liabilities,- -,1905000,18282000,46715000,7428000
53,Total Current Liabilities,- -,3745000,20779000,77742000,13983000
54,Long-Term Debt,- -,- -,77668000,68819000,114436000
55,Deferred Revenue,- -,- -,- -,- -,2069000
56,Deferred Tax Liabilities,- -,- -,13863000,- -,2069000
57,Other Non-Current Liabilities,- -,2195000,14982000,221000,5214000
58,Total Non-Current Liabilities,- -,2195000,106513000,69040000,123788000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,23749000,- -
61,Total Liabilities,- -,5940000,127292000,133101000,137771000
62,Preferred Stock,- -,- -,- -,24258000,- -
63,Common Stock,- -,- -,71000,18000,85000
64,Retained Earnings,- -,- -,-2951000,- -,-40686000
65,Other Comprehensive Income/Loss,- -,-13607000,-14273000,- -,- -
66,Other Total Stockholders Equity,- -,93898000,57027000,-11026000,40601000
67,Total Stockholders Equity,- -,80291000,39874000,13250000,-59741000
68,Total Liabilities And Stockholders Equity,- -,86231000,167166000,146351000,78030000
69,Minority Interest,- -,- -,- -,-26400000,- -
70,Total Liabilities & Equity,- -,86231000,167166000,119951000,78030000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1784254/000156459020013603/0001564590-20-013603-index.htm,https://www.sec.gov/Archives/edgar/data/1784254/000156459021016257/0001564590-21-016257-index.htm,https://www.sec.gov/Archives/edgar/data/1784254/000156459022011571/0001564590-22-011571-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,- -,2000000,1948000,-26753000,-6082000
74,Depreciation and Amortization,- -,1117000,1080000,4081000,3925000
75,Deferred Income Tax,- -,- -,- -,15561000,358000
76,Stock Based Compensation,- -,- -,219000,- -,3650000
77,Change in Working Capital,- -,25000,-10601000,-57856000,70200000
78,Accounts Receivable,- -,333000,-1679000,1896000,-5319000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-1439000,1624000,-8761000,640000
81,Other Working Capital,- -,5343000,-4686000,-62542000,7658000
82,Other Non-Cash Items,- -,8048000,10967000,55324000,-69111000
83,Cash Provided by Operating Activities,- -,11190000,3613000,-9643000,2940000
84,CAPEX,- -,-672000,-89000,-409000,-1403000
85,Acquisitions Net,- -,- -,- -,- -,- -
