,https://roic.ai/company/GTXO,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,424166,250000,430000,660000,370000,150000,138340,449250,703570,538390,687040,1500810,1059270,589440
2,COGS,- -,- -,334482,170000,220000,560000,290000,90000,74840,300040,346410,209770,213000,193490,1197926,668372
3,Gross Profit,- -,- -,89684,80000,210000,100000,80000,60000,63500,149210,357160,328620,474040,1307320,-138656,-78932
4,Gross Profit Ratio,- -,- -,0.2114,0.3200,0.4884,0.1515,0.2162,0.4000,0.4590,0.3321,0.5076,0.6104,0.6900,0.8711,-0.1309,-0.1339
5,Research and Development Exp.,- -,- -,371924,110000,70000,10000,- -,- -,- -,- -,- -,49130,25160,- -,- -,- -
6,General and Administrative Exp.,20000,- -,3107068,2138250,1814532,1551002,1191064,978579,1035773,1438945,1279906,1266444,1427092,1109297,1059428,582865
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44446,40940,10701,28091,75391
8,"Selling, General and Administrative Exp.",20000,- -,3107068,2138250,1814532,1551002,1191064,978579,1035773,1438945,1279906,1310890,1468032,1119998,1087519,658256
9,Other Expenses,- -,55383,- -,-3289,-2063,232,- -,- -,- -,- -,- -,-4,3,- -,- -,- -
10,Operating Expenses,20000,55383,3478992,2244961,1882469,1561234,1191064,978579,1035773,1438945,1279906,1360016,1493195,1119998,1087519,658256
11,COGS and Expenses,20000,60000,3813474,2420000,2100000,2110000,1570000,1220000,1633950,1633790,1668080,1569790,1706200,1285990,2285445,1159800
12,Interest Income ,- -,- -,50661,37562,636,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,227,62636,- -,1257,90761,- -,227610,8158,108661,67200,75128,617450,277433,73405,112358
14,Depreciation and Amortization,- -,- -,34484,102970,179638,196437,102139,65366,7747,3172,40935,62446,73356,41244,25526,- -
15,EBITDA,-20000,-60000,-3304163,-2027030,-1499105,-1182802,-1117861,-1207024,-1787585,-1167877,-1112225,-1128766,-1067374,-267653,-269476,-1763100
16,EBITDA ratio,-Infinity,-Infinity,-7.7898,-8.1081,-3.4863,-1.7921,-3.0212,-8.0468,-12.9217,-2.5996,-1.5808,-2.0966,-1.5536,-0.1783,-0.2544,-2.9911
17,Operating Income,-20000,-60078,-3389308,-2162959,-1678758,-1459874,-1218338,-952009,-982280,-1289729,-922743,-1031401,-1019152,187324,-627212,-904546
18,Operating Income ratio,-Infinity,-Infinity,-7.9905,-8.6518,-3.9041,-2.2119,-3.2928,-6.3467,-7.1005,-2.8708,-1.3115,-1.9157,-1.4834,0.1248,-0.5921,-1.5346
19,Total Other Income Expenses (Gains),- -,78,- -,32959,-1242,-10126,-1662,-547991,-821210,10019,-297617,-234939,-739028,-773654,258805,-970912
20,Income Before Tax,-20000,-60000,- -,-2130000,-1680000,-1470000,-1220000,-1500000,-1803490,-1279710,-1220360,-1266340,-1758180,-586330,-368407,-1875458
21,Income Before Tax Ratio,-Infinity,-Infinity,- -,-8.5200,-3.9070,-2.2273,-3.2973,-10.0000,-13.0366,-2.8485,-1.7345,-2.3521,-2.5591,-0.3907,-0.3478,-3.1818
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-20000,-60000,-3401283,-2130000,-1680000,-1470000,-1220000,-1500000,-1803490,-1279710,-1220360,-1266340,-1758180,-586330,-368407,-1875458
24,Net Income ratio,-Infinity,-Infinity,-8.0188,-8.5200,-3.9070,-2.2273,-3.2973,-10.0000,-13.0366,-2.8485,-1.7345,-2.3521,-2.5591,-0.3907,-0.3478,-3.1818
25,EPS,-0.03,-0.08,-7.50,-3.75,-3.00,-1.50,-1.50,-0.75,-0.75,-0.30,-0.22,-0.15,-0.08,-0.01,-0.00,-0.02
26,EPS Diluted,-0.03,-0.08,-7.50,-3.75,-3.00,-1.50,-1.50,-0.75,-0.75,-0.30,-0.22,-0.15,-0.08,-0.01,-0.00,-0.02
27,Weighted Average Shares Outstanding,600000,604429,450374,523389,577404,811723,1052567,1404824,2176885,4248861,5524673,8188117,21241479,69472678,109772603,109772603
28,Weighted Average Shares Outstanding Diluted,600000,604429,450374,523389,577404,811723,1052567,1404824,2176885,4248861,5524673,8188117,21241479,69472678,109772603,109772603
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1375793/000114420410017686/0001144204-10-017686-index.html,- -,https://www.sec.gov/Archives/edgar/data/1375793/000114420412018583/0001144204-12-018583-index.html,https://www.sec.gov/Archives/edgar/data/1375793/000156066413000064/0001560664-13-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000156066414000023/0001560664-14-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000107878215000587/0001078782-15-000587-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000107878216002648/0001078782-16-002648-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000149315217003273/0001493152-17-003273-index.html,https://www.sec.gov/Archives/edgar/data/1375793/000149315218004695/0001493152-18-004695-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000149315219005454/0001493152-19-005454-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000149315220005236/0001493152-20-005236-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000149315221007548/0001493152-21-007548-index.htm,https://www.sec.gov/Archives/edgar/data/1375793/000149315222009687/0001493152-22-009687-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,80000,30000,706873,450000,70000,90000,30000,60000,12170,7870,95430,1450,69860,125200,76912,138342
32,Short-Term Investments,- -,- -,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,340,59220,4166,2465
33,Cash and Short-Term Investments,80000,30000,2206873,450000,70000,90000,30000,60000,12170,7870,95430,1450,70200,184420,81078,140807
34,Net Receivables,- -,- -,36630,10000,30000,130000,10000,- -,31130,40980,56710,93130,97570,47820,40484,13735
35,Inventory,- -,- -,36862,- -,90000,140000,- -,- -,100370,57640,110950,57840,22570,36190,114137,98258
36,Other Current Assets,- -,- -,29408,40000,10000,10000,10000,40000,15560,55450,20610,60150,3480,10390,54593,55016
37,Total Current Assets,80000,30000,2309773,500000,200000,370000,50000,100000,159230,161940,283700,212570,193820,278820,290292,307816
38,PP&E,- -,- -,151220,250000,310000,300000,110000,10000,3120,131790,135300,116230,58390,18400,7878,92461
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,10000,10000,30000,30000,80000,121600,15000,18470,17520,16260,15000,- -,- -
41,Intangible Assets,- -,- -,- -,10000,10000,30000,30000,80000,121600,15000,18470,17520,16260,15000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31875,3230,344,59224,4166,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,19745,- -,- -,- -,-10000,- -,- -,10,-5,10,-344,-59224,- -,- -
45,Total Non-Current Assets,- -,- -,170965,260000,320000,330000,130000,90000,124720,146800,185640,136990,74650,33400,12044,92461
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,80000,30000,2480738,760000,520000,700000,180000,190000,283950,308740,469340,349560,268470,312220,302336,400277
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,191200,305760,297780,246550,203130,182610,156886
49,Short-Term Debt,- -,- -,- -,- -,22660,- -,26541,90797,371451,556250,867812,981758,2442655,2291824,1797334,1024186
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,18991,- -,2775,44908,57934,26000,70072,37350,37250
52,Other Current Liabilities,10000,- -,319961,280000,457340,560000,683459,720212,983929,539215,299130,550518,1002885,1344734,1167103,1918659
53,Total Current Liabilities,10000,- -,319961,280000,480000,560000,710000,830000,1355380,1289440,1517610,1887990,3718090,3909760,3184397,3136981
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,240000,- -,200000,429000,670050,- -,- -,217870,149917
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,410000,- -,- -,- -,-10,- -,- -,- -,- -
