,https://roic.ai/company/DFS,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,1259028000,6351498000,5866585000,6222809000,5051873000,4805383000,6734391000,6658229000,7065761000,7653000000,8224000000,8477000000,8739000000,9099000000,9897000000,10709000000,11459000000,11088000000,12087000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,758912000,869635000,933196000,922089000,845392000,1116892000,1060760000,914344000,1523000000,1164000000,1764000000,1844000000,1882000000,1998000000,2195000000,2358000000,1894000000,1986000000
7,Selling and Marketing Exp.,- -,575032000,586801000,603556000,610205000,530901000,406020000,463086000,537486000,603000000,717000000,735000000,745000000,731000000,776000000,857000000,883000000,659000000,810000000
8,"Selling, General and Administrative Exp.",- -,1333944000,1456436000,1536752000,1532294000,1376293000,1522912000,1523846000,1451830000,2126000000,1881000000,2499000000,2589000000,2613000000,2774000000,3052000000,3241000000,2553000000,2796000000
9,Other Expenses,- -,- -,- -,- -,2902706000,3922707000,4342088000,5448154000,3587170000,3105000000,-488000000,3418000000,3801000000,4228000000,5234000000,6199000000,6913000000,-596000000,- -
10,Operating Expenses,- -,- -,- -,- -,4435000000,5299000000,5865000000,6972000000,5039000000,5231000000,- -,5917000000,6390000000,6841000000,8008000000,9251000000,10154000000,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,2048695000,5701095000,5704397000,6167485000,6860519000,6545829000,6461072000,6146218000,6345139000,6735000000,7064000000,7596000000,7945000000,8616000000,9648000000,10893000000,11993000000,11095000000,10651000000
13,Interest Expense (Gain),789667000,1339166000,1801097000,2337589000,1382415000,1288004000,1251284000,1582988000,1484552000,1331000000,1146000000,1134000000,1263000000,1398000000,1648000000,2139000000,2530000000,1865000000,1134000000
14,Depreciation and Amortization,- -,193130000,214311000,222798000,234647000,147224000,203492000,172005000,20073000,267000000,334000000,369000000,391000000,351000000,393000000,435000000,436000000,485000000,531000000
15,EBITDA,1816575000,2751203000,2939664000,4142692000,2562258000,2957670000,3575674000,3023852000,5015869000,5351000000,5424000000,5197000000,5266000000,5405000000,5578000000,6171000000,6801000000,3785000000,8729000000
16,EBITDA ratio,1.4428,0.4332,0.5011,0.6657,0.5072,0.6155,0.5310,0.4542,0.7099,0.6992,0.6595,0.6131,0.6026,0.5940,0.5636,0.5762,0.5935,0.3414,0.7222
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,1026908000,1218907000,924256000,1582305000,945196000,1657605000,2120898000,1268859000,3511244000,3753000000,3944000000,3694000000,3612000000,3656000000,3537000000,3597000000,3835000000,1435000000,7064000000
21,Income Before Tax Ratio,0.8156,0.1919,0.1575,0.2543,0.1871,0.3449,0.3149,0.1906,0.4969,0.4904,0.4796,0.4358,0.4133,0.4018,0.3574,0.3359,0.3347,0.1294,0.5844
