,https://roic.ai/company/CVLG,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,131900000,180300000,236266945,297861080,370545721,472741000,552429000,547028000,564418000,582457000,603622000,643054000,683828000,712526000,773914000,588687000,649749000,652627000,674254000,684549000,718980000,724240000,670651000,705007000,885455000,894528000,838561000,1046003000
2,COGS,32300000,41800000,85898000,121366000,165295000,242770000,322509000,329905000,265765000,297135000,344417000,354555000,368934000,398133000,137033000,38850000,66517000,332916000,585418000,601639000,606024000,593364000,573426000,612098000,741017000,780343000,729011000,898722000
3,Gross Profit,99600000,138500000,150368945,176495080,205250721,229971000,229920000,217123000,298653000,285322000,259205000,288499000,314894000,314393000,636881000,549837000,583232000,319711000,88836000,82910000,112956000,130876000,97225000,92909000,144438000,114185000,109550000,147281000
4,Gross Profit Ratio,0.7551,0.7682,0.6364,0.5925,0.5539,0.4865,0.4162,0.3969,0.5291,0.4899,0.4294,0.4486,0.4605,0.4412,0.8229,0.9340,0.8976,0.4899,0.1318,0.1211,0.1571,0.1807,0.1450,0.1318,0.1631,0.1276,0.1306,0.1408
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,70800000,98200000,13430287,24768834,43647219,74051000,100766000,79537000,14677000,14495000,15104000,17778000,283690000,293812000,334472000,277446000,275415000,262959000,54584000,51547000,62350000,52078000,53066000,54876000,73621000,85127000,93093000,73019000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",70800000,98200000,13430287,24768834,43647219,74051000,100766000,79537000,14677000,14495000,15104000,17778000,283690000,293812000,334472000,277446000,275415000,262959000,54584000,51547000,62350000,52078000,53066000,54876000,73621000,85127000,93093000,73019000
9,Other Expenses,5900000,12100000,203374556,253460615,315451573,405260000,499014000,532623000,524767000,539741000,574566000,608210000,390509000,427730000,76313000,60235000,62897000,46274000,11043000,10969000,10960000,11016000,11712000,9878000,11831000,13024000,11621000,10899000
10,Operating Expenses,76700000,110300000,216804843,278229449,359098792,479311000,599780000,612160000,539444000,554236000,589670000,625988000,674199000,721542000,410785000,337681000,338312000,309233000,65627000,62516000,73310000,63094000,64778000,64754000,85452000,98151000,104714000,83918000
11,COGS and Expenses,109000000,152100000,302702843,399595449,524393792,722081000,922289000,942065000,805209000,851371000,934087000,980543000,1043133000,1119675000,547818000,376531000,404829000,642149000,651045000,664155000,679334000,656458000,638204000,676852000,826469000,878494000,833725000,982640000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,435000,144000,2000,32000,- -,- -,13000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10373000,14184000,16566000,16208000,12697000,10400000,10807000,8445000,8226000,- -,- -,- -,6841000,2791000
14,Depreciation and Amortization,-9400000,-16800000,22781481,27363501,32074888,35658000,39181000,-56324000,-49497000,-43041000,-45001000,39769000,43234000,51801000,85960000,47987000,56100000,53001000,48135000,44457000,49043000,62010000,71647000,72422000,75859000,80529000,65480000,53881000
15,EBITDA,1900000,-2200000,36861435,49213808,61847331,72835000,58955000,-64713000,-29808000,-16570000,-33173000,52958000,46435000,29495000,30150000,32123000,82130000,52770000,73232000,67604000,92432000,134362000,107094000,95719000,133869000,92470000,26799000,138365000
16,EBITDA ratio,0.0144,-0.0122,0.1560,0.1652,0.1669,0.1541,0.1067,-0.1183,-0.0528,-0.0284,-0.0550,0.0824,0.0679,0.0414,0.0390,0.0546,0.1264,0.0809,0.1086,0.0988,0.1286,0.1855,0.1597,0.1358,0.1512,0.1034,0.0320,0.1323
