,https://roic.ai/company/QMCI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,44728,11027,43871,286379,1009588,2466151,3742534,5569107,7276980,7542394,7804805,8964181,9870769,9436598,9075709,8658667,8870155,9491738,11127670,11793731,12402224,15174372
2,COGS,-11851,- -,- -,234181,412279,703271,1412945,2386925,3053275,3315679,3788145,4148609,4820194,5153811,5074311,5067177,5073340,5212541,5528723,5781756,6702321,8438658
3,Gross Profit,56579,11027,43871,52198,597309,1762880,2329589,3182182,4223705,4226715,4016660,4815572,5050575,4282787,4001398,3591490,3796815,4279197,5598947,6011975,5699903,6735714
4,Gross Profit Ratio,1.2650,1.0000,1.0000,0.1823,0.5916,0.7148,0.6225,0.5714,0.5804,0.5604,0.5146,0.5372,0.5117,0.4538,0.4409,0.4148,0.4280,0.4508,0.5032,0.5098,0.4596,0.4439
5,Research and Development Exp.,372622,292216,167178,255929,253829,429826,515181,917861,1013011,1092281,1224376,1155839,1169982,1052334,1068694,1026106,935786,1029822,1215151,1253055,1649765,- -
6,General and Administrative Exp.,- -,1812417,- -,- -,- -,- -,- -,- -,1917482,2017602,2154669,1960756,2015408,2089345,2015528,1876123,1966713,2014119,2044337,2279861,2479037,2538429
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,2026063,1843525,2163030,1918868,1698533,1653129,1615414,1696428,1507706,1584479,1839957,1879404,2214815,2507169
8,"Selling, General and Administrative Exp.",2090479,1812417,316945,522079,581344,1254400,2293358,3443144,3943545,3861127,4317699,3879624,3713941,3742474,3630942,3572551,3474419,3598598,3884294,4159265,4693852,5045598
9,Other Expenses,11851,- -,388250,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2474952,2104633,872373,778008,835173,1684226,2808539,4361005,4956556,4953408,5542075,5035463,4883923,4794808,4699636,4598657,4410205,4628420,5099445,5412320,6343617,5045598
11,COGS and Expenses,2463101,2104633,872373,1012189,1247452,2387497,4221484,6747930,8009831,8269087,9330220,9184072,9704117,9948619,9773947,9665834,9483545,9840961,10628168,11194076,13045938,13484256
