,https://roic.ai/company/LCTC,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,6118960,8048952,6838551,8425666,9341984,8826473,8381135,7990738,8437654,8751823,6356702,7054430
2,COGS,3292265,4287452,3680904,4379053,4874127,4425106,4202729,4277874,4628403,4815820,4176156,3994334
3,Gross Profit,2826695,3761500,3157647,4046613,4467857,4401367,4178406,3712864,3809251,3936003,2180546,3060096
4,Gross Profit Ratio,0.4620,0.4673,0.4617,0.4803,0.4783,0.4987,0.4985,0.4646,0.4515,0.4497,0.3430,0.4338
5,Research and Development Exp.,375683,440579,523055,929517,1000266,1224045,1037035,1076763,1121827,1038227,1007297,1213482
6,General and Administrative Exp.,877288,1038153,1081900,1283918,1239238,1267772,1147349,1114534,1165413,1175788,1254503,1111544
7,Selling and Marketing Exp.,934955,1073945,855193,1151235,1433839,1467344,1359043,1388927,1251388,1240773,1074249,1003983
8,"Selling, General and Administrative Exp.",1812243,2112098,1937093,2435153,2673077,2735116,2506392,2503461,2416801,2416561,2328752,2115527
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2187926,2552677,2460148,3364670,3673343,3959161,3543427,3580224,3538628,3454788,3336049,3329009
11,COGS and Expenses,5480191,6840129,6141052,7743723,8547470,8384267,7746156,7858098,8167031,8270608,7512205,7323343
12,Interest Income ,7528,12907,16151,19069,24132,14737,13270,6824,25624,38750,14294,3401
13,Interest Expense (Gain),37,- -,- -,- -,11913,70986,65963,60705,61650,57802,56129,-51272
14,Depreciation and Amortization,66638,134543,179315,199011,205094,292593,283165,288017,416896,412529,364336,254823
15,EBITDA,684865,1350077,904965,912023,1035740,761536,935914,427481,713143,1157693,-776873,935825
16,EBITDA ratio,0.1119,0.1677,0.1323,0.1082,0.1109,0.0863,0.1117,0.0535,0.0845,0.1323,-0.1222,0.1327
17,Operating Income,638769,1208823,697499,681943,794514,442206,634979,132640,270623,481215,-1155503,-268913
18,Operating Income ratio,0.1044,0.1502,0.1020,0.0809,0.0850,0.0501,0.0758,0.0166,0.0321,0.0550,-0.1818,-0.0381
